setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
4ed	Fourth Edition	1995-04-01	1	Alabaster Potion	2fcca686-03c8-4407-9f9f-2b7462470044	covered	lifegain, mana_sink, protection, scalable_spell, targeted_protection	lifegain, mana_sink, protection, scalable_spell, targeted_protection	false		Covered by Legends role audit.	Instant	{X}{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/1/alabaster-potion?utm_source=api	Choose one — • Target player gains X life. • Prevent the next X damage that would be dealt to any target this turn.
4ed	Fourth Edition	1995-04-01	2	Amrou Kithkin	79644192-8f99-4d04-b151-6f74a4dbda0a	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Legends role audit.	Creature — Kithkin	{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/2/amrou-kithkin?utm_source=api	This creature can't be blocked by creatures with power 3 or greater.
4ed	Fourth Edition	1995-04-01	3	Angry Mob	967c2c79-7e49-448d-8d30-b2eb08b21d0a	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Covered by The Dark role audit.	Creature — Human	{2}{W}{W}	4	W	W	Trample		already reviewed	https://scryfall.com/card/4ed/3/angry-mob?utm_source=api	Trample During your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. During turns other than yours, Angry Mob's power and toughness are each 2.
4ed	Fourth Edition	1995-04-01	4	Animate Wall	c7a6a165-b709-46e0-ae42-6f69a17c0621	covered	combat_support, replacement_engine	combat_support, replacement_engine	false			Enchantment — Aura	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/4/animate-wall?utm_source=api	Enchant Wall Enchanted Wall can attack as though it didn't have defender.
4ed	Fourth Edition	1995-04-01	5	Armageddon	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	covered	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by Alpha role audit batch 1.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/4ed/5/armageddon?utm_source=api	Destroy all lands.
4ed	Fourth Edition	1995-04-01	6	Balance	17fa98cd-ed8f-483f-9525-7e989a82ebb2	covered	sacrifice_support, targeted_removal	sacrifice_support, targeted_removal	false			Sorcery	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/6/balance?utm_source=api	Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.
4ed	Fourth Edition	1995-04-01	7	Benalish Hero	4c81cfb7-8765-4e28-ae33-4287fa9a86cc	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false			Creature — Human Soldier	{W}	1	W	W	Banding		already reviewed	https://scryfall.com/card/4ed/7/benalish-hero?utm_source=api	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
4ed	Fourth Edition	1995-04-01	8	Black Ward	7861ac9b-3024-4935-804c-2ca4c5a46bf4	covered	targeted_protection	targeted_protection	false			Enchantment — Aura	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/8/black-ward?utm_source=api	Enchant creature Enchanted creature has protection from black. This effect doesn't remove this Aura.
4ed	Fourth Edition	1995-04-01	9	Blessing	5c84d8da-2bfb-4618-89a0-7d9ed604e854	covered	combat_support	combat_support	false			Enchantment — Aura	{W}{W}	2	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/9/blessing?utm_source=api	Enchant creature {W}: Enchanted creature gets +1/+1 until end of turn.
4ed	Fourth Edition	1995-04-01	10	Blue Ward	fc0bf1d0-46a2-4305-ab2e-466d79d60ab2	covered	targeted_protection	targeted_protection	false			Enchantment — Aura	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/10/blue-ward?utm_source=api	Enchant creature Enchanted creature has protection from blue. This effect doesn't remove this Aura.
4ed	Fourth Edition	1995-04-01	11	Brainwash	5a81755f-bc44-47ac-8039-8847a5e37922	covered	combat_support	combat_support	false		Covered by The Dark role audit.	Enchantment — Aura	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/11/brainwash?utm_source=api	Enchant creature Enchanted creature can't attack unless its controller pays {3}.
4ed	Fourth Edition	1995-04-01	12	Castle	f3179c3c-7e53-44d2-b579-b9e677efe9d9	covered	combat_support	combat_support	false			Enchantment	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/4ed/12/castle?utm_source=api	Untapped creatures you control get +0/+2.
4ed	Fourth Edition	1995-04-01	13	Circle of Protection: Artifacts	2e61e9c0-a2b9-4a24-8cb0-5160accce183	covered	broad_protection, protection	broad_protection, protection	false		Covered by Antiquities role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/13/circle-of-protection:-artifacts?utm_source=api	{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.
4ed	Fourth Edition	1995-04-01	14	Circle of Protection: Black	7a5a8414-4da4-4dd0-93ae-210d50f4d6f6	covered	broad_protection, protection	broad_protection, protection	false		Covered by Beta role audit; same prevention pattern as other Circle of Protection cards.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/14/circle-of-protection:-black?utm_source=api	{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.
4ed	Fourth Edition	1995-04-01	15	Circle of Protection: Blue	d7572f17-f85d-45c0-ac64-43aac760eafe	covered	broad_protection, protection	broad_protection, protection	false		Covered by Alpha role audit batch 1.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/15/circle-of-protection:-blue?utm_source=api	{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.
4ed	Fourth Edition	1995-04-01	16	Circle of Protection: Green	41b0f347-1398-4778-bf3f-4007d8a77162	covered	broad_protection, protection	broad_protection, protection	false		Covered by Ice Age role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/16/circle-of-protection:-green?utm_source=api	{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.
4ed	Fourth Edition	1995-04-01	17	Circle of Protection: Red	df2738fe-9cd1-4347-8808-105fcfde1190	covered	broad_protection, protection	broad_protection, protection	false		Covered by Ice Age role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/17/circle-of-protection:-red?utm_source=api	{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.
4ed	Fourth Edition	1995-04-01	18	Circle of Protection: White	5f46f86a-9779-4ed3-99cb-76a03d380598	covered	broad_protection, protection	broad_protection, protection	false		Covered by Ice Age role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/18/circle-of-protection:-white?utm_source=api	{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.
4ed	Fourth Edition	1995-04-01	19	Conversion	a24e05fb-dffb-4400-b4ca-22fdde45e7a7	covered	sacrifice_support	sacrifice_support	false			Enchantment	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/4ed/19/conversion?utm_source=api	At the beginning of your upkeep, sacrifice this enchantment unless you pay {W}{W}. All Mountains are Plains.
4ed	Fourth Edition	1995-04-01	20	Crusade	4692740f-be90-459f-8d90-c4ae71771595	covered	combat_support	combat_support	false			Enchantment	{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/20/crusade?utm_source=api	White creatures get +1/+1.
4ed	Fourth Edition	1995-04-01	21	Death Ward	0544b707-ec67-43e3-a25d-fd7005ab673d	covered	protection, regeneration_protection, targeted_protection	protection, regeneration_protection, targeted_protection	false		Covered by Ice Age role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/4ed/21/death-ward?utm_source=api	Regenerate target creature.
4ed	Fourth Edition	1995-04-01	22	Disenchant	a7e97fa9-4b72-4548-b854-5be5f18a6f1a	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/22/disenchant?utm_source=api	Destroy target artifact or enchantment.
4ed	Fourth Edition	1995-04-01	23	Divine Transformation	292e7135-8804-43f2-a486-51ef97b83f77	covered	combat_support	combat_support	false		Covered by Legends role audit.	Enchantment — Aura	{2}{W}{W}	4	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/23/divine-transformation?utm_source=api	Enchant creature Enchanted creature gets +3/+3.
4ed	Fourth Edition	1995-04-01	24	Elder Land Wurm	5948381a-419d-4b8b-8ea2-ea623cb0d606	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Legends role audit.	Creature — Dragon Wurm	{4}{W}{W}{W}	7	W	W	Trample, Defender		already reviewed	https://scryfall.com/card/4ed/24/elder-land-wurm?utm_source=api	Defender, trample When this creature blocks, it loses defender.
4ed	Fourth Edition	1995-04-01	25	Eye for an Eye	22647b1a-5a7c-41b5-b820-b2e9f49c7aad	covered	damage_engine, damage_reflection	damage_engine, damage_reflection	false		Covered by Arabian Nights role audit.	Instant	{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/25/eye-for-an-eye?utm_source=api	The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.
4ed	Fourth Edition	1995-04-01	26	Fortified Area	cef37acf-ee97-48bf-a605-b17efcce5ce8	covered	combat_support	combat_support	false		Covered by Legends role audit.	Enchantment	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/4ed/26/fortified-area?utm_source=api	Wall creatures you control get +1/+0 and have banding. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
4ed	Fourth Edition	1995-04-01	27	Green Ward	727ab7f2-741e-4442-b5cb-e3032549fa87	covered	targeted_protection	targeted_protection	false			Enchantment — Aura	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/27/green-ward?utm_source=api	Enchant creature Enchanted creature has protection from green. This effect doesn't remove this Aura.
4ed	Fourth Edition	1995-04-01	28	Healing Salve	8da8644c-75a1-4fe9-8e94-900d948d631c	covered	lifegain, protection, targeted_protection	lifegain, protection, targeted_protection	false		Covered by Mirage role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/4ed/28/healing-salve?utm_source=api	Choose one — • Target player gains 3 life. • Prevent the next 3 damage that would be dealt to any target this turn.
4ed	Fourth Edition	1995-04-01	29	Holy Armor	912164c2-b4d4-42e3-a10e-903b8c7b2e6d	covered	combat_support	combat_support	false			Enchantment — Aura	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/29/holy-armor?utm_source=api	Enchant creature Enchanted creature gets +0/+2. {W}: Enchanted creature gets +0/+1 until end of turn.
4ed	Fourth Edition	1995-04-01	30	Holy Strength	9357de36-f8be-4f49-b2c8-9fe9eaf82b07	covered	combat_support	combat_support	false			Enchantment — Aura	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/4ed/30/holy-strength?utm_source=api	Enchant creature Enchanted creature gets +1/+2.
4ed	Fourth Edition	1995-04-01	31	Island Sanctuary	7d1769d0-d942-45b3-a31c-2bbe45e68661	covered	hate_piece, replacement_engine, stax_piece	combat_support, hate_piece, landwalk_support, replacement_engine, stax_piece	false			Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/4ed/31/island-sanctuary?utm_source=api	If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk.
4ed	Fourth Edition	1995-04-01	32	Karma	fac4da47-f0b2-4b57-9703-e0ed100d3499	covered	damage_engine, group_slug	damage_engine, group_slug	false		Covered by Alpha role audit batch 1.	Enchantment	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/4ed/32/karma?utm_source=api	At the beginning of each player's upkeep, this enchantment deals damage to that player equal to the number of Swamps they control.
4ed	Fourth Edition	1995-04-01	33	Kismet	81fdd1c4-d43b-4f8b-8712-7c2bf45a3e0b	covered	stax_piece	stax_piece	false		Covered by Legends role audit.	Enchantment	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/4ed/33/kismet?utm_source=api	Artifacts, creatures, and lands your opponents control enter tapped.
4ed	Fourth Edition	1995-04-01	34	Land Tax	d2d9ecea-7925-420e-98b9-2f87f41f387c	covered	direct_tutor, land_acceleration, land_tutor, mana_fixing, repeatable_tutor, tutor	land_acceleration, land_tutor, mana_fixing, repeatable_tutor, tutor	false		Covered by Legends role audit.	Enchantment	{W}	1	W	W			already reviewed	https://scryfall.com/card/4ed/34/land-tax?utm_source=api	At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle.
