setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
5dn	Fifth Dawn	2004-06-04	1	Abuna's Chant	2d4721f1-1a49-45aa-99d5-ab8c6f3f3ab6			lifegain, protection, targeted_protection				Instant	{3}{W}	4	W	W	Entwine		verify analyzer roles	https://scryfall.com/card/5dn/1/abunas-chant?utm_source=api	Choose one — • You gain 5 life. • Prevent the next 5 damage that would be dealt to target creature this turn. Entwine {2} (Choose both if you pay the entwine cost.)
5dn	Fifth Dawn	2004-06-04	2	Armed Response	0258a606-1625-402e-b0c4-ffca06779b5e			removal, targeted_removal				Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/5dn/2/armed-response?utm_source=api	Armed Response deals damage to target attacking creature equal to the number of Equipment you control.
5dn	Fifth Dawn	2004-06-04	3	Auriok Champion	633fd158-19d0-4d97-a076-2ad897bbed19			combat_body, lifegain, self_protection				Creature — Human Cleric	{W}{W}	2	W	W	Protection		verify analyzer roles	https://scryfall.com/card/5dn/3/auriok-champion?utm_source=api	Protection from black and from red Whenever another creature enters, you may gain 1 life.
5dn	Fifth Dawn	2004-06-04	4	Auriok Salvagers	db2f3a06-f75e-4689-b147-9820aebb30e2			card_selection, combat_body, hand_recursion, recursion, repeatable_advantage				Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/5dn/4/auriok-salvagers?utm_source=api	{1}{W}: Return target artifact card with mana value 1 or less from your graveyard to your hand.
5dn	Fifth Dawn	2004-06-04	5	Auriok Windwalker	f8a06210-de30-4e87-835e-80a6df5716ca			combat_body, combat_threat				Creature — Human Wizard	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/5dn/5/auriok-windwalker?utm_source=api	Flying {T}: Attach target Equipment you control to target creature you control.
5dn	Fifth Dawn	2004-06-04	6	Beacon of Immortality	bfcdf563-c6e5-4a54-bb63-4aba219b94e2			multiplier_support, replacement_engine				Instant	{5}{W}	6	W	W	Double		verify analyzer roles	https://scryfall.com/card/5dn/6/beacon-of-immortality?utm_source=api	Double target player's life total. Shuffle Beacon of Immortality into its owner's library.
5dn	Fifth Dawn	2004-06-04	7	Bringer of the White Dawn	d6ee95a9-e518-49fd-bc11-02453c3220cd			battlefield_recursion, card_selection, combat_body, combat_threat, recursion, repeatable_advantage				Creature — Bringer	{7}{W}{W}	9	W	BGRUW	Trample		verify analyzer roles	https://scryfall.com/card/5dn/7/bringer-of-the-white-dawn?utm_source=api	You may pay {W}{U}{B}{R}{G} rather than pay this spell's mana cost. Trample At the beginning of your upkeep, you may return target artifact card from your graveyard to the battlefield.
5dn	Fifth Dawn	2004-06-04	8	Circle of Protection: Artifacts	2e61e9c0-a2b9-4a24-8cb0-5160accce183	covered	broad_protection, protection	broad_protection, protection	false		Covered by Antiquities role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/5dn/8/circle-of-protection:-artifacts?utm_source=api	{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.
5dn	Fifth Dawn	2004-06-04	9	Leonin Squire	fa19c9d7-fe93-4e93-a5ef-9af9c6cd1a5e			card_selection, combat_body, hand_recursion, recursion				Creature — Cat Soldier	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/5dn/9/leonin-squire?utm_source=api	When this creature enters, return target artifact card with mana value 1 or less from your graveyard to your hand.
5dn	Fifth Dawn	2004-06-04	10	Loxodon Anchorite	c70dded8-658b-4250-8057-54894350455c			combat_body, protection, targeted_protection				Creature — Elephant Cleric	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/5dn/10/loxodon-anchorite?utm_source=api	{T}: Prevent the next 2 damage that would be dealt to any target this turn.
5dn	Fifth Dawn	2004-06-04	11	Loxodon Stalwart	6b2eb774-08f3-46cb-aeca-2ab82fdd5f03			combat_body, combat_support, combat_threat				Creature — Elephant Soldier	{3}{W}{W}	5	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/5dn/11/loxodon-stalwart?utm_source=api	Vigilance {W}: This creature gets +0/+1 until end of turn.
5dn	Fifth Dawn	2004-06-04	12	Raksha Golden Cub	a3c672b8-9c7d-47cc-877b-580904c6d72b			combat_body, combat_finisher, combat_support, combat_threat, finisher				Legendary Creature — Cat Soldier	{5}{W}{W}	7	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/5dn/12/raksha-golden-cub?utm_source=api	Vigilance As long as Raksha Golden Cub is equipped, Cat creatures you control get +2/+2 and have double strike.
5dn	Fifth Dawn	2004-06-04	13	Retaliate	37f5d022-2989-4b44-9bca-dc6b606afe10			mass_removal, removal				Instant	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/5dn/13/retaliate?utm_source=api	Destroy all creatures that dealt damage to you this turn.
5dn	Fifth Dawn	2004-06-04	14	Roar of Reclamation	a4372c4c-3577-43ca-a801-1f2bd1488a2f			mass_recursion				Sorcery	{5}{W}{W}	7	W	W			verify analyzer roles	https://scryfall.com/card/5dn/14/roar-of-reclamation?utm_source=api	Each player returns all artifact cards from their graveyard to the battlefield.
5dn	Fifth Dawn	2004-06-04	15	Skyhunter Prowler	5e0d13b0-d5d0-4c5f-945e-5cda7d980670			combat_body, combat_support, combat_threat				Creature — Cat Knight	{2}{W}	3	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/5dn/15/skyhunter-prowler?utm_source=api	Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)
5dn	Fifth Dawn	2004-06-04	16	Skyhunter Skirmisher	0c07d09e-e127-4573-b827-6c50246f7a31			combat_body, combat_threat				Creature — Cat Knight	{1}{W}{W}	3	W	W	Flying, Double strike		verify analyzer roles	https://scryfall.com/card/5dn/16/skyhunter-skirmisher?utm_source=api	Flying, double strike
5dn	Fifth Dawn	2004-06-04	17	Stand Firm	c0406e70-8131-4e13-b1d5-4e943ad296b8			card_selection, combat_support, selection				Instant	{W}	1	W	W	Scry		verify analyzer roles	https://scryfall.com/card/5dn/17/stand-firm?utm_source=api	Target creature gets +1/+1 until end of turn. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
5dn	Fifth Dawn	2004-06-04	18	Stasis Cocoon	ba11db54-149d-427e-b9ff-d1e29bbcbb11			combat_support, removal, targeted_removal				Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/5dn/18/stasis-cocoon?utm_source=api	Enchant artifact Enchanted artifact can't attack or block, and its activated abilities can't be activated.
5dn	Fifth Dawn	2004-06-04	19	Steelshaper's Gift	d9abda7e-6ca2-42ea-ab24-c542e57014f1			restricted_tutor, tutor				Sorcery	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/5dn/19/steelshapers-gift?utm_source=api	Search your library for an Equipment card, reveal that card, put it into your hand, then shuffle.
5dn	Fifth Dawn	2004-06-04	20	Vanquish	683ec6d2-4ea7-46a7-911e-12c83e4c4a06			removal, targeted_removal				Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/5dn/20/vanquish?utm_source=api	Destroy target blocking creature.
5dn	Fifth Dawn	2004-06-04	21	Acquire	f1c3d749-5cdb-4af2-967f-6413d6cb04fe			theft_support				Sorcery	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/5dn/21/acquire?utm_source=api	Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles.
5dn	Fifth Dawn	2004-06-04	22	Advanced Hoverguard	65dc61a4-9052-49d4-bce8-9c16f0339382			combat_body, combat_threat, self_protection				Creature — Drone	{3}{U}	4	U	U	Flying		verify analyzer roles	https://scryfall.com/card/5dn/22/advanced-hoverguard?utm_source=api	Flying {U}: This creature gains shroud until end of turn. (It can't be the target of spells or abilities.)
5dn	Fifth Dawn	2004-06-04	23	Artificer's Intuition	be14b10a-7cac-47fc-a954-685091990291			repeatable_tutor, restricted_tutor, tutor				Enchantment	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/5dn/23/artificers-intuition?utm_source=api	{U}, Discard an artifact card: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
5dn	Fifth Dawn	2004-06-04	24	Beacon of Tomorrows	85909caa-d2ad-4487-b9b7-6ac60a14b833			extra_turn, finisher				Sorcery	{6}{U}{U}	8	U	U			verify analyzer roles	https://scryfall.com/card/5dn/24/beacon-of-tomorrows?utm_source=api	Target player takes an extra turn after this one. Shuffle Beacon of Tomorrows into its owner's library.
5dn	Fifth Dawn	2004-06-04	25	Blinkmoth Infusion	8788f555-8c18-4842-9716-385afae2b9a4			artifact_support				Instant	{12}{U}{U}	14	U	U	Affinity		verify analyzer roles	https://scryfall.com/card/5dn/25/blinkmoth-infusion?utm_source=api	Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) Untap all artifacts.
5dn	Fifth Dawn	2004-06-04	26	Bringer of the Blue Dawn	7d4676fa-4bfe-43b4-9241-c2a33214852a			card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw				Creature — Bringer	{7}{U}{U}	9	U	BGRUW	Trample		verify analyzer roles	https://scryfall.com/card/5dn/26/bringer-of-the-blue-dawn?utm_source=api	You may pay {W}{U}{B}{R}{G} rather than pay this spell's mana cost. Trample At the beginning of your upkeep, you may draw two cards.
5dn	Fifth Dawn	2004-06-04	27	Condescend	96cf3c10-733d-4110-9dab-43d0cd4e6629			card_selection, mana_sink, scalable_spell, selection, soft_stack, stack				Instant	{X}{U}	1	U	U	Scry		verify analyzer roles	https://scryfall.com/card/5dn/27/condescend?utm_source=api	Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
5dn	Fifth Dawn	2004-06-04	28	Disruption Aura	af8fba92-f7e5-485d-a1da-a30c46a3992e			sacrifice_support, stax_piece				Enchantment — Aura	{2}{U}	3	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/5dn/28/disruption-aura?utm_source=api	Enchant artifact Enchanted artifact has "At the beginning of your upkeep, sacrifice this artifact unless you pay its mana cost."
5dn	Fifth Dawn	2004-06-04	29	Early Frost	9f9cdbc2-d2f2-4390-8506-350fabf3f89a			removal, tempo_removal				Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/5dn/29/early-frost?utm_source=api	Tap up to three target lands.
5dn	Fifth Dawn	2004-06-04	30	Eyes of the Watcher	350b3c1c-b37e-4279-9b49-0fb93c5e7e33			card_selection, copy_support, selection, spellslinger				Enchantment	{2}{U}	3	U	U	Scry		verify analyzer roles	https://scryfall.com/card/5dn/30/eyes-of-the-watcher?utm_source=api	Whenever you cast an instant or sorcery spell, you may pay {1}. If you do, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
5dn	Fifth Dawn	2004-06-04	31	Fold into Aether	bc2f807b-555d-4a62-ab14-75fe62c64b97			hard_stack, stack				Instant	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/5dn/31/fold-into-aether?utm_source=api	Counter target spell. If that spell is countered this way, its controller may put a creature card from their hand onto the battlefield.
