setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
abro	The Brothers' War Art Series	2022-11-18	1	Mass Production // Mass Production	7a169d4e-13bb-4b48-a6ce-775c5b18d004	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/1/mass-production-mass-production?utm_source=api	Mass Production:  // Mass Production:
abro	The Brothers' War Art Series	2022-11-18	2	Powerstone Engineer // Powerstone Engineer	284aa996-06fb-4ae8-9b29-58da2244cde9	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/2/powerstone-engineer-powerstone-engineer?utm_source=api	Powerstone Engineer:  // Powerstone Engineer:
abro	The Brothers' War Art Series	2022-11-18	3	Siege Veteran // Siege Veteran	648650b0-3590-4b65-a7c3-5d917b40f8e4	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/3/siege-veteran-siege-veteran?utm_source=api	Siege Veteran:  // Siege Veteran:
abro	The Brothers' War Art Series	2022-11-18	4	Tocasia's Welcome // Tocasia's Welcome	fc7e71ac-a347-48d5-b1a2-79d127fc1096	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/4/tocasias-welcome-tocasias-welcome?utm_source=api	Tocasia's Welcome:  // Tocasia's Welcome:
abro	The Brothers' War Art Series	2022-11-18	5	Autonomous Assembler // Autonomous Assembler	7a47e075-006e-4c44-baa7-b96c3f80bae6	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/5/autonomous-assembler-autonomous-assembler?utm_source=api	Autonomous Assembler:  // Autonomous Assembler:
abro	The Brothers' War Art Series	2022-11-18	6	Steel Seraph // Steel Seraph	872d5d7b-2fe6-47c6-b215-8720ab4daa29	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/6/steel-seraph-steel-seraph?utm_source=api	Steel Seraph:  // Steel Seraph:
abro	The Brothers' War Art Series	2022-11-18	7	Urza's Sylex // Urza's Sylex	c67aaf87-25db-4c56-b7c2-480bab5c6827	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/7/urzas-sylex-urzas-sylex?utm_source=api	Urza's Sylex:  // Urza's Sylex:
abro	The Brothers' War Art Series	2022-11-18	8	Air Marshal // Air Marshal	4200be71-c537-4f41-bc5a-a0a14fc70e0c	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/8/air-marshal-air-marshal?utm_source=api	Air Marshal:  // Air Marshal:
abro	The Brothers' War Art Series	2022-11-18	9	Defabricate // Defabricate	bf4a21af-5d5e-4ee6-8ce5-d7dee9203a89	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/9/defabricate-defabricate?utm_source=api	Defabricate:  // Defabricate:
abro	The Brothers' War Art Series	2022-11-18	10	Hurkyl, Master Wizard // Hurkyl, Master Wizard	420f49f0-63d7-4e15-84a0-f35c0b25658a	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/10/hurkyl-master-wizard-hurkyl-master-wizard?utm_source=api	Hurkyl, Master Wizard:  // Hurkyl, Master Wizard:
abro	The Brothers' War Art Series	2022-11-18	11	Retrieval Agent // Retrieval Agent	0f35ecb0-150e-41a1-9050-fda325093647	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/11/retrieval-agent-retrieval-agent?utm_source=api	Retrieval Agent:  // Retrieval Agent:
abro	The Brothers' War Art Series	2022-11-18	12	Take Flight // Take Flight	5b402c1e-b425-43db-a677-2b343ba79277	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/12/take-flight-take-flight?utm_source=api	Take Flight:  // Take Flight:
abro	The Brothers' War Art Series	2022-11-18	13	Thopter Mechanic // Thopter Mechanic	0123221f-c9a6-4509-8c10-eca9d40ddea8	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/13/thopter-mechanic-thopter-mechanic?utm_source=api	Thopter Mechanic:  // Thopter Mechanic:
abro	The Brothers' War Art Series	2022-11-18	14	Depth Charge Colossus // Depth Charge Colossus	18ce1c3a-1624-4154-909c-829b2b5c2ac8	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/14/depth-charge-colossus-depth-charge-colossus?utm_source=api	Depth Charge Colossus:  // Depth Charge Colossus:
abro	The Brothers' War Art Series	2022-11-18	15	Ashnod, Flesh Mechanist // Ashnod, Flesh Mechanist	1b056f3c-d2d4-489b-b550-1ebd190ec64d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/15/ashnod-flesh-mechanist-ashnod-flesh-mechanist?utm_source=api	Ashnod, Flesh Mechanist:  // Ashnod, Flesh Mechanist:
abro	The Brothers' War Art Series	2022-11-18	16	Gix, Yawgmoth Praetor // Gix, Yawgmoth Praetor	23a16117-80ae-4c3e-9f18-9bcd35272abc	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/16/gix-yawgmoth-praetor-gix-yawgmoth-praetor?utm_source=api	Gix, Yawgmoth Praetor:  // Gix, Yawgmoth Praetor:
abro	The Brothers' War Art Series	2022-11-18	17	Razorlash Transmogrant // Razorlash Transmogrant	1f5fbb85-4328-4b25-9db5-c94f94c0c7ba	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/17/razorlash-transmogrant-razorlash-transmogrant?utm_source=api	Razorlash Transmogrant:  // Razorlash Transmogrant:
abro	The Brothers' War Art Series	2022-11-18	18	Scrapwork Rager // Scrapwork Rager	ed53052a-8d88-405f-a97d-8a7b95441a06	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/18/scrapwork-rager-scrapwork-rager?utm_source=api	Scrapwork Rager:  // Scrapwork Rager:
abro	The Brothers' War Art Series	2022-11-18	19	Brotherhood's End // Brotherhood's End	6492e923-8d50-4f17-a58b-44006f48fccc	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/19/brotherhoods-end-brotherhoods-end?utm_source=api	Brotherhood's End:  // Brotherhood's End:
abro	The Brothers' War Art Series	2022-11-18	20	The Fall of Kroog // The Fall of Kroog	3dd29e14-7771-472e-be33-d8d753a01805	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/20/the-fall-of-kroog-the-fall-of-kroog?utm_source=api	The Fall of Kroog:  // The Fall of Kroog:
abro	The Brothers' War Art Series	2022-11-18	21	Skitterbeam Battalion // Skitterbeam Battalion	03d9ff6a-a750-44bc-8508-aaef9bc38d6c	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/21/skitterbeam-battalion-skitterbeam-battalion?utm_source=api	Skitterbeam Battalion:  // Skitterbeam Battalion:
abro	The Brothers' War Art Series	2022-11-18	22	Argothian Opportunist // Argothian Opportunist	9099caab-6b29-482e-aae3-80201baee5fc	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/22/argothian-opportunist-argothian-opportunist?utm_source=api	Argothian Opportunist:  // Argothian Opportunist:
abro	The Brothers' War Art Series	2022-11-18	23	Argothian Sprite // Argothian Sprite	bce203e4-4be0-40f9-bdb0-2c92fdb65622	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/abro/23/argothian-sprite-argothian-sprite?utm_source=api	Argothian Sprite:  // Argothian Sprite:
