setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
acr	Assassin's Creed	2024-07-05	1	The Capitoline Triad	e0321049-a3ed-4378-b607-7fb190b6f0fd			combat_body				Legendary Creature — God Artificer	{10}	10			Those Who Came Before		verify analyzer roles	https://scryfall.com/card/acr/1/the-capitoline-triad?utm_source=api	Those Who Came Before — This spell costs {1} less to cast for each historic card in your graveyard. (Artifacts, legendaries, and Sagas are historic.) Exile any number of historic cards from your graveyard with total mana value 30 or greater: You get an emblem with "Creatures you control have base power and toughness 9/9."
acr	Assassin's Creed	2024-07-05	2	Caduceus, Staff of Hermes	7cea5b12-9483-4142-9efa-735305581e73			artifact_support, combat_support, lifegain, self_protection				Legendary Artifact — Equipment	{2}{W}	3	W	W	Equip		verify analyzer roles	https://scryfall.com/card/acr/2/caduceus-staff-of-hermes?utm_source=api	Equipped creature has lifelink. As long as you have 30 or more life, equipped creature gets +5/+5 and has indestructible and "Prevent all damage that would be dealt to this creature." Equip {W}{W}
acr	Assassin's Creed	2024-07-05	3	Distract the Guards	5b3687e5-546f-4a70-aa5c-b7db3300a3f4			combat_support, token_support				Sorcery	{1}{W}{W}	3	W	W	Freerunning		verify analyzer roles	https://scryfall.com/card/acr/3/distract-the-guards?utm_source=api	Freerunning {1}{W} (You may cast this spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.) Create three 1/1 white Human Rogue creature tokens.
acr	Assassin's Creed	2024-07-05	4	Fall of the First Civilization	dd0494f5-58bf-46ae-ad69-90b063f6f660			card_draw, direct_draw, draw, mass_removal, removal, sacrifice_support, targeted_removal				Enchantment — Saga	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/acr/4/fall-of-the-first-civilization?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — You and target opponent each draw two cards. II — Exile target artifact an opponent controls. III — Each player chooses three nonland permanents they control. Destroy all other nonland permanents.
acr	Assassin's Creed	2024-07-05	5	Haystack	d64d69bd-1815-4647-90bc-767fad5c7da7			protection, replacement_engine, targeted_protection				Artifact	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/acr/5/haystack?utm_source=api	{2}, {T}: Target creature you control phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)
acr	Assassin's Creed	2024-07-05	6	Hookblade	8df6c4e2-8b62-4c64-a1d2-f17ae9d02bac			artifact_support, combat_support				Artifact — Equipment	{1}{W}	2	W	W	Equip		verify analyzer roles	https://scryfall.com/card/acr/6/hookblade?utm_source=api	When this Equipment enters, attach it to target creature you control. Equipped creature gets +1/+0. During your turn, equipped creature has flying. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
acr	Assassin's Creed	2024-07-05	7	Layla Hassan	e27feb69-3120-4e8d-8ee6-0f87b58e2ae3			card_selection, combat_body, combat_support, combat_threat, hand_recursion, recursion				Legendary Creature — Human Assassin	{3}{W}	4	W	W	First strike		verify analyzer roles	https://scryfall.com/card/acr/7/layla-hassan?utm_source=api	First strike When Layla Hassan enters and whenever one or more Assassins you control deal combat damage to a player, return target historic card from your graveyard to your hand.
acr	Assassin's Creed	2024-07-05	8	Senu, Keen-Eyed Protector	bf2dc318-7b51-451e-ac4d-0f1b756dc860			card_selection, combat_body, combat_support, combat_threat, lifegain, repeatable_advantage, selection				Legendary Creature — Bird Scout	{1}{W}	2	W	W	Scry, Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/acr/8/senu-keen-eyed-protector?utm_source=api	Flying, vigilance {T}, Exile Senu: You gain 2 life and scry 2. When a legendary creature you control attacks and isn't blocked, if this card is exiled, put it onto the battlefield attacking.
acr	Assassin's Creed	2024-07-05	9	Tax Collector	66837faa-fbde-456d-b00f-eb17fbdd04aa			combat_body, combat_support, stax_piece				Creature — Human Advisor	{1}{W}	2	W	W	Detain, Tax, Arrest		verify analyzer roles	https://scryfall.com/card/acr/9/tax-collector?utm_source=api	When this creature enters, choose one — • Tax — Until your next turn, spells your opponents cast cost {1} more to cast. • Arrest — Detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)
acr	Assassin's Creed	2024-07-05	10	Templar Knight	f9453fe2-fadf-4cd4-8d2c-0eaa0e2d78d6			cheat_into_play, combat_body, combat_support, combat_threat, cost_reduction, repeatable_tutor, restricted_tutor, tutor				Creature — Human Knight	{1}{W}	2	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/acr/10/templar-knight?utm_source=api	Vigilance {W}, Tap five untapped attacking creatures you control named Templar Knight: Search your library for a legendary artifact card, put it onto the battlefield, then shuffle. A deck can have any number of cards named Templar Knight.
acr	Assassin's Creed	2024-07-05	11	What Must Be Done	bd0df0a8-c2ec-4d1f-9ada-cc91f7a20e1a			battlefield_recursion, card_selection, counter_support, mass_removal, recursion, removal				Sorcery	{3}{W}{W}	5	W	W	Release Juno, Let the World Burn		verify analyzer roles	https://scryfall.com/card/acr/11/what-must-be-done?utm_source=api	Choose one — • Let the World Burn — Destroy all artifacts and creatures. • Release Juno — Return target historic permanent card from your graveyard to the battlefield. It enters with two additional +1/+1 counters on it if it's a creature. (Artifacts, legendaries, and Sagas are historic.)
acr	Assassin's Creed	2024-07-05	12	Assassin Gauntlet	85d06533-3c0b-46a8-8fdb-379db9ae7e2e			artifact_support, card_draw, card_selection, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection				Artifact — Equipment	{2}{U}	3	U	U	Equip		verify analyzer roles	https://scryfall.com/card/acr/12/assassin-gauntlet?utm_source=api	When this Equipment enters, attach it to up to one target creature you control. Tap all creatures target opponent controls. Equipped creature gets +1/+1 and has "Whenever this creature deals combat damage to a player, draw a card, then discard a card." Equip {2}
acr	Assassin's Creed	2024-07-05	13	Ballad of the Black Flag	e8e15ab4-e4c7-4faf-b469-288451ddee02			card_selection, cost_reduction, draw, mill_support, ramp, restricted_tutor, sacrifice_support, selection, tutor				Enchantment — Saga	{1}{U}{U}	3	U	U	Mill		verify analyzer roles	https://scryfall.com/card/acr/13/ballad-of-the-black-flag?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I, II, III — Mill three cards. You may put a historic card from among them into your hand. (Artifacts, legendaries, and Sagas are historic.) IV — Historic spells you cast this turn cost {2} less to cast.
acr	Assassin's Creed	2024-07-05	14	Become Anonymous	bac0fcee-9c1a-46b7-86c8-ffbfcc1e96de			face_down_support, removal, self_protection, targeted_removal				Instant	{2}{U}{U}	4	U	U	Cloak		verify analyzer roles	https://scryfall.com/card/acr/14/become-anonymous?utm_source=api	Exile target nontoken creature you own and the top two cards of your library in a face-down pile, shuffle that pile, then cloak those cards. They enter tapped. (To cloak a card, put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.)
acr	Assassin's Creed	2024-07-05	15	Crystal Skull, Isu Spyglass	b1f8eb7b-7e01-4bf8-a557-64e16a6052af			card_draw, card_selection, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, selection, stable_ramp				Legendary Artifact	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/acr/15/crystal-skull-isu-spyglass?utm_source=api	You may look at the top card of your library any time. You may play historic lands and cast historic spells from the top of your library. (Artifacts, legendaries, and Sagas are historic.) {T}: Add {U}.
acr	Assassin's Creed	2024-07-05	16	Desynchronization	dab64d0f-1246-4a4d-9a79-6db2ca0c8882							Instant	{2}{U}{U}	4	U	U			manual review	https://scryfall.com/card/acr/16/desynchronization?utm_source=api	Return each nonland permanent that's not historic to its owner's hand. (Artifacts, legendaries, and Sagas are historic.)
acr	Assassin's Creed	2024-07-05	17	Eagle Vision	f96f1b4c-f06a-4374-8d8f-aaa06c6108c3			card_draw, combat_support, direct_draw, draw				Sorcery	{4}{U}	5	U	U	Freerunning		verify analyzer roles	https://scryfall.com/card/acr/17/eagle-vision?utm_source=api	Freerunning {1}{U} (You may cast this spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.) Draw three cards.
acr	Assassin's Creed	2024-07-05	18	Escape Detection	e16c5516-f73c-40c4-9ffa-39c6b2e92ab7			card_draw, combat_support, direct_draw, draw, removal, tempo_removal				Instant	{1}{U}{U}	3	U	U	Freerunning		verify analyzer roles	https://scryfall.com/card/acr/18/escape-detection?utm_source=api	Freerunning—Return a blue creature you control to its owner's hand. (You may cast this spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.) Return target creature to its owner's hand. Draw a card.
acr	Assassin's Creed	2024-07-05	19	Evie Frye	248cafe8-cc37-4cf3-8239-ac10e55ced13			card_draw, card_selection, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection				Legendary Creature — Human Assassin	{1}{U}	2	U	U	Partner with, Partner		verify analyzer roles	https://scryfall.com/card/acr/19/evie-frye?utm_source=api	Partner with Jacob Frye (When this creature enters, target player may put Jacob into their hand from their library, then shuffle.) {1}, {T}: Draw a card, then discard a card. When you discard a creature card this way, target creature you control can't be blocked this turn.
acr	Assassin's Creed	2024-07-05	20	Leonardo da Vinci	92a287a0-b3cc-4040-a530-fb71510cfc67			card_draw, card_selection, combat_body, combat_support, copy_support, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, scalable_spell, selection, token_support				Legendary Creature — Human Artificer	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/acr/20/leonardo-da-vinci?utm_source=api	{3}{U}{U}: Until end of turn, Thopters you control have base power and toughness X/X, where X is the number of cards in your hand. {2}{U}, {T}: Draw a card, then discard a card. If the discarded card was an artifact card, exile it from your graveyard. If you do, create a token that's a copy of it, except it's a 0/2 Thopter artifact creature with flying in addition to its other types.
