setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
admu	Dominaria United Art Series	2022-09-09	1	Karn, Living Legacy // Karn, Living Legacy	44dfde8d-bbf2-4161-97c0-73f26fa7e6bc							Card // Card		0					manual review	https://scryfall.com/card/admu/1/karn-living-legacy-karn-living-legacy?utm_source=api	Karn, Living Legacy:  // Karn, Living Legacy:
admu	Dominaria United Art Series	2022-09-09	3	Argivian Phalanx // Argivian Phalanx	f0497955-62bb-4b13-83d4-feb9730a973c							Card // Card		0					manual review	https://scryfall.com/card/admu/3/argivian-phalanx-argivian-phalanx?utm_source=api	Argivian Phalanx:  // Argivian Phalanx:
admu	Dominaria United Art Series	2022-09-09	4	Benalish Sleeper // Benalish Sleeper	02bbb973-6ef7-4431-bf64-c8f4cd3241a3							Card // Card		0					manual review	https://scryfall.com/card/admu/4/benalish-sleeper-benalish-sleeper?utm_source=api	Benalish Sleeper:  // Benalish Sleeper:
admu	Dominaria United Art Series	2022-09-09	5	Cleaving Skyrider // Cleaving Skyrider	fce58201-ef60-4835-b4fe-26d790e0c59d							Card // Card		0					manual review	https://scryfall.com/card/admu/5/cleaving-skyrider-cleaving-skyrider?utm_source=api	Cleaving Skyrider:  // Cleaving Skyrider:
admu	Dominaria United Art Series	2022-09-09	6	Danitha, Benalia's Hope // Danitha, Benalia's Hope	9e14a801-0bb8-40ca-b652-bb5d19c02a84							Card // Card		0					manual review	https://scryfall.com/card/admu/6/danitha-benalias-hope-danitha-benalias-hope?utm_source=api	Danitha, Benalia's Hope:  // Danitha, Benalia's Hope:
admu	Dominaria United Art Series	2022-09-09	7	Destroy Evil // Destroy Evil	62cd6921-9e8d-458e-860d-e614d89065d0							Card // Card		0					manual review	https://scryfall.com/card/admu/7/destroy-evil-destroy-evil?utm_source=api	Destroy Evil:  // Destroy Evil:
admu	Dominaria United Art Series	2022-09-09	8	Guardian of New Benalia // Guardian of New Benalia	bfd658ad-e5c6-49e3-ab61-159dd425bb84							Card // Card		0					manual review	https://scryfall.com/card/admu/8/guardian-of-new-benalia-guardian-of-new-benalia?utm_source=api	Guardian of New Benalia:  // Guardian of New Benalia:
admu	Dominaria United Art Series	2022-09-09	9	Join Forces // Join Forces	1345a6b5-70ef-4772-814f-7bbf512f5b90							Card // Card		0					manual review	https://scryfall.com/card/admu/9/join-forces-join-forces?utm_source=api	Join Forces:  // Join Forces:
admu	Dominaria United Art Series	2022-09-09	10	Knight of Dawn's Light // Knight of Dawn's Light	4eca97bc-8287-4d9e-af6c-b53921b405a8							Card // Card		0					manual review	https://scryfall.com/card/admu/10/knight-of-dawns-light-knight-of-dawns-light?utm_source=api	Knight of Dawn's Light:  // Knight of Dawn's Light:
admu	Dominaria United Art Series	2022-09-09	11	Phyrexian Missionary // Phyrexian Missionary	c506ae1a-6fa1-41fb-9d39-4da800e8e0fe							Card // Card		0					manual review	https://scryfall.com/card/admu/11/phyrexian-missionary-phyrexian-missionary?utm_source=api	Phyrexian Missionary:  // Phyrexian Missionary:
admu	Dominaria United Art Series	2022-09-09	12	Prayer of Binding // Prayer of Binding	4f96a114-8ca9-4d66-8b72-0cb2e1a366dc							Card // Card		0					manual review	https://scryfall.com/card/admu/12/prayer-of-binding-prayer-of-binding?utm_source=api	Prayer of Binding:  // Prayer of Binding:
admu	Dominaria United Art Series	2022-09-09	13	Resolute Reinforcements // Resolute Reinforcements	3aa8f9a5-a031-448c-8be0-12f7e53b13ae							Card // Card		0					manual review	https://scryfall.com/card/admu/13/resolute-reinforcements-resolute-reinforcements?utm_source=api	Resolute Reinforcements:  // Resolute Reinforcements:
admu	Dominaria United Art Series	2022-09-09	14	Battlewing Mystic // Battlewing Mystic	63ad1945-bb6b-4464-867e-33e05a204b11							Card // Card		0					manual review	https://scryfall.com/card/admu/14/battlewing-mystic-battlewing-mystic?utm_source=api	Battlewing Mystic:  // Battlewing Mystic:
admu	Dominaria United Art Series	2022-09-09	15	Haughty Djinn // Haughty Djinn	2efcefee-2a40-4f51-81f0-37b94e9ab0f1							Card // Card		0					manual review	https://scryfall.com/card/admu/15/haughty-djinn-haughty-djinn?utm_source=api	Haughty Djinn:  // Haughty Djinn:
admu	Dominaria United Art Series	2022-09-09	16	Rona's Vortex // Rona's Vortex	c510d80e-e60e-467d-b37b-bc33eb832857							Card // Card		0					manual review	https://scryfall.com/card/admu/16/ronas-vortex-ronas-vortex?utm_source=api	Rona's Vortex:  // Rona's Vortex:
admu	Dominaria United Art Series	2022-09-09	17	Talas Lookout // Talas Lookout	e20412ba-d3d2-4fcf-992b-c90b35c348a2							Card // Card		0					manual review	https://scryfall.com/card/admu/17/talas-lookout-talas-lookout?utm_source=api	Talas Lookout:  // Talas Lookout:
admu	Dominaria United Art Series	2022-09-09	18	Tolarian Terror // Tolarian Terror	6efec474-9f92-4939-807a-9f809bbeb69e							Card // Card		0					manual review	https://scryfall.com/card/admu/18/tolarian-terror-tolarian-terror?utm_source=api	Tolarian Terror:  // Tolarian Terror:
admu	Dominaria United Art Series	2022-09-09	19	Vesuvan Duplimancy // Vesuvan Duplimancy	7e2f8443-b551-4af6-b740-734feb94cbb6							Card // Card		0					manual review	https://scryfall.com/card/admu/19/vesuvan-duplimancy-vesuvan-duplimancy?utm_source=api	Vesuvan Duplimancy:  // Vesuvan Duplimancy:
admu	Dominaria United Art Series	2022-09-09	20	Vodalian Hexcatcher // Vodalian Hexcatcher	91841679-0db2-4e04-b0f8-2aad6ad8164e							Card // Card		0					manual review	https://scryfall.com/card/admu/20/vodalian-hexcatcher-vodalian-hexcatcher?utm_source=api	Vodalian Hexcatcher:  // Vodalian Hexcatcher:
admu	Dominaria United Art Series	2022-09-09	21	Vodalian Mindsinger // Vodalian Mindsinger	721f04bf-1def-49f0-90b6-266f426fc865							Card // Card		0					manual review	https://scryfall.com/card/admu/21/vodalian-mindsinger-vodalian-mindsinger?utm_source=api	Vodalian Mindsinger:  // Vodalian Mindsinger:
admu	Dominaria United Art Series	2022-09-09	22	Bone Splinters // Bone Splinters	bdffcb41-2fae-4a7d-9f21-636b08607ef4							Card // Card		0					manual review	https://scryfall.com/card/admu/22/bone-splinters-bone-splinters?utm_source=api	Bone Splinters:  // Bone Splinters:
admu	Dominaria United Art Series	2022-09-09	23	Braids, Arisen Nightmare // Braids, Arisen Nightmare	a04c1643-2314-4fbe-b49e-a73ee1fee2a9							Card // Card		0					manual review	https://scryfall.com/card/admu/23/braids-arisen-nightmare-braids-arisen-nightmare?utm_source=api	Braids, Arisen Nightmare:  // Braids, Arisen Nightmare:
admu	Dominaria United Art Series	2022-09-09	24	Liliana of the Veil // Liliana of the Veil	c8268c07-74a0-4c7b-8856-ef7b46959601							Card // Card		0					manual review	https://scryfall.com/card/admu/24/liliana-of-the-veil-liliana-of-the-veil?utm_source=api	Liliana of the Veil:  // Liliana of the Veil:
admu	Dominaria United Art Series	2022-09-09	25	Shadow Prophecy // Shadow Prophecy	6bc3d481-d8a6-4105-91f5-4b65b8d72451							Card // Card		0					manual review	https://scryfall.com/card/admu/25/shadow-prophecy-shadow-prophecy?utm_source=api	Shadow Prophecy:  // Shadow Prophecy:
admu	Dominaria United Art Series	2022-09-09	26	Sheoldred, the Apocalypse // Sheoldred, the Apocalypse	d8729e60-be1c-4c76-903b-e5624a5b6b50							Card // Card		0					manual review	https://scryfall.com/card/admu/26/sheoldred-the-apocalypse-sheoldred-the-apocalypse?utm_source=api	Sheoldred, the Apocalypse:  // Sheoldred, the Apocalypse:
admu	Dominaria United Art Series	2022-09-09	27	Writhing Necromass // Writhing Necromass	f6cdde07-c4de-4bf9-a0e6-49103a1f32ba							Card // Card		0					manual review	https://scryfall.com/card/admu/27/writhing-necromass-writhing-necromass?utm_source=api	Writhing Necromass:  // Writhing Necromass:
admu	Dominaria United Art Series	2022-09-09	28	Balduvian Berserker // Balduvian Berserker	3b585692-1a02-4954-a4f2-cb204672fb59							Card // Card		0					manual review	https://scryfall.com/card/admu/28/balduvian-berserker-balduvian-berserker?utm_source=api	Balduvian Berserker:  // Balduvian Berserker:
admu	Dominaria United Art Series	2022-09-09	29	Dragon Whelp // Dragon Whelp	ba2016ab-6ea8-40aa-ae79-131183d83888							Card // Card		0					manual review	https://scryfall.com/card/admu/29/dragon-whelp-dragon-whelp?utm_source=api	Dragon Whelp:  // Dragon Whelp:
admu	Dominaria United Art Series	2022-09-09	30	Electrostatic Infantry // Electrostatic Infantry	0459db3d-abdd-4121-82e0-770e25660bfb							Card // Card		0					manual review	https://scryfall.com/card/admu/30/electrostatic-infantry-electrostatic-infantry?utm_source=api	Electrostatic Infantry:  // Electrostatic Infantry:
admu	Dominaria United Art Series	2022-09-09	31	Furious Bellow // Furious Bellow	95e3d75e-c9ee-4db0-b08c-5cccab3440b5							Card // Card		0					manual review	https://scryfall.com/card/admu/31/furious-bellow-furious-bellow?utm_source=api	Furious Bellow:  // Furious Bellow:
admu	Dominaria United Art Series	2022-09-09	32	Ghitu Amplifier // Ghitu Amplifier	23e912b9-944f-4b2b-895e-8180e8dfcaa5							Card // Card		0					manual review	https://scryfall.com/card/admu/32/ghitu-amplifier-ghitu-amplifier?utm_source=api	Ghitu Amplifier:  // Ghitu Amplifier:
admu	Dominaria United Art Series	2022-09-09	33	Hurloon Battle Hymn // Hurloon Battle Hymn	264bfd37-770d-4c72-8198-b6dedd147b76							Card // Card		0					manual review	https://scryfall.com/card/admu/33/hurloon-battle-hymn-hurloon-battle-hymn?utm_source=api	Hurloon Battle Hymn:  // Hurloon Battle Hymn:
admu	Dominaria United Art Series	2022-09-09	34	Jaya, Fiery Negotiator // Jaya, Fiery Negotiator	7b4e99e2-34d5-4655-b538-76c111966549							Card // Card		0					manual review	https://scryfall.com/card/admu/34/jaya-fiery-negotiator-jaya-fiery-negotiator?utm_source=api	Jaya, Fiery Negotiator:  // Jaya, Fiery Negotiator:
admu	Dominaria United Art Series	2022-09-09	36	Mana Cannons // Mana Cannons	96281ece-9801-4729-bed4-af7e9dfd2d2a							Card // Card		0					manual review	https://scryfall.com/card/admu/36/mana-cannons-mana-cannons?utm_source=api	Mana Cannons:  // Mana Cannons:
admu	Dominaria United Art Series	2022-09-09	37	Meria's Outrider // Meria's Outrider	3b70425f-e792-40f4-a9b2-c4d5a2ee27bc							Card // Card		0					manual review	https://scryfall.com/card/admu/37/merias-outrider-merias-outrider?utm_source=api	Meria's Outrider:  // Meria's Outrider:
admu	Dominaria United Art Series	2022-09-09	38	Sprouting Goblin // Sprouting Goblin	7e754dca-92d0-4a53-a7ca-9849553229cb							Card // Card		0					manual review	https://scryfall.com/card/admu/38/sprouting-goblin-sprouting-goblin?utm_source=api	Sprouting Goblin:  // Sprouting Goblin:
admu	Dominaria United Art Series	2022-09-09	39	Twinferno // Twinferno	a4e37428-20bb-4c4a-9496-281d436d9c36							Card // Card		0					manual review	https://scryfall.com/card/admu/39/twinferno-twinferno?utm_source=api	Twinferno:  // Twinferno:
admu	Dominaria United Art Series	2022-09-09	40	Magnigoth Sentry // Magnigoth Sentry	9436b191-026e-45d8-a7c2-d5164cee6109							Card // Card		0					manual review	https://scryfall.com/card/admu/40/magnigoth-sentry-magnigoth-sentry?utm_source=api	Magnigoth Sentry:  // Magnigoth Sentry:
admu	Dominaria United Art Series	2022-09-09	41	Strength of the Coalition // Strength of the Coalition	0541670a-5f8c-4533-853c-b9895ce4cbf4							Card // Card		0					manual review	https://scryfall.com/card/admu/41/strength-of-the-coalition-strength-of-the-coalition?utm_source=api	Strength of the Coalition:  // Strength of the Coalition:
admu	Dominaria United Art Series	2022-09-09	42	Ajani, Sleeper Agent // Ajani, Sleeper Agent	76b388cc-5547-4806-b940-fb2398726dbe							Card // Card		0					manual review	https://scryfall.com/card/admu/42/ajani-sleeper-agent-ajani-sleeper-agent?utm_source=api	Ajani, Sleeper Agent:  // Ajani, Sleeper Agent:
admu	Dominaria United Art Series	2022-09-09	43	Aron, Benalia's Ruin // Aron, Benalia's Ruin	39e7256d-343b-4cd5-a110-f72e20e38640							Card // Card		0					manual review	https://scryfall.com/card/admu/43/aron-benalias-ruin-aron-benalias-ruin?utm_source=api	Aron, Benalia's Ruin:  // Aron, Benalia's Ruin:
