setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
afdn	Foundations Art Series	2024-11-15	1	Cat Collector // Cat Collector	fe1350ce-3aba-411f-bb62-55bc676b29cb	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/1/cat-collector-cat-collector?utm_source=api	Cat Collector:  // Cat Collector:
afdn	Foundations Art Series	2024-11-15	2	Celestial Armor // Celestial Armor	9137a405-f0a2-407a-8f37-2493a006b114	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/2/celestial-armor-celestial-armor?utm_source=api	Celestial Armor:  // Celestial Armor:
afdn	Foundations Art Series	2024-11-15	3	Felidar Savior // Felidar Savior	9937e05d-a7c0-4258-8081-b8237327e458	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/3/felidar-savior-felidar-savior?utm_source=api	Felidar Savior:  // Felidar Savior:
afdn	Foundations Art Series	2024-11-15	4	Skyknight Squire // Skyknight Squire	87127bf0-464a-4b92-a4dd-dcc57404791e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/4/skyknight-squire-skyknight-squire?utm_source=api	Skyknight Squire:  // Skyknight Squire:
afdn	Foundations Art Series	2024-11-15	5	Drake Hatcher // Drake Hatcher	1bf47c5e-7309-4103-a318-e6bb12527fde	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/5/drake-hatcher-drake-hatcher?utm_source=api	Drake Hatcher:  // Drake Hatcher:
afdn	Foundations Art Series	2024-11-15	6	Faebloom Trick // Faebloom Trick	2993b2ad-612c-499b-8c89-89c3242a5b1c	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/6/faebloom-trick-faebloom-trick?utm_source=api	Faebloom Trick:  // Faebloom Trick:
afdn	Foundations Art Series	2024-11-15	7	Mischievous Mystic // Mischievous Mystic	454c3afa-6a18-42ce-bd7b-9e66547645b0	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/7/mischievous-mystic-mischievous-mystic?utm_source=api	Mischievous Mystic:  // Mischievous Mystic:
afdn	Foundations Art Series	2024-11-15	8	Nine-Lives Familiar // Nine-Lives Familiar	dc05c070-10fd-4a58-a4e2-86365f26c511	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/8/nine-lives-familiar-nine-lives-familiar?utm_source=api	Nine-Lives Familiar:  // Nine-Lives Familiar:
afdn	Foundations Art Series	2024-11-15	9	Soul-Shackled Zombie // Soul-Shackled Zombie	4a44b089-f43c-4ace-ab12-89dfa6526aca	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/9/soul-shackled-zombie-soul-shackled-zombie?utm_source=api	Soul-Shackled Zombie:  // Soul-Shackled Zombie:
afdn	Foundations Art Series	2024-11-15	10	Zul Ashur, Lich Lord // Zul Ashur, Lich Lord	42658485-7146-423f-975c-d5762121ca7e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afdn/10/zul-ashur-lich-lord-zul-ashur-lich-lord?utm_source=api	Zul Ashur, Lich Lord:  // Zul Ashur, Lich Lord:
