setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
afic	Final Fantasy Scene Box	2025-12-05	1	Garland, Royal Kidnapper // Garland, Royal Kidnapper	0f925a1d-e0ce-48d4-8f0a-4177729810dd							Card // Card		0					manual review	https://scryfall.com/card/afic/1/garland-royal-kidnapper-garland-royal-kidnapper?utm_source=api	Garland, Royal Kidnapper:  // Garland, Royal Kidnapper:
afic	Final Fantasy Scene Box	2025-12-05	2	The Destined Warrior // The Destined Warrior	cb81ca7e-f087-4899-b527-14c7e841cd43							Card // Card		0					manual review	https://scryfall.com/card/afic/2/the-destined-warrior-the-destined-warrior?utm_source=api	The Destined Warrior:  // The Destined Warrior:
afic	Final Fantasy Scene Box	2025-12-05	3	The Destined White Mage // The Destined White Mage	a08a1fe6-5c2b-4a13-9039-9c0438885a1a							Card // Card		0					manual review	https://scryfall.com/card/afic/3/the-destined-white-mage-the-destined-white-mage?utm_source=api	The Destined White Mage:  // The Destined White Mage:
afic	Final Fantasy Scene Box	2025-12-05	4	Chaos Shrine's Black Crystal // Chaos Shrine's Black Crystal	9590ce4c-09f8-4faf-abcd-c599b61aebf0							Card // Card		0					manual review	https://scryfall.com/card/afic/4/chaos-shrines-black-crystal-chaos-shrines-black-crystal?utm_source=api	Chaos Shrine's Black Crystal:  // Chaos Shrine's Black Crystal:
afic	Final Fantasy Scene Box	2025-12-05	5	The Destined Thief // The Destined Thief	0361b51f-316f-46b9-91d7-ef366794a490							Card // Card		0					manual review	https://scryfall.com/card/afic/5/the-destined-thief-the-destined-thief?utm_source=api	The Destined Thief:  // The Destined Thief:
afic	Final Fantasy Scene Box	2025-12-05	6	The Destined Black Mage // The Destined Black Mage	93aa5b59-720b-4e99-b03e-277e950bf95d							Card // Card		0					manual review	https://scryfall.com/card/afic/6/the-destined-black-mage-the-destined-black-mage?utm_source=api	The Destined Black Mage:  // The Destined Black Mage:
afic	Final Fantasy Scene Box	2025-12-05	7	Edea, Possessed Sorceress // Edea, Possessed Sorceress	e7c3d8d3-c8ab-48c4-92b0-841ef58e42f6							Card // Card		0					manual review	https://scryfall.com/card/afic/7/edea-possessed-sorceress-edea-possessed-sorceress?utm_source=api	Edea, Possessed Sorceress:  // Edea, Possessed Sorceress:
afic	Final Fantasy Scene Box	2025-12-05	8	Fated Clash // Fated Clash	ecffaf93-241d-4739-84d1-71daf31332fa							Card // Card		0					manual review	https://scryfall.com/card/afic/8/fated-clash-fated-clash?utm_source=api	Fated Clash:  // Fated Clash:
afic	Final Fantasy Scene Box	2025-12-05	9	Rinoa, Angel Wing // Rinoa, Angel Wing	74fe1163-5be6-468d-83fb-5f1a7d6fac01							Card // Card		0					manual review	https://scryfall.com/card/afic/9/rinoa-angel-wing-rinoa-angel-wing?utm_source=api	Rinoa, Angel Wing:  // Rinoa, Angel Wing:
afic	Final Fantasy Scene Box	2025-12-05	10	Seifer, Balamb Rival // Seifer, Balamb Rival	a4bf6f0b-e3f2-48a4-b4cc-02fece9a0465							Card // Card		0					manual review	https://scryfall.com/card/afic/10/seifer-balamb-rival-seifer-balamb-rival?utm_source=api	Seifer, Balamb Rival:  // Seifer, Balamb Rival:
afic	Final Fantasy Scene Box	2025-12-05	11	Duelist's Flame // Duelist's Flame	7860d999-1668-40a8-b751-b354f2609eb0							Card // Card		0					manual review	https://scryfall.com/card/afic/11/duelists-flame-duelists-flame?utm_source=api	Duelist's Flame:  // Duelist's Flame:
afic	Final Fantasy Scene Box	2025-12-05	12	Squall, Gunblade Duelist // Squall, Gunblade Duelist	f533e95d-ab4b-45d1-940d-c363454980a7							Card // Card		0					manual review	https://scryfall.com/card/afic/12/squall-gunblade-duelist-squall-gunblade-duelist?utm_source=api	Squall, Gunblade Duelist:  // Squall, Gunblade Duelist:
afic	Final Fantasy Scene Box	2025-12-05	13	Brilliant Wings // Brilliant Wings	7c668ccb-5267-41f4-a4fe-841e21d2dbcc							Card // Card		0					manual review	https://scryfall.com/card/afic/13/brilliant-wings-brilliant-wings?utm_source=api	Brilliant Wings:  // Brilliant Wings:
afic	Final Fantasy Scene Box	2025-12-05	14	Judgment of Alexander // Judgment of Alexander	aa6c4288-b368-423c-8491-3169e07efa02							Card // Card		0					manual review	https://scryfall.com/card/afic/14/judgment-of-alexander-judgment-of-alexander?utm_source=api	Judgment of Alexander:  // Judgment of Alexander:
afic	Final Fantasy Scene Box	2025-12-05	15	Mega Flare // Mega Flare	b5c59b64-86a2-4e8a-bda7-23cb8b9ce57f							Card // Card		0					manual review	https://scryfall.com/card/afic/15/mega-flare-mega-flare?utm_source=api	Mega Flare:  // Mega Flare:
afic	Final Fantasy Scene Box	2025-12-05	16	Amarant Coral // Amarant Coral	2a3cda7a-88e1-4622-b567-b39813aa4a58							Card // Card		0					manual review	https://scryfall.com/card/afic/16/amarant-coral-amarant-coral?utm_source=api	Amarant Coral:  // Amarant Coral:
afic	Final Fantasy Scene Box	2025-12-05	17	Vivi's Persistence // Vivi's Persistence	a9d6df86-0adf-4307-b3c9-7816b2a8fb77							Card // Card		0					manual review	https://scryfall.com/card/afic/17/vivis-persistence-vivis-persistence?utm_source=api	Vivi's Persistence:  // Vivi's Persistence:
afic	Final Fantasy Scene Box	2025-12-05	18	Search for Dagger // Search for Dagger	2d9ff27d-42a8-4a1f-b929-45fb73b7cfe3							Card // Card		0					manual review	https://scryfall.com/card/afic/18/search-for-dagger-search-for-dagger?utm_source=api	Search for Dagger:  // Search for Dagger:
afic	Final Fantasy Scene Box	2025-12-05	19	Noctis, Heir Apparent // Noctis, Heir Apparent	4aef914b-64cd-4505-8519-89dbf57f4c87							Card // Card		0					manual review	https://scryfall.com/card/afic/19/noctis-heir-apparent-noctis-heir-apparent?utm_source=api	Noctis, Heir Apparent:  // Noctis, Heir Apparent:
afic	Final Fantasy Scene Box	2025-12-05	20	Fishing Gear // Fishing Gear	a575ad9d-6222-4d5a-9bc0-47480e5644f2							Card // Card		0					manual review	https://scryfall.com/card/afic/20/fishing-gear-fishing-gear?utm_source=api	Fishing Gear:  // Fishing Gear:
afic	Final Fantasy Scene Box	2025-12-05	21	Chocobo Camp // Chocobo Camp	84c22e96-9625-440f-b1dd-a200da9ba6c2							Card // Card		0					manual review	https://scryfall.com/card/afic/21/chocobo-camp-chocobo-camp?utm_source=api	Chocobo Camp:  // Chocobo Camp:
afic	Final Fantasy Scene Box	2025-12-05	22	Flash Photography // Flash Photography	382d370f-77f6-4a69-808d-64506b107e6f							Card // Card		0					manual review	https://scryfall.com/card/afic/22/flash-photography-flash-photography?utm_source=api	Flash Photography:  // Flash Photography:
afic	Final Fantasy Scene Box	2025-12-05	23	Campsite Cuisine // Campsite Cuisine	c038668c-e5b5-4ad7-9c8e-64637e7bd991							Card // Card		0					manual review	https://scryfall.com/card/afic/23/campsite-cuisine-campsite-cuisine?utm_source=api	Campsite Cuisine:  // Campsite Cuisine:
afic	Final Fantasy Scene Box	2025-12-05	24	Warrior's Resolve // Warrior's Resolve	60e517bd-43b8-49e8-8ff1-7df408491abe							Card // Card		0					manual review	https://scryfall.com/card/afic/24/warriors-resolve-warriors-resolve?utm_source=api	Warrior's Resolve:  // Warrior's Resolve:
