setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
afin	Final Fantasy Art Series	2025-06-13	1	Delivery Moogle // Delivery Moogle	3c788153-e4c5-41b7-9639-2146a1d70e6b	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/1/delivery-moogle-delivery-moogle?utm_source=api	Delivery Moogle:  // Delivery Moogle:
afin	Final Fantasy Art Series	2025-06-13	2	Machinist's Arsenal // Machinist's Arsenal	baafba02-4683-4819-a921-ec8ecb99443a	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/2/machinists-arsenal-machinists-arsenal?utm_source=api	Machinist's Arsenal:  // Machinist's Arsenal:
afin	Final Fantasy Art Series	2025-06-13	3	Stiltzkin, Moogle Merchant // Stiltzkin, Moogle Merchant	cf9042ae-5f11-4ac3-99e7-6c9583894676	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/3/stiltzkin-moogle-merchant-stiltzkin-moogle-merchant?utm_source=api	Stiltzkin, Moogle Merchant:  // Stiltzkin, Moogle Merchant:
afin	Final Fantasy Art Series	2025-06-13	4	Astrologian's Planisphere // Astrologian's Planisphere	fea86d60-fac0-49a0-b1a1-887a41609dab	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/4/astrologians-planisphere-astrologians-planisphere?utm_source=api	Astrologian's Planisphere:  // Astrologian's Planisphere:
afin	Final Fantasy Art Series	2025-06-13	5	Sage's Nouliths // Sage's Nouliths	9dd97dcd-b225-42f8-86a7-240ae1c57c9b	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/5/sages-nouliths-sages-nouliths?utm_source=api	Sage's Nouliths:  // Sage's Nouliths:
afin	Final Fantasy Art Series	2025-06-13	6	The Final Days // The Final Days	8f854517-b3ed-4f3e-806e-fe6e48940d6e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/6/the-final-days-the-final-days?utm_source=api	The Final Days:  // The Final Days:
afin	Final Fantasy Art Series	2025-06-13	7	Yiazmat, Ultimate Mark // Yiazmat, Ultimate Mark	f4ef81e9-ee72-473a-ac53-d1d4e479d803	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/7/yiazmat-ultimate-mark-yiazmat-ultimate-mark?utm_source=api	Yiazmat, Ultimate Mark:  // Yiazmat, Ultimate Mark:
afin	Final Fantasy Art Series	2025-06-13	8	Barret Wallace // Barret Wallace	06790673-cf30-4d17-9915-2199303d7b6e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/8/barret-wallace-barret-wallace?utm_source=api	Barret Wallace:  // Barret Wallace:
afin	Final Fantasy Art Series	2025-06-13	9	Sorceress's Schemes // Sorceress's Schemes	e6609205-d5bd-4ec8-9c57-336952616b82	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/9/sorceresss-schemes-sorceresss-schemes?utm_source=api	Sorceress's Schemes:  // Sorceress's Schemes:
afin	Final Fantasy Art Series	2025-06-13	10	Gysahl Greens // Gysahl Greens	e86b5d0e-ff01-40cc-bde2-4408501736a7	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/afin/10/gysahl-greens-gysahl-greens?utm_source=api	Gysahl Greens:  // Gysahl Greens:
