setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
afr	Adventures in the Forgotten Realms	2021-07-23	1	+2 Mace	629fe1be-272d-465f-b9b1-2ce177410f13	covered	artifact_support, combat_support	artifact_support, combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{1}{W}	2	W	W	Equip		verify analyzer roles	https://scryfall.com/card/afr/1/+2-mace?utm_source=api	Equipped creature gets +2/+2. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
afr	Adventures in the Forgotten Realms	2021-07-23	2	Arborea Pegasus	9a17452d-3adb-42ec-99f8-0083740cefa0	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Pegasus	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/afr/2/arborea-pegasus?utm_source=api	Flying When this creature enters, target creature gets +1/+1 and gains flying until end of turn.
afr	Adventures in the Forgotten Realms	2021-07-23	3	Blink Dog	02a7d95a-0a45-4aa3-b5b8-01c0b36462d8	covered	combat_body, combat_threat, replacement_engine	combat_body, combat_threat, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Dog	{2}{W}	3	W	W	Double strike		verify analyzer roles	https://scryfall.com/card/afr/3/blink-dog?utm_source=api	Double strike Teleport — {3}{W}: This creature phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)
afr	Adventures in the Forgotten Realms	2021-07-23	4	The Book of Exalted Deeds	046add85-952f-46ac-974a-463d2a7d3fd4	covered		broad_protection, counter_support, protection, token_support	false		Covered by PRM role audit.	Legendary Artifact — Book	{W}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/afr/4/the-book-of-exalted-deeds?utm_source=api	At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying. {W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains "You can't lose the game and your opponents can't win the game." Activate only as a sorcery.
afr	Adventures in the Forgotten Realms	2021-07-23	5	Celestial Unicorn	be030639-cbc9-416b-b0ca-1a76439791d8	covered	combat_body, counter_support, lifegain	combat_body, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Unicorn	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/afr/5/celestial-unicorn?utm_source=api	Whenever you gain life, put a +1/+1 counter on this creature.
afr	Adventures in the Forgotten Realms	2021-07-23	6	Cleric Class	f0ead7f5-5c82-40fd-8e89-3e3c5d31fbad	covered	battlefield_recursion, card_selection, counter_support, lifegain, recursion, repeatable_advantage, replacement_engine	battlefield_recursion, card_selection, counter_support, lifegain, recursion, repeatable_advantage, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Enchantment — Class	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/afr/6/cleric-class?utm_source=api	(Gain the next level as a sorcery to add its ability.) If you would gain life, you gain that much life plus 1 instead. {3}{W}: Level 2 Whenever you gain life, put a +1/+1 counter on target creature you control. {4}{W}: Level 3 When this Class becomes level 3, return target creature card from your graveyard to the battlefield. You gain life equal to that creature's toughness.
afr	Adventures in the Forgotten Realms	2021-07-23	7	Cloister Gargoyle	e1e84b14-c521-4eb7-92ed-bde1131e8662	covered	combat_body, combat_support, dungeon_support, repeatable_advantage	combat_body, combat_support, dungeon_support, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Gargoyle	{2}{W}	3	W	W	Venture into the dungeon		verify analyzer roles	https://scryfall.com/card/afr/7/cloister-gargoyle?utm_source=api	When this creature enters, venture into the dungeon. (Enter the first room or advance to the next room.) As long as you've completed a dungeon, this creature gets +3/+0 and has flying.
afr	Adventures in the Forgotten Realms	2021-07-23	A-7	A-Cloister Gargoyle	bae589b6-d489-43d0-beae-b5695c266a47	covered	combat_body, dungeon_support, repeatable_advantage	combat_body, dungeon_support, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Gargoyle	{1}{W}	2	W	W	Venture into the dungeon		verify analyzer roles	https://scryfall.com/card/afr/A-7/a-cloister-gargoyle?utm_source=api	When Cloister Gargoyle enters, venture into the dungeon. (Enter the first room or advance to the next room.) As long as you've completed a dungeon, Cloister Gargoyle gets +3/+0 and has flying.
afr	Adventures in the Forgotten Realms	2021-07-23	8	Dancing Sword	da3b12d1-8867-4063-b50d-3b2f5ce0549f	covered		artifact_support, combat_support, sacrifice_support, self_protection	false		Covered by PRM role audit.	Artifact — Equipment	{1}{W}	2	W	W	Equip		already reviewed	https://scryfall.com/card/afr/8/dancing-sword?utm_source=api	Equipped creature gets +2/+1. When equipped creature dies, you may have this Equipment become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment. Equip {1}
afr	Adventures in the Forgotten Realms	2021-07-23	9	Dawnbringer Cleric	0146f430-da82-48d3-a576-c2b05101797f	covered	combat_body, graveyard_hate, lifegain, removal, targeted_removal	combat_body, graveyard_hate, lifegain, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/afr/9/dawnbringer-cleric?utm_source=api	When this creature enters, choose one — • Cure Wounds — You gain 2 life. • Dispel Magic — Destroy target enchantment. • Gentle Repose — Exile target card from a graveyard.
