setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
akhm	Kaldheim Art Series	2021-02-05	1	Beskir Shieldmate // Beskir Shieldmate	5e262334-ff35-46e2-8884-e2153baec663							Card // Card		0					manual review	https://scryfall.com/card/akhm/1/beskir-shieldmate-beskir-shieldmate?utm_source=api	Beskir Shieldmate:  // Beskir Shieldmate:
akhm	Kaldheim Art Series	2021-02-05	2	Halvar, God of Battle // Halvar, God of Battle	bb7e8590-8130-4576-915e-a8866ff2d148							Card // Card		0					manual review	https://scryfall.com/card/akhm/2/halvar-god-of-battle-halvar-god-of-battle?utm_source=api	Halvar, God of Battle:  // Halvar, God of Battle:
akhm	Kaldheim Art Series	2021-02-05	3	Reidane, God of the Worthy // Reidane, God of the Worthy	b6f664ef-5b98-41b2-a831-7dcbbaaa1c74							Card // Card		0					manual review	https://scryfall.com/card/akhm/3/reidane-god-of-the-worthy-reidane-god-of-the-worthy?utm_source=api	Reidane, God of the Worthy:  // Reidane, God of the Worthy:
akhm	Kaldheim Art Series	2021-02-05	4	Resplendent Marshal // Resplendent Marshal	bff7991a-b475-47a2-8e65-5d77eaeb4998							Card // Card		0					manual review	https://scryfall.com/card/akhm/4/resplendent-marshal-resplendent-marshal?utm_source=api	Resplendent Marshal:  // Resplendent Marshal:
akhm	Kaldheim Art Series	2021-02-05	5	Revitalize // Revitalize	2c196f61-0235-41cc-9a61-2d00784cf6a9							Card // Card		0					manual review	https://scryfall.com/card/akhm/5/revitalize-revitalize?utm_source=api	Revitalize:  // Revitalize:
akhm	Kaldheim Art Series	2021-02-05	6	Righteous Valkyrie // Righteous Valkyrie	347c626b-bc7a-4094-a6ae-b6017d25a46d							Card // Card		0					manual review	https://scryfall.com/card/akhm/6/righteous-valkyrie-righteous-valkyrie?utm_source=api	Righteous Valkyrie:  // Righteous Valkyrie:
akhm	Kaldheim Art Series	2021-02-05	7	Search for Glory // Search for Glory	ec6df109-771e-4357-9d2f-9e5bc860f558							Card // Card		0					manual review	https://scryfall.com/card/akhm/7/search-for-glory-search-for-glory?utm_source=api	Search for Glory:  // Search for Glory:
akhm	Kaldheim Art Series	2021-02-05	8	Starnheim Unleashed // Starnheim Unleashed	bca8578d-03d1-4eb3-8f9f-bfa6314be3bd							Card // Card		0					manual review	https://scryfall.com/card/akhm/8/starnheim-unleashed-starnheim-unleashed?utm_source=api	Starnheim Unleashed:  // Starnheim Unleashed:
akhm	Kaldheim Art Series	2021-02-05	9	Alrund, God of the Cosmos // Alrund, God of the Cosmos	094b62b0-be26-4638-bfd7-280126aa78c8							Card // Card		0					manual review	https://scryfall.com/card/akhm/9/alrund-god-of-the-cosmos-alrund-god-of-the-cosmos?utm_source=api	Alrund, God of the Cosmos:  // Alrund, God of the Cosmos:
akhm	Kaldheim Art Series	2021-02-05	10	Behold the Multiverse // Behold the Multiverse	52c70f27-64b6-4a9e-b669-f80e4e013fb5							Card // Card		0					manual review	https://scryfall.com/card/akhm/10/behold-the-multiverse-behold-the-multiverse?utm_source=api	Behold the Multiverse:  // Behold the Multiverse:
