setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
altc	Tales of Middle-earth Scene Box	2023-11-04	1	Andúril, Narsil Reforged // Andúril, Narsil Reforged	cc05c2d0-480f-41ca-9f05-7420ddfced65	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/1/and%C3%BAril-narsil-reforged-and%C3%BAril-narsil-reforged?utm_source=api	Andúril, Narsil Reforged:  // Andúril, Narsil Reforged:
altc	Tales of Middle-earth Scene Box	2023-11-04	2	Aragorn, Hornburg Hero // Aragorn, Hornburg Hero	49310860-fa8a-492a-a3ca-7051955811fe	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/2/aragorn-hornburg-hero-aragorn-hornburg-hero?utm_source=api	Aragorn, Hornburg Hero:  // Aragorn, Hornburg Hero:
altc	Tales of Middle-earth Scene Box	2023-11-04	3	Legolas's Quick Reflexes // Legolas's Quick Reflexes	52c8cdd7-939e-416a-aeb8-fb8f9f2b631e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/3/legolass-quick-reflexes-legolass-quick-reflexes?utm_source=api	Legolas's Quick Reflexes:  // Legolas's Quick Reflexes:
altc	Tales of Middle-earth Scene Box	2023-11-04	4	Gimli's Reckless Might // Gimli's Reckless Might	122001d9-6d1a-4dea-851c-23c092e8a828	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/4/gimlis-reckless-might-gimlis-reckless-might?utm_source=api	Gimli's Reckless Might:  // Gimli's Reckless Might:
altc	Tales of Middle-earth Scene Box	2023-11-04	5	Isengard Unleashed // Isengard Unleashed	cccc1022-1bab-4df6-96e0-c3d8892451bc	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/5/isengard-unleashed-isengard-unleashed?utm_source=api	Isengard Unleashed:  // Isengard Unleashed:
altc	Tales of Middle-earth Scene Box	2023-11-04	6	Rohirrim Chargers // Rohirrim Chargers	22da0c61-4b21-4d00-b152-09fe1e935668	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/6/rohirrim-chargers-rohirrim-chargers?utm_source=api	Rohirrim Chargers:  // Rohirrim Chargers:
altc	Tales of Middle-earth Scene Box	2023-11-04	7	Arboreal Alliance // Arboreal Alliance	ee8bb9d3-6897-4e48-b60f-619da4ba91c3	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/7/arboreal-alliance-arboreal-alliance?utm_source=api	Arboreal Alliance:  // Arboreal Alliance:
altc	Tales of Middle-earth Scene Box	2023-11-04	8	Galadriel, Light of Valinor // Galadriel, Light of Valinor	03ae5cad-6c71-4938-a90a-2bbaef08fe0c	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/8/galadriel-light-of-valinor-galadriel-light-of-valinor?utm_source=api	Galadriel, Light of Valinor:  // Galadriel, Light of Valinor:
altc	Tales of Middle-earth Scene Box	2023-11-04	9	Rally the Galadhrim // Rally the Galadhrim	90d3febf-e14e-451b-baf2-6bb58284f585	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/9/rally-the-galadhrim-rally-the-galadhrim?utm_source=api	Rally the Galadhrim:  // Rally the Galadhrim:
altc	Tales of Middle-earth Scene Box	2023-11-04	10	Galadriel's Dismissal // Galadriel's Dismissal	ff576c4d-207f-456f-b873-82fbf83a1e5e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altc/10/galadriels-dismissal-galadriels-dismissal?utm_source=api	Galadriel's Dismissal:  // Galadriel's Dismissal:
