setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
altr	Tales of Middle-earth Art Series	2023-06-23	1	Boromir, Warden of the Tower // Boromir, Warden of the Tower	da467671-9727-4c8f-8e33-243d98b9fb13	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/1/boromir-warden-of-the-tower-boromir-warden-of-the-tower?utm_source=api	Boromir, Warden of the Tower:  // Boromir, Warden of the Tower:
altr	Tales of Middle-earth Art Series	2023-06-23	2	Fog on the Barrow-Downs // Fog on the Barrow-Downs	7b623bef-5335-4c34-83f8-fbb165abfc6d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/2/fog-on-the-barrow-downs-fog-on-the-barrow-downs?utm_source=api	Fog on the Barrow-Downs:  // Fog on the Barrow-Downs:
altr	Tales of Middle-earth Art Series	2023-06-23	3	Gandalf the White // Gandalf the White	ec9bd1cb-9141-4f74-b534-99279b28af2a	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/3/gandalf-the-white-gandalf-the-white?utm_source=api	Gandalf the White:  // Gandalf the White:
altr	Tales of Middle-earth Art Series	2023-06-23	4	Took Reaper // Took Reaper	d258af04-9815-4574-99e9-fe56bc689fc4	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/4/took-reaper-took-reaper?utm_source=api	Took Reaper:  // Took Reaper:
altr	Tales of Middle-earth Art Series	2023-06-23	5	Gandalf, Friend of the Shire // Gandalf, Friend of the Shire	62d5905f-c405-4f56-ae37-06bbf6b65f04	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/5/gandalf-friend-of-the-shire-gandalf-friend-of-the-shire?utm_source=api	Gandalf, Friend of the Shire:  // Gandalf, Friend of the Shire:
altr	Tales of Middle-earth Art Series	2023-06-23	6	Goldberry, River-Daughter // Goldberry, River-Daughter	0c508563-8beb-450b-8d0e-168734a0e7e1	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/6/goldberry-river-daughter-goldberry-river-daughter?utm_source=api	Goldberry, River-Daughter:  // Goldberry, River-Daughter:
altr	Tales of Middle-earth Art Series	2023-06-23	7	The Watcher in the Water // The Watcher in the Water	edc78e83-cecf-4d09-9732-eaf6730dd0cc	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/7/the-watcher-in-the-water-the-watcher-in-the-water?utm_source=api	The Watcher in the Water:  // The Watcher in the Water:
altr	Tales of Middle-earth Art Series	2023-06-23	8	Shadow of the Enemy // Shadow of the Enemy	f65ab367-1595-48f6-85bc-f9e6e2781fe7	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/8/shadow-of-the-enemy-shadow-of-the-enemy?utm_source=api	Shadow of the Enemy:  // Shadow of the Enemy:
altr	Tales of Middle-earth Art Series	2023-06-23	9	Éomer of the Riddermark // Éomer of the Riddermark	7cfa39e4-550a-425d-ab45-ba5be30cf8ba	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/9/%C3%A9omer-of-the-riddermark-%C3%A9omer-of-the-riddermark?utm_source=api	Éomer of the Riddermark:  // Éomer of the Riddermark:
altr	Tales of Middle-earth Art Series	2023-06-23	10	Gimli, Counter of Kills // Gimli, Counter of Kills	04294cd8-0d9f-413c-9245-1258690f4909	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/altr/10/gimli-counter-of-kills-gimli-counter-of-kills?utm_source=api	Gimli, Counter of Kills:  // Gimli, Counter of Kills:
