setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
amh1	Modern Horizons Art Series	2019-06-05	1	Chillerpillar // Chillerpillar	7b21e8b3-8093-4773-b3d7-3647a21a3562	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/1/chillerpillar-chillerpillar?utm_source=api	Chillerpillar:  // Chillerpillar:
amh1	Modern Horizons Art Series	2019-06-05	2	Watcher for Tomorrow // Watcher for Tomorrow	ae79d17e-b66e-4fcc-8f38-af8257c59781	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/2/watcher-for-tomorrow-watcher-for-tomorrow?utm_source=api	Watcher for Tomorrow:  // Watcher for Tomorrow:
amh1	Modern Horizons Art Series	2019-06-05	3	Scour All Possibilities // Scour All Possibilities	c576e8a2-ad75-46d5-81d6-85c8a6420d24	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/3/scour-all-possibilities-scour-all-possibilities?utm_source=api	Scour All Possibilities:  // Scour All Possibilities:
amh1	Modern Horizons Art Series	2019-06-05	4	Bazaar Trademage // Bazaar Trademage	54ca5817-013e-4e28-b9b7-8c079f98c1c0	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/4/bazaar-trademage-bazaar-trademage?utm_source=api	Bazaar Trademage:  // Bazaar Trademage:
amh1	Modern Horizons Art Series	2019-06-05	5	Serra the Benevolent // Serra the Benevolent	f7bd2ef0-85f0-4295-a75b-bf77d963616c	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/5/serra-the-benevolent-serra-the-benevolent?utm_source=api	Serra the Benevolent:  // Serra the Benevolent:
amh1	Modern Horizons Art Series	2019-06-05	6	Wrenn and Six // Wrenn and Six	e070d8d8-327d-41bc-84e3-652fcc23c802	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/6/wrenn-and-six-wrenn-and-six?utm_source=api	Wrenn and Six:  // Wrenn and Six:
amh1	Modern Horizons Art Series	2019-06-05	7	Endling // Endling	d75ea976-d1b8-4c9c-a485-f8621b1f67fd	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/7/endling-endling?utm_source=api	Endling:  // Endling:
amh1	Modern Horizons Art Series	2019-06-05	8	Warteye Witch // Warteye Witch	7d953b1f-159f-4f1e-bb18-2a669d75587d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/8/warteye-witch-warteye-witch?utm_source=api	Warteye Witch:  // Warteye Witch:
amh1	Modern Horizons Art Series	2019-06-05	9	Throes of Chaos // Throes of Chaos	9f219319-26a2-4fb0-b871-c2170474f8a5	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/9/throes-of-chaos-throes-of-chaos?utm_source=api	Throes of Chaos:  // Throes of Chaos:
amh1	Modern Horizons Art Series	2019-06-05	10	Ayula, Queen Among Bears // Ayula, Queen Among Bears	d44c6b5c-7ae6-4a5b-b3b7-a04c6db7b5b9	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/10/ayula-queen-among-bears-ayula-queen-among-bears?utm_source=api	Ayula, Queen Among Bears:  // Ayula, Queen Among Bears:
amh1	Modern Horizons Art Series	2019-06-05	11	Ranger-Captain of Eos // Ranger-Captain of Eos	f9d833f5-f586-4010-84f2-3216854e4a46	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/amh1/11/ranger-captain-of-eos-ranger-captain-of-eos?utm_source=api	Ranger-Captain of Eos:  // Ranger-Captain of Eos:
