setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
amid	Midnight Hunt Art Series	2021-09-24	1	Arlinn, the Pack's Hope // Arlinn, the Pack's Hope	67173848-fbfa-4c5b-b387-b0afad541dbf							Card // Card		0					manual review	https://scryfall.com/card/amid/1/arlinn-the-packs-hope-arlinn-the-packs-hope?utm_source=api	Arlinn, the Pack's Hope:  // Arlinn, the Pack's Hope:
amid	Midnight Hunt Art Series	2021-09-24	2	Arlinn, the Moon's Fury // Arlinn, the Moon's Fury	7c46fdab-a098-423b-903b-f6b1d82001dc							Card // Card		0					manual review	https://scryfall.com/card/amid/2/arlinn-the-moons-fury-arlinn-the-moons-fury?utm_source=api	Arlinn, the Moon's Fury:  // Arlinn, the Moon's Fury:
amid	Midnight Hunt Art Series	2021-09-24	5	Tovolar, Dire Overlord // Tovolar, Dire Overlord	20f0f38c-66d7-4a99-8390-ae774658364f							Card // Card		0					manual review	https://scryfall.com/card/amid/5/tovolar-dire-overlord-tovolar-dire-overlord?utm_source=api	Tovolar, Dire Overlord:  // Tovolar, Dire Overlord:
amid	Midnight Hunt Art Series	2021-09-24	6	Tovolar, the Midnight Scourge // Tovolar, the Midnight Scourge	4474497c-f6b5-4622-aab5-4ec90f829dde							Card // Card		0					manual review	https://scryfall.com/card/amid/6/tovolar-the-midnight-scourge-tovolar-the-midnight-scourge?utm_source=api	Tovolar, the Midnight Scourge:  // Tovolar, the Midnight Scourge:
amid	Midnight Hunt Art Series	2021-09-24	9	Wrenn and Seven // Wrenn and Seven	0aa128b8-f8b2-4f25-92cd-24588627dd17							Card // Card		0					manual review	https://scryfall.com/card/amid/9/wrenn-and-seven-wrenn-and-seven?utm_source=api	Wrenn and Seven:  // Wrenn and Seven:
amid	Midnight Hunt Art Series	2021-09-24	10	Teferi, Who Slows the Sunset // Teferi, Who Slows the Sunset	2042038e-53db-478a-9b65-e0ef434ef878							Card // Card		0					manual review	https://scryfall.com/card/amid/10/teferi-who-slows-the-sunset-teferi-who-slows-the-sunset?utm_source=api	Teferi, Who Slows the Sunset:  // Teferi, Who Slows the Sunset:
amid	Midnight Hunt Art Series	2021-09-24	11	Ambitious Farmhand // Ambitious Farmhand	35607925-989f-4ecf-b7b1-9a4af27e3ce8							Card // Card		0					manual review	https://scryfall.com/card/amid/11/ambitious-farmhand-ambitious-farmhand?utm_source=api	Ambitious Farmhand:  // Ambitious Farmhand:
amid	Midnight Hunt Art Series	2021-09-24	12	Seasoned Cathar // Seasoned Cathar	42813936-fdaf-469c-a192-f8f5b858d449							Card // Card		0					manual review	https://scryfall.com/card/amid/12/seasoned-cathar-seasoned-cathar?utm_source=api	Seasoned Cathar:  // Seasoned Cathar:
amid	Midnight Hunt Art Series	2021-09-24	13	Brutal Cathar // Brutal Cathar	aa759e2e-49fd-49dc-8885-d092d807064f							Card // Card		0					manual review	https://scryfall.com/card/amid/13/brutal-cathar-brutal-cathar?utm_source=api	Brutal Cathar:  // Brutal Cathar:
amid	Midnight Hunt Art Series	2021-09-24	14	Moonrage Brute // Moonrage Brute	1932c9d0-537b-417f-9e6c-b2896aa08275							Card // Card		0					manual review	https://scryfall.com/card/amid/14/moonrage-brute-moonrage-brute?utm_source=api	Moonrage Brute:  // Moonrage Brute:
amid	Midnight Hunt Art Series	2021-09-24	15	Candlegrove Witch // Candlegrove Witch	eb15c87b-f7ff-46b8-b952-9632e3a778c9							Card // Card		0					manual review	https://scryfall.com/card/amid/15/candlegrove-witch-candlegrove-witch?utm_source=api	Candlegrove Witch:  // Candlegrove Witch:
amid	Midnight Hunt Art Series	2021-09-24	16	Celestus Sanctifier // Celestus Sanctifier	63de6a36-a4b7-4311-944f-3b1275463274							Card // Card		0					manual review	https://scryfall.com/card/amid/16/celestus-sanctifier-celestus-sanctifier?utm_source=api	Celestus Sanctifier:  // Celestus Sanctifier:
amid	Midnight Hunt Art Series	2021-09-24	17	Hedgewitch's Mask // Hedgewitch's Mask	fd11a5be-6ff4-4d5a-9e70-045e017d25c2							Card // Card		0					manual review	https://scryfall.com/card/amid/17/hedgewitchs-mask-hedgewitchs-mask?utm_source=api	Hedgewitch's Mask:  // Hedgewitch's Mask:
amid	Midnight Hunt Art Series	2021-09-24	18	Ritual Guardian // Ritual Guardian	eb2e5000-c8e2-40a2-b578-0b0ce1844828							Card // Card		0					manual review	https://scryfall.com/card/amid/18/ritual-guardian-ritual-guardian?utm_source=api	Ritual Guardian:  // Ritual Guardian:
amid	Midnight Hunt Art Series	2021-09-24	19	Sigarda's Splendor // Sigarda's Splendor	f2a18022-6e8f-46e2-b5b1-fea8e080035b							Card // Card		0					manual review	https://scryfall.com/card/amid/19/sigardas-splendor-sigardas-splendor?utm_source=api	Sigarda's Splendor:  // Sigarda's Splendor:
amid	Midnight Hunt Art Series	2021-09-24	20	Sungold Sentinel // Sungold Sentinel	f562cd49-357b-40d4-8b5a-bba1288d3311							Card // Card		0					manual review	https://scryfall.com/card/amid/20/sungold-sentinel-sungold-sentinel?utm_source=api	Sungold Sentinel:  // Sungold Sentinel:
amid	Midnight Hunt Art Series	2021-09-24	21	Delver of Secrets // Delver of Secrets	645eafd7-ea70-4998-86a0-1a95651be606							Card // Card		0					manual review	https://scryfall.com/card/amid/21/delver-of-secrets-delver-of-secrets?utm_source=api	Delver of Secrets:  // Delver of Secrets:
amid	Midnight Hunt Art Series	2021-09-24	22	Insectile Aberration // Insectile Aberration	3a462fe1-ff66-4ee6-973a-7c4f47c38e27							Card // Card		0					manual review	https://scryfall.com/card/amid/22/insectile-aberration-insectile-aberration?utm_source=api	Insectile Aberration:  // Insectile Aberration:
amid	Midnight Hunt Art Series	2021-09-24	23	Fading Hope // Fading Hope	786bffd7-f9ba-4ab3-9cbd-38508be663a3							Card // Card		0					manual review	https://scryfall.com/card/amid/23/fading-hope-fading-hope?utm_source=api	Fading Hope:  // Fading Hope:
amid	Midnight Hunt Art Series	2021-09-24	24	Larder Zombie // Larder Zombie	c86bd8d3-397d-4357-b183-c85c299ef6a8							Card // Card		0					manual review	https://scryfall.com/card/amid/24/larder-zombie-larder-zombie?utm_source=api	Larder Zombie:  // Larder Zombie:
amid	Midnight Hunt Art Series	2021-09-24	25	Lier, Disciple of the Drowned // Lier, Disciple of the Drowned	caf37a73-2202-400d-b9d8-e2dac51ceba1							Card // Card		0					manual review	https://scryfall.com/card/amid/25/lier-disciple-of-the-drowned-lier-disciple-of-the-drowned?utm_source=api	Lier, Disciple of the Drowned:  // Lier, Disciple of the Drowned:
