setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
apc	Apocalypse	2001-06-04	1	Angelfire Crusader	1a587b8d-fcb4-47ca-9689-610897117166	covered		combat_body, combat_support			Covered by APC role audit.	Creature — Human Soldier Knight	{3}{W}	4	W	RW			verify analyzer roles	https://scryfall.com/card/apc/1/angelfire-crusader?utm_source=api	{R}: This creature gets +1/+0 until end of turn.
apc	Apocalypse	2001-06-04	2	Coalition Flag	b45a0a2f-39fd-47b9-bc9d-3d4321b377d3	covered		removal, tempo_removal, theft_support			Covered by APC role audit.	Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/apc/2/coalition-flag?utm_source=api	Enchant creature you control Enchanted creature is a Flagbearer. While an opponent is choosing targets as part of casting a spell they control or activating an ability they control, that player must choose at least one Flagbearer on the battlefield if able.
apc	Apocalypse	2001-06-04	3	Coalition Honor Guard	c95cebf7-c28c-4453-b5e4-e895d621f290	covered		combat_body			Covered by APC role audit.	Creature — Human Flagbearer	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/apc/3/coalition-honor-guard?utm_source=api	While an opponent is choosing targets as part of casting a spell they control or activating an ability they control, that player must choose at least one Flagbearer on the battlefield if able.
apc	Apocalypse	2001-06-04	4	Dega Disciple	c6c53277-daad-4aa3-b29a-11378d550651	covered		combat_body, combat_support, targeted_removal			Covered by APC role audit.	Creature — Human Wizard	{W}	1	W	BRW			verify analyzer roles	https://scryfall.com/card/apc/4/dega-disciple?utm_source=api	{B}, {T}: Target creature gets -2/-0 until end of turn. {R}, {T}: Target creature gets +2/+0 until end of turn.
apc	Apocalypse	2001-06-04	5	Dega Sanctuary	75c626fb-9dfc-4a94-b59f-f0e45c7b2f56	covered		lifegain			Covered by APC role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/apc/5/dega-sanctuary?utm_source=api	At the beginning of your upkeep, if you control a black or red permanent, you gain 2 life. If you control a black permanent and a red permanent, you gain 4 life instead.
apc	Apocalypse	2001-06-04	6	Degavolver	9431c81f-7b71-4c5d-a63c-1b5aba03601b	covered		combat_body, counter_support, protection, regeneration_protection, targeted_protection			Covered by APC role audit.	Creature — Volver	{1}{W}	2	W	BRW	Kicker		verify analyzer roles	https://scryfall.com/card/apc/6/degavolver?utm_source=api	Kicker {1}{B} and/or {R} (You may pay an additional {1}{B} and/or {R} as you cast this spell.) If this creature was kicked with its {1}{B} kicker, it enters with two +1/+1 counters on it and with "Pay 3 life: Regenerate this creature." If this creature was kicked with its {R} kicker, it enters with a +1/+1 counter on it and with first strike.
apc	Apocalypse	2001-06-04	7	Diversionary Tactics	880367e4-50b9-49d0-b596-d462d9b42855	covered		removal, tempo_removal			Covered by APC role audit.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/apc/7/diversionary-tactics?utm_source=api	Tap two untapped creatures you control: Tap target creature.
apc	Apocalypse	2001-06-04	8	Divine Light	924bf3bb-9f06-4a2c-a17f-3fe11551bcf2	covered		broad_protection, protection			Covered by APC role audit.	Sorcery	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/apc/8/divine-light?utm_source=api	Prevent all damage that would be dealt this turn to creatures you control.
apc	Apocalypse	2001-06-04	9	Enlistment Officer	e9517fc3-d1bc-42f7-b052-9f629b302735	covered		card_selection, combat_body, combat_threat			Covered by APC role audit.	Creature — Human Soldier	{3}{W}	4	W	W	First strike		verify analyzer roles	https://scryfall.com/card/apc/9/enlistment-officer?utm_source=api	First strike When this creature enters, reveal the top four cards of your library. Put all Soldier cards revealed this way into your hand and the rest on the bottom of your library in any order.
apc	Apocalypse	2001-06-04	10	False Dawn	efd9cc25-f445-4de0-9a69-adab9f8878f4	covered		burst_ramp, card_draw, direct_draw, draw, replacement_engine			Covered by APC role audit.	Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/apc/10/false-dawn?utm_source=api	Until end of turn, spells and abilities you control that would add colored mana instead add that much white mana. Until end of turn, you may spend white mana as though it were mana of any color. Draw a card.
apc	Apocalypse	2001-06-04	11	Gerrard Capashen	27521e70-3a1f-4819-a111-c38216ffe7c3	covered		combat_body, lifegain, removal, tempo_removal			Covered by APC role audit.	Legendary Creature — Human Soldier	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/apc/11/gerrard-capashen?utm_source=api	At the beginning of your upkeep, you gain 1 life for each card in target opponent's hand. {3}{W}: Tap target creature. Activate only if Gerrard Capashen is attacking.
apc	Apocalypse	2001-06-04	12	Haunted Angel	437be0ad-2dd1-42c8-bf62-5af95228b2f8	covered		combat_body, combat_threat, sacrifice_support, token_support			Covered by APC role audit.	Creature — Angel	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/apc/12/haunted-angel?utm_source=api	Flying When this creature dies, exile it and each other player creates a 3/3 black Angel creature token with flying.
apc	Apocalypse	2001-06-04	13	Helionaut	8d4de785-20e9-430e-8df1-f39dac0ef07d	covered		combat_body, combat_threat, mana_fixing, ramp, stable_ramp			Covered by APC role audit.	Creature — Human Soldier	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/apc/13/helionaut?utm_source=api	Flying {1}, {T}: Add one mana of any color.
apc	Apocalypse	2001-06-04	14	Manacles of Decay	69095c25-6ae6-42f5-9c3d-1d8f86f03fae	covered		combat_support, removal, targeted_removal			Covered by APC role audit.	Enchantment — Aura	{1}{W}	2	W	BRW	Enchant		verify analyzer roles	https://scryfall.com/card/apc/14/manacles-of-decay?utm_source=api	Enchant creature Enchanted creature can't attack. {B}: Enchanted creature gets -1/-1 until end of turn. {R}: Enchanted creature can't block this turn.
apc	Apocalypse	2001-06-04	15	Orim's Thunder	380429d5-82db-449c-b9b9-3e82ab987972	covered		removal, targeted_removal			Covered by APC role audit.	Instant	{2}{W}	3	W	RW	Kicker		verify analyzer roles	https://scryfall.com/card/apc/15/orims-thunder?utm_source=api	Kicker {R} (You may pay an additional {R} as you cast this spell.) Destroy target artifact or enchantment. If this spell was kicked, it deals damage equal to that permanent's mana value to target creature.
apc	Apocalypse	2001-06-04	16	Shield of Duty and Reason	1c64ab87-1da1-4b07-a3f2-73631ae3d501	covered		targeted_protection			Covered by APC role audit.	Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/apc/16/shield-of-duty-and-reason?utm_source=api	Enchant creature Enchanted creature has protection from green and from blue.
apc	Apocalypse	2001-06-04	17	Spectral Lynx	b5187725-9a39-433c-ae09-eccd6111574c	covered		combat_body, protection, regeneration_protection, self_protection, targeted_protection			Covered by APC role audit.	Creature — Cat Spirit	{1}{W}	2	W	BW	Protection		verify analyzer roles	https://scryfall.com/card/apc/17/spectral-lynx?utm_source=api	Protection from green {B}: Regenerate this creature.
apc	Apocalypse	2001-06-04	18	Standard Bearer	1d6e9716-8c3c-443d-afd8-68d0d6c469a5	covered		combat_body			Covered by APC role audit.	Creature — Human Flagbearer	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/apc/18/standard-bearer?utm_source=api	While an opponent is choosing targets as part of casting a spell they control or activating an ability they control, that player must choose at least one Flagbearer on the battlefield if able.
apc	Apocalypse	2001-06-04	19	Ceta Disciple	1f085c2d-bd1b-4889-882f-367e0e970f44	covered		combat_body, combat_support, mana_fixing, ramp, stable_ramp			Covered by APC role audit.	Creature — Merfolk Wizard	{U}	1	U	GRU			verify analyzer roles	https://scryfall.com/card/apc/19/ceta-disciple?utm_source=api	{R}, {T}: Target creature gets +2/+0 until end of turn. {G}, {T}: Add one mana of any color.
apc	Apocalypse	2001-06-04	20	Ceta Sanctuary	45c4e67c-e452-41c5-8baa-050819a1321f	covered		card_draw, card_selection, direct_draw, draw, repeatable_advantage, repeatable_draw, selection			Covered by APC role audit.	Enchantment	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/apc/20/ceta-sanctuary?utm_source=api	At the beginning of your upkeep, if you control a red or green permanent, draw a card, then discard a card. If you control a red permanent and a green permanent, instead draw two cards, then discard a card.
apc	Apocalypse	2001-06-04	21	Cetavolver	3ae86510-f828-48f8-adab-759df4b5544e	covered		combat_body, counter_support			Covered by APC role audit.	Creature — Volver	{1}{U}	2	U	GRU	Kicker		verify analyzer roles	https://scryfall.com/card/apc/21/cetavolver?utm_source=api	Kicker {1}{R} and/or {G} (You may pay an additional {1}{R} and/or {G} as you cast this spell.) If this creature was kicked with its {1}{R} kicker, it enters with two +1/+1 counters on it and with first strike. If this creature was kicked with its {G} kicker, it enters with a +1/+1 counter on it and with trample.
apc	Apocalypse	2001-06-04	22	Coastal Drake	d4220231-e9ac-4390-8c7b-979549b26d33	covered		combat_body, combat_threat			Covered by APC role audit.	Creature — Drake	{2}{U}	3	U	U	Flying		verify analyzer roles	https://scryfall.com/card/apc/22/coastal-drake?utm_source=api	Flying {1}{U}, {T}: Return target Kavu to its owner's hand.
apc	Apocalypse	2001-06-04	23	Evasive Action	4543a99d-eefa-470d-976d-11250524ae28	covered		soft_stack, stack			Covered by APC role audit.	Instant	{1}{U}	2	U	U	Domain		verify analyzer roles	https://scryfall.com/card/apc/23/evasive-action?utm_source=api	Domain — Counter target spell unless its controller pays {1} for each basic land type among lands you control.
apc	Apocalypse	2001-06-04	24	Ice Cave	c532ecd2-feeb-41f5-bda0-b05e86f86a45	covered		soft_stack, stack			Covered by APC role audit.	Enchantment	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/apc/24/ice-cave?utm_source=api	Whenever a player casts a spell, any other player may pay that spell's mana cost. If a player does, counter the spell. (Mana cost includes color.)
apc	Apocalypse	2001-06-04	25	Index	613b824e-39d1-4c6e-a19c-c915abdc860b	covered		card_selection, selection			Covered by APC role audit.	Sorcery	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/apc/25/index?utm_source=api	Look at the top five cards of your library, then put them back in any order.
apc	Apocalypse	2001-06-04	26	Jaded Response	23917517-7561-45b3-b156-77cd2f340466	covered		hard_stack, soft_stack, stack			Covered by APC role audit.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/apc/26/jaded-response?utm_source=api	Counter target spell if it shares a color with a creature you control.
apc	Apocalypse	2001-06-04	27	Jilt	382bc554-d170-4c19-82dd-829f254e855e	covered		removal, targeted_removal, tempo_removal			Covered by APC role audit.	Instant	{1}{U}	2	U	RU	Kicker		verify analyzer roles	https://scryfall.com/card/apc/27/jilt?utm_source=api	Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.) Return target creature to its owner's hand. If this spell was kicked, it deals 2 damage to another target creature.
apc	Apocalypse	2001-06-04	28	Living Airship	3bcead90-f7be-4fba-84e7-3d7c788a8b64	covered		combat_body, combat_threat, protection, regeneration_protection, targeted_protection			Covered by APC role audit.	Creature — Metathran	{3}{U}	4	U	GU	Flying		verify analyzer roles	https://scryfall.com/card/apc/28/living-airship?utm_source=api	Flying {2}{G}: Regenerate this creature.
apc	Apocalypse	2001-06-04	29	Reef Shaman	4ad870b2-133c-4229-84a8-f91e4c62fcd0	covered		combat_body, land_denial, land_type_change			Covered by APC role audit.	Creature — Merfolk Shaman	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/apc/29/reef-shaman?utm_source=api	{T}: Target land becomes the basic land type of your choice until end of turn.
apc	Apocalypse	2001-06-04	30	Shimmering Mirage	d1720ddc-d6ad-4d78-8dd7-29539bbb73da	covered		card_draw, direct_draw, draw, land_denial, land_type_change			Covered by APC role audit.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/apc/30/shimmering-mirage?utm_source=api	Target land becomes the basic land type of your choice until end of turn. Draw a card.
apc	Apocalypse	2001-06-04	31	Tidal Courier	b0a0c17b-87c8-4610-adca-5e7f5ced49f6	covered		card_selection, combat_body, combat_support			Covered by APC role audit.	Creature — Merfolk	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/apc/31/tidal-courier?utm_source=api	When this creature enters, reveal the top four cards of your library. Put all Merfolk cards revealed this way into your hand and the rest on the bottom of your library in any order. {3}{U}: This creature gains flying until end of turn.
apc	Apocalypse	2001-06-04	32	Unnatural Selection	0be10525-09dc-4970-b495-2db7d4d3c3e7	covered		kindred_support			Covered by APC role audit.	Enchantment	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/apc/32/unnatural-selection?utm_source=api	{1}: Choose a creature type other than Wall. Target creature becomes that type until end of turn.
apc	Apocalypse	2001-06-04	33	Vodalian Mystic	c7feecf0-5229-4c12-806a-16c9ab38e147	covered		combat_body			Covered by APC role audit.	Creature — Merfolk Wizard	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/apc/33/vodalian-mystic?utm_source=api	{T}: Target instant or sorcery spell becomes the color of your choice.
apc	Apocalypse	2001-06-04	34	Whirlpool Drake	aef9fcf0-b755-40f6-821d-836ae1b5497a	covered		card_draw, combat_body, combat_threat, sacrifice_support			Covered by APC role audit.	Creature — Drake	{3}{U}	4	U	U	Flying		verify analyzer roles	https://scryfall.com/card/apc/34/whirlpool-drake?utm_source=api	Flying When this creature enters, shuffle the cards from your hand into your library, then draw that many cards. When this creature dies, shuffle the cards from your hand into your library, then draw that many cards.
apc	Apocalypse	2001-06-04	35	Whirlpool Rider	13a3f2c1-0454-4661-a462-542254f8360d	covered		card_draw, combat_body			Covered by APC role audit.	Creature — Merfolk	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/apc/35/whirlpool-rider?utm_source=api	When this creature enters, shuffle the cards from your hand into your library, then draw that many cards.
apc	Apocalypse	2001-06-04	36	Whirlpool Warrior	b7a1c54b-bb2f-4423-865a-ad114cd18c76	covered		card_draw, combat_body, sacrifice_support			Covered by APC role audit.	Creature — Merfolk Warrior	{2}{U}	3	U	RU			verify analyzer roles	https://scryfall.com/card/apc/36/whirlpool-warrior?utm_source=api	When this creature enters, shuffle the cards from your hand into your library, then draw that many cards. {R}, Sacrifice this creature: Each player shuffles the cards from their hand into their library, then draws that many cards.
apc	Apocalypse	2001-06-04	37	Dead Ringers	fb34e487-f7a9-48ad-8f42-00295a80a160	covered		removal, targeted_removal			Covered by APC role audit.	Sorcery	{4}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/apc/37/dead-ringers?utm_source=api	Destroy two target nonblack creatures unless either one is a color the other isn't. They can't be regenerated.
apc	Apocalypse	2001-06-04	38	Desolation Angel	87f82107-eaba-484a-800d-e61a0cc5e1f2	covered		combat_body, combat_threat, hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece			Covered by APC role audit.	Creature — Angel	{3}{B}{B}	5	B	BW	Kicker, Flying		verify analyzer roles	https://scryfall.com/card/apc/38/desolation-angel?utm_source=api	Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.) Flying When this creature enters, destroy all lands you control. If it was kicked, destroy all lands instead.
apc	Apocalypse	2001-06-04	39	Foul Presence	16f3a09f-e29b-4fb5-95ed-d76ad550c2ad	covered		combat_support, removal, targeted_removal			Covered by APC role audit.	Enchantment — Aura	{2}{B}	3	B	B	Enchant		verify analyzer roles	https://scryfall.com/card/apc/39/foul-presence?utm_source=api	Enchant creature Enchanted creature gets -1/-1 and has "{T}: Target creature gets -1/-1 until end of turn."
apc	Apocalypse	2001-06-04	40	Grave Defiler	42c5c1aa-10a4-4cd5-b1f8-a393ed553f99	covered		card_selection, combat_body, protection, regeneration_protection, targeted_protection			Covered by APC role audit.	Creature — Zombie	{3}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/apc/40/grave-defiler?utm_source=api	When this creature enters, reveal the top four cards of your library. Put all Zombie cards revealed this way into your hand and the rest on the bottom of your library in any order. {1}{B}: Regenerate this creature.
apc	Apocalypse	2001-06-04	41	Last Caress	620b13cf-b8ea-48b7-8300-3c48390e32e3	covered		card_draw, direct_draw, draw, lifegain			Covered by APC role audit.	Sorcery	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/apc/41/last-caress?utm_source=api	Target player loses 1 life and you gain 1 life. Draw a card.
apc	Apocalypse	2001-06-04	42	Mind Extraction	0077740a-528b-4ee3-b331-fac321b95302	covered		hand_attack, hand_info, removal, sacrifice_support			Covered by APC role audit.	Sorcery	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/apc/42/mind-extraction?utm_source=api	As an additional cost to cast this spell, sacrifice a creature. Target player reveals their hand and discards all cards of each of the sacrificed creature's colors.
