setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
arb	Alara Reborn	2009-04-30	1	Ardent Plea	49a8ca54-30d3-42d3-b122-334d24805e1b	covered	card_selection, combat_support, cost_reduction, draw, repeatable_advantage, repeatable_draw, selection	card_selection, combat_support, cost_reduction, draw, repeatable_advantage, repeatable_draw, selection	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}{U}	3	UW	UW	Exalted, Cascade		verify analyzer roles	https://scryfall.com/card/arb/1/ardent-plea?utm_source=api	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)
arb	Alara Reborn	2009-04-30	2	Aven Mimeomancer	176c0ca2-0ca1-45e2-8412-86de5dbead48	covered	combat_body, combat_support, combat_threat, counter_support	combat_body, combat_support, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Wizard	{1}{W}{U}	3	UW	UW	Flying		verify analyzer roles	https://scryfall.com/card/arb/2/aven-mimeomancer?utm_source=api	Flying At the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature has base power and toughness 3/1 and has flying for as long as it has a feather counter on it.
arb	Alara Reborn	2009-04-30	3	Ethercaste Knight	b34a7a9e-d740-4ddc-9b3c-8c49555ee2aa	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Human Knight	{W}{U}	2	UW	UW	Exalted		verify analyzer roles	https://scryfall.com/card/arb/3/ethercaste-knight?utm_source=api	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
arb	Alara Reborn	2009-04-30	4	Ethersworn Shieldmage	ee988017-fc7e-4d8a-8f5c-0a7e57a8d050	covered	broad_protection, combat_body, protection	broad_protection, combat_body, protection	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Vedalken Wizard	{1}{W}{U}	3	UW	UW	Flash		verify analyzer roles	https://scryfall.com/card/arb/4/ethersworn-shieldmage?utm_source=api	Flash When this creature enters, prevent all damage that would be dealt to artifact creatures this turn.
arb	Alara Reborn	2009-04-30	5	Fieldmist Borderpost	a292ca5b-2472-4b02-a26b-d1b5b717a34b	covered	mana_fixing, ramp, stable_ramp	mana_fixing, ramp, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Artifact	{1}{W}{U}	3	UW	UW			verify analyzer roles	https://scryfall.com/card/arb/5/fieldmist-borderpost?utm_source=api	You may pay {1} and return a basic land you control to its owner's hand rather than pay this spell's mana cost. This artifact enters tapped. {T}: Add {W} or {U}.
arb	Alara Reborn	2009-04-30	6	Filigree Angel	4a261c42-825d-4965-8ea7-80d50c43474e	covered	artifact_support, combat_body, combat_threat, lifegain	artifact_support, combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Angel	{5}{W}{W}{U}	8	UW	UW	Flying		verify analyzer roles	https://scryfall.com/card/arb/6/filigree-angel?utm_source=api	Flying When this creature enters, you gain 3 life for each artifact you control.
arb	Alara Reborn	2009-04-30	7	Glassdust Hulk	a1379c25-6daf-4efa-a517-6e6e25c31875	covered	artifact_support, card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection	artifact_support, card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Golem	{3}{W}{U}	5	UW	UW	Cycling		verify analyzer roles	https://scryfall.com/card/arb/7/glassdust-hulk?utm_source=api	Whenever another artifact you control enters, this creature gets +1/+1 until end of turn and can't be blocked this turn. Cycling {W/U} ({W/U}, Discard this card: Draw a card.)
arb	Alara Reborn	2009-04-30	8	Meddling Mage	a5d02339-9f6d-486e-87d8-5ec2274cf680	covered		combat_body	false		Covered by PLS role audit.	Creature — Human Wizard	{W}{U}	2	UW	UW			already reviewed	https://scryfall.com/card/arb/8/meddling-mage?utm_source=api	As this creature enters, choose a nonland card name. Spells with the chosen name can't be cast.
arb	Alara Reborn	2009-04-30	9	Offering to Asha	d061972e-6f4f-41a7-966a-88839f105f19	covered	lifegain, soft_stack, stack	lifegain, soft_stack, stack	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}{U}	4	UW	UW			verify analyzer roles	https://scryfall.com/card/arb/9/offering-to-asha?utm_source=api	Counter target spell unless its controller pays {4}. You gain 4 life.
arb	Alara Reborn	2009-04-30	10	Sanctum Plowbeast	ff3fae6e-d8a1-46b3-a6cc-fb4e8800ee68	covered	card_selection, combat_body, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, selection, tutor	card_selection, combat_body, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, selection, tutor	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Beast	{4}{W}{U}	6	UW	UW	Islandcycling, Plainscycling, Landcycling, Typecycling, Defender, Cycling		verify analyzer roles	https://scryfall.com/card/arb/10/sanctum-plowbeast?utm_source=api	Defender Plainscycling {2}, islandcycling {2} ({2}, Discard this card: Search your library for a Plains or Island card, reveal it, put it into your hand, then shuffle.)
