setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
arc	Archenemy	2010-06-18	1	Leonin Abunas	10064324-34a0-47eb-a58e-01db10234ed9	covered	artifact_support, broad_protection, combat_body, self_protection	artifact_support, broad_protection, combat_body, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Cleric	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/arc/1/leonin-abunas?utm_source=api	Artifacts you control have hexproof. (They can't be the targets of spells or abilities your opponents control.)
arc	Archenemy	2010-06-18	2	Metallurgeon	09373283-a5c1-4d8e-ad25-19cd55b1e869	covered	combat_body, protection, targeted_protection	combat_body, protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Human Artificer	{1}{W}	2	W	W	Regenerate		verify analyzer roles	https://scryfall.com/card/arc/2/metallurgeon?utm_source=api	{W}, {T}: Regenerate target artifact.
arc	Archenemy	2010-06-18	3	Oblivion Ring	bd9b9772-f5f9-4c6b-913e-7193bea5d0a7	covered		targeted_removal	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/arc/3/oblivion-ring?utm_source=api	When this enchantment enters, exile another target nonland permanent. When this enchantment leaves the battlefield, return the exiled card to the battlefield under its owner's control.
arc	Archenemy	2010-06-18	4	Path to Exile	d683d985-9888-4d21-8b5f-69e69ce4a03b	covered		land_acceleration, land_tutor, mana_fixing, ramp, removal, targeted_removal, tutor	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/arc/4/path-to-exile?utm_source=api	Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.
arc	Archenemy	2010-06-18	5	Sanctum Gargoyle	6ee9802a-7a44-49c7-93d9-f75c4d42e71e	covered	card_selection, combat_body, combat_threat, hand_recursion, recursion	card_selection, combat_body, combat_threat, hand_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Gargoyle	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/arc/5/sanctum-gargoyle?utm_source=api	Flying When this creature enters, you may return target artifact card from your graveyard to your hand.
arc	Archenemy	2010-06-18	6	March of the Machines	51092634-308e-4779-aa51-182715dbc734	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/arc/6/march-of-the-machines?utm_source=api	Each noncreature artifact is an artifact creature with power and toughness each equal to its mana value. (Equipment that's a creature can't equip a creature.)
arc	Archenemy	2010-06-18	7	Master Transmuter	da46786e-28df-4638-ab3d-121011d2f150	covered	artifact_support, combat_body, cost_reduction, ramp	artifact_support, combat_body, cost_reduction, ramp	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Human Artificer	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/arc/7/master-transmuter?utm_source=api	{U}, {T}, Return an artifact you control to its owner's hand: You may put an artifact card from your hand onto the battlefield.
arc	Archenemy	2010-06-18	8	Spin into Myth	4a4cf6e2-8673-45b8-bc21-cd030f312cd1	covered	removal, tempo_removal	removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{4}{U}	5	U	U	Fateseal		verify analyzer roles	https://scryfall.com/card/arc/8/spin-into-myth?utm_source=api	Put target creature on top of its owner's library, then fateseal 2. (To fateseal 2, look at the top two cards of an opponent's library, then put any number of them on the bottom of that player's library and the rest on top in any order.)
arc	Archenemy	2010-06-18	9	Avatar of Woe	2da5aa33-3794-4f83-936c-9d8640833d86	covered		combat_body, combat_support, removal, targeted_removal	false		Covered by PCY role audit.	Creature — Avatar	{6}{B}{B}	8	B	B	Fear		already reviewed	https://scryfall.com/card/arc/9/avatar-of-woe?utm_source=api	If there are ten or more creature cards total in all graveyards, this spell costs {6} less to cast. Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) {T}: Destroy target creature. It can't be regenerated.
arc	Archenemy	2010-06-18	10	Beacon of Unrest	aef874fa-93c0-4f86-8b0d-dc24ec51467d	covered		battlefield_recursion	false		Covered by PRM role audit.	Sorcery	{3}{B}{B}	5	B	B			already reviewed	https://scryfall.com/card/arc/10/beacon-of-unrest?utm_source=api	Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.
