setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
aspm	Marvel's Spider-Man Art Series	2025-09-26	1	Flash Thompson, Spider-Fan // Flash Thompson, Spider-Fan	8f016a72-f6a8-475c-852c-f9ffe6733472							Card // Card		0					manual review	https://scryfall.com/card/aspm/1/flash-thompson-spider-fan-flash-thompson-spider-fan?utm_source=api	Flash Thompson, Spider-Fan:  // Flash Thompson, Spider-Fan:
aspm	Marvel's Spider-Man Art Series	2025-09-26	2	Friendly Neighborhood // Friendly Neighborhood	a06ae2d1-35d0-4622-bbcf-82b3ec66172f							Card // Card		0					manual review	https://scryfall.com/card/aspm/2/friendly-neighborhood-friendly-neighborhood?utm_source=api	Friendly Neighborhood:  // Friendly Neighborhood:
aspm	Marvel's Spider-Man Art Series	2025-09-26	3	Peter Parker // Peter Parker	67eb195e-5b81-4909-a671-fe0c7ba5a798							Card // Card		0					manual review	https://scryfall.com/card/aspm/3/peter-parker-peter-parker?utm_source=api	Peter Parker:  // Peter Parker:
aspm	Marvel's Spider-Man Art Series	2025-09-26	4	Spider-Man, Web-Slinger // Spider-Man, Web-Slinger	dd917dce-9bc4-4f4e-9316-6e5b865e08f2							Card // Card		0					manual review	https://scryfall.com/card/aspm/4/spider-man-web-slinger-spider-man-web-slinger?utm_source=api	Spider-Man, Web-Slinger:  // Spider-Man, Web-Slinger:
aspm	Marvel's Spider-Man Art Series	2025-09-26	5	Chameleon, Master of Disguise // Chameleon, Master of Disguise	78b5b4c0-5bbe-4961-9711-3f09bf3f94d5							Card // Card		0					manual review	https://scryfall.com/card/aspm/5/chameleon-master-of-disguise-chameleon-master-of-disguise?utm_source=api	Chameleon, Master of Disguise:  // Chameleon, Master of Disguise:
aspm	Marvel's Spider-Man Art Series	2025-09-26	6	Secret Identity // Secret Identity	1e528b4b-7b35-4d87-bf8b-6e0b49a31ec6							Card // Card		0					manual review	https://scryfall.com/card/aspm/6/secret-identity-secret-identity?utm_source=api	Secret Identity:  // Secret Identity:
aspm	Marvel's Spider-Man Art Series	2025-09-26	7	Behold the Sinister Six! // Behold the Sinister Six!	5fdf54f3-0dfc-43e8-9b43-f78270df4618							Card // Card		0					manual review	https://scryfall.com/card/aspm/7/behold-the-sinister-six!-behold-the-sinister-six!?utm_source=api	Behold the Sinister Six!:  // Behold the Sinister Six!:
aspm	Marvel's Spider-Man Art Series	2025-09-26	8	Gwenom, Remorseless // Gwenom, Remorseless	65d55d85-4f99-4648-a7f5-39f13fb88c99							Card // Card		0					manual review	https://scryfall.com/card/aspm/8/gwenom-remorseless-gwenom-remorseless?utm_source=api	Gwenom, Remorseless:  // Gwenom, Remorseless:
aspm	Marvel's Spider-Man Art Series	2025-09-26	9	Morlun, Devourer of Spiders // Morlun, Devourer of Spiders	da925356-af42-45c6-bdb2-49d8f3c38123							Card // Card		0					manual review	https://scryfall.com/card/aspm/9/morlun-devourer-of-spiders-morlun-devourer-of-spiders?utm_source=api	Morlun, Devourer of Spiders:  // Morlun, Devourer of Spiders:
aspm	Marvel's Spider-Man Art Series	2025-09-26	10	The Soul Stone // The Soul Stone	c03db8bc-3195-4439-b8f8-6837f6179165							Card // Card		0					manual review	https://scryfall.com/card/aspm/10/the-soul-stone-the-soul-stone?utm_source=api	The Soul Stone:  // The Soul Stone:
aspm	Marvel's Spider-Man Art Series	2025-09-26	11	Swarm, Being of Bees // Swarm, Being of Bees	3c74bdad-5886-4ea3-8d2a-f1abed21c8de							Card // Card		0					manual review	https://scryfall.com/card/aspm/11/swarm-being-of-bees-swarm-being-of-bees?utm_source=api	Swarm, Being of Bees:  // Swarm, Being of Bees:
aspm	Marvel's Spider-Man Art Series	2025-09-26	12	Venom, Evil Unleashed // Venom, Evil Unleashed	9338adc0-0363-4825-bfea-f512a3b8b11c							Card // Card		0					manual review	https://scryfall.com/card/aspm/12/venom-evil-unleashed-venom-evil-unleashed?utm_source=api	Venom, Evil Unleashed:  // Venom, Evil Unleashed:
aspm	Marvel's Spider-Man Art Series	2025-09-26	13	Gwen Stacy // Gwen Stacy	40c74d9c-ecdf-4bd3-8268-900eaea90278							Card // Card		0					manual review	https://scryfall.com/card/aspm/13/gwen-stacy-gwen-stacy?utm_source=api	Gwen Stacy:  // Gwen Stacy:
aspm	Marvel's Spider-Man Art Series	2025-09-26	14	Heroes' Hangout // Heroes' Hangout	13ca5598-8e82-41a5-a0a6-d89cc9d5bd96							Card // Card		0					manual review	https://scryfall.com/card/aspm/14/heroes-hangout-heroes-hangout?utm_source=api	Heroes' Hangout:  // Heroes' Hangout:
aspm	Marvel's Spider-Man Art Series	2025-09-26	15	Hobgoblin, Mantled Marauder // Hobgoblin, Mantled Marauder	4571f980-e3d4-4b5a-a2fe-aca7ae9763ea							Card // Card		0					manual review	https://scryfall.com/card/aspm/15/hobgoblin-mantled-marauder-hobgoblin-mantled-marauder?utm_source=api	Hobgoblin, Mantled Marauder:  // Hobgoblin, Mantled Marauder:
aspm	Marvel's Spider-Man Art Series	2025-09-26	16	Wisecrack // Wisecrack	22a75911-65cd-47ac-a65e-5063ab098fc0							Card // Card		0					manual review	https://scryfall.com/card/aspm/16/wisecrack-wisecrack?utm_source=api	Wisecrack:  // Wisecrack:
aspm	Marvel's Spider-Man Art Series	2025-09-26	17	Kapow! // Kapow!	ed0d58e8-4dd3-429e-b707-aa16357e535b							Card // Card		0					manual review	https://scryfall.com/card/aspm/17/kapow!-kapow!?utm_source=api	Kapow!:  // Kapow!:
aspm	Marvel's Spider-Man Art Series	2025-09-26	18	Lizard, Connors's Curse // Lizard, Connors's Curse	c1745a9f-d150-487c-a16b-c8b16f49c56e							Card // Card		0					manual review	https://scryfall.com/card/aspm/18/lizard-connorss-curse-lizard-connorss-curse?utm_source=api	Lizard, Connors's Curse:  // Lizard, Connors's Curse:
aspm	Marvel's Spider-Man Art Series	2025-09-26	19	Spider-Ham, Peter Porker // Spider-Ham, Peter Porker	b42e83b0-9060-46db-883d-6b66cf21efbe							Card // Card		0					manual review	https://scryfall.com/card/aspm/19/spider-ham-peter-porker-spider-ham-peter-porker?utm_source=api	Spider-Ham, Peter Porker:  // Spider-Ham, Peter Porker:
aspm	Marvel's Spider-Man Art Series	2025-09-26	20	Spider-Man, Brooklyn Visionary // Spider-Man, Brooklyn Visionary	072fb4cb-5b46-46a3-b042-8272396b7697							Card // Card		0					manual review	https://scryfall.com/card/aspm/20/spider-man-brooklyn-visionary-spider-man-brooklyn-visionary?utm_source=api	Spider-Man, Brooklyn Visionary:  // Spider-Man, Brooklyn Visionary:
aspm	Marvel's Spider-Man Art Series	2025-09-26	21	Spiders-Man, Heroic Horde // Spiders-Man, Heroic Horde	ba51e760-1c60-4f7b-bc3f-f9b797940eb6							Card // Card		0					manual review	https://scryfall.com/card/aspm/21/spiders-man-heroic-horde-spiders-man-heroic-horde?utm_source=api	Spiders-Man, Heroic Horde:  // Spiders-Man, Heroic Horde:
aspm	Marvel's Spider-Man Art Series	2025-09-26	22	Strength of Will // Strength of Will	073f99e4-11a2-4b7f-9003-cd713a1eef30							Card // Card		0					manual review	https://scryfall.com/card/aspm/22/strength-of-will-strength-of-will?utm_source=api	Strength of Will:  // Strength of Will:
aspm	Marvel's Spider-Man Art Series	2025-09-26	23	Terrific Team-Up // Terrific Team-Up	522e58f3-63df-4eae-a11e-ade07951837d							Card // Card		0					manual review	https://scryfall.com/card/aspm/23/terrific-team-up-terrific-team-up?utm_source=api	Terrific Team-Up:  // Terrific Team-Up:
aspm	Marvel's Spider-Man Art Series	2025-09-26	24	Amazing Spider-Man // Amazing Spider-Man	b496bfd6-bc94-48d6-aa0f-eed919c85f3f							Card // Card		0					manual review	https://scryfall.com/card/aspm/24/amazing-spider-man-amazing-spider-man?utm_source=api	Amazing Spider-Man:  // Amazing Spider-Man:
aspm	Marvel's Spider-Man Art Series	2025-09-26	25	Doctor Octopus, Master Planner // Doctor Octopus, Master Planner	57fff042-bcad-4a5f-ada6-c009f75819d2							Card // Card		0					manual review	https://scryfall.com/card/aspm/25/doctor-octopus-master-planner-doctor-octopus-master-planner?utm_source=api	Doctor Octopus, Master Planner:  // Doctor Octopus, Master Planner:
aspm	Marvel's Spider-Man Art Series	2025-09-26	26	Green Goblin // Green Goblin	30d663e3-8570-4847-9d7c-54e8482f59ab							Card // Card		0					manual review	https://scryfall.com/card/aspm/26/green-goblin-green-goblin?utm_source=api	Green Goblin:  // Green Goblin:
aspm	Marvel's Spider-Man Art Series	2025-09-26	27	Green Goblin, Revenant // Green Goblin, Revenant	9c58e788-099e-4eab-a651-5ad494368b06							Card // Card		0					manual review	https://scryfall.com/card/aspm/27/green-goblin-revenant-green-goblin-revenant?utm_source=api	Green Goblin, Revenant:  // Green Goblin, Revenant:
aspm	Marvel's Spider-Man Art Series	2025-09-26	28	Kraven, Proud Predator // Kraven, Proud Predator	c2dc9965-3eed-4524-ad09-7da59e072171							Card // Card		0					manual review	https://scryfall.com/card/aspm/28/kraven-proud-predator-kraven-proud-predator?utm_source=api	Kraven, Proud Predator:  // Kraven, Proud Predator:
aspm	Marvel's Spider-Man Art Series	2025-09-26	29	Silk, Web Weaver // Silk, Web Weaver	bdae80a2-a6ff-4d75-8649-56ba2c84a36e							Card // Card		0					manual review	https://scryfall.com/card/aspm/29/silk-web-weaver-silk-web-weaver?utm_source=api	Silk, Web Weaver:  // Silk, Web Weaver:
aspm	Marvel's Spider-Man Art Series	2025-09-26	30	Spider-Man 2099 // Spider-Man 2099	30e5c3e6-ddfc-48e2-8612-82a817de32b8							Card // Card		0					manual review	https://scryfall.com/card/aspm/30/spider-man-2099-spider-man-2099?utm_source=api	Spider-Man 2099:  // Spider-Man 2099:
aspm	Marvel's Spider-Man Art Series	2025-09-26	31	Spider-Man India // Spider-Man India	bb6c3439-af44-4aca-a06e-38fea2ed5af4							Card // Card		0					manual review	https://scryfall.com/card/aspm/31/spider-man-india-spider-man-india?utm_source=api	Spider-Man India:  // Spider-Man India:
aspm	Marvel's Spider-Man Art Series	2025-09-26	32	Superior Spider-Man // Superior Spider-Man	6b9230fa-8e2c-4619-8e62-9e76bf014934							Card // Card		0					manual review	https://scryfall.com/card/aspm/32/superior-spider-man-superior-spider-man?utm_source=api	Superior Spider-Man:  // Superior Spider-Man:
aspm	Marvel's Spider-Man Art Series	2025-09-26	35	Miles Morales // Miles Morales	d04a040b-1edb-4ce3-a01f-3992a185cf0d							Card // Card		0					manual review	https://scryfall.com/card/aspm/35/miles-morales-miles-morales?utm_source=api	Miles Morales:  // Miles Morales:
aspm	Marvel's Spider-Man Art Series	2025-09-26	37	Araña, Heart of the Spider // Araña, Heart of the Spider	695be6c5-680f-44de-8df5-cca41a656e06							Card // Card		0					manual review	https://scryfall.com/card/aspm/37/ara%C3%B1a-heart-of-the-spider-ara%C3%B1a-heart-of-the-spider?utm_source=api	Araña, Heart of the Spider:  // Araña, Heart of the Spider:
aspm	Marvel's Spider-Man Art Series	2025-09-26	38	Scarlet Spider, Ben Reilly // Scarlet Spider, Ben Reilly	6a6b883c-61b3-4aeb-8241-68191e6e89fc							Card // Card		0					manual review	https://scryfall.com/card/aspm/38/scarlet-spider-ben-reilly-scarlet-spider-ben-reilly?utm_source=api	Scarlet Spider, Ben Reilly:  // Scarlet Spider, Ben Reilly:
aspm	Marvel's Spider-Man Art Series	2025-09-26	40	Symbiote Spider-Man // Symbiote Spider-Man	9f2879e1-8511-4ad0-b8ba-0bbad693144a							Card // Card		0					manual review	https://scryfall.com/card/aspm/40/symbiote-spider-man-symbiote-spider-man?utm_source=api	Symbiote Spider-Man:  // Symbiote Spider-Man:
aspm	Marvel's Spider-Man Art Series	2025-09-26	41	Ultimate Spider-Man // Ultimate Spider-Man	e98add97-6660-4815-b2b4-9f16b650758b							Card // Card		0					manual review	https://scryfall.com/card/aspm/41/ultimate-spider-man-ultimate-spider-man?utm_source=api	Ultimate Spider-Man:  // Ultimate Spider-Man:
aspm	Marvel's Spider-Man Art Series	2025-09-26	42	The Clone Saga // The Clone Saga	577f02f6-ce02-43d1-acd6-55f7cd43f394							Card // Card		0					manual review	https://scryfall.com/card/aspm/42/the-clone-saga-the-clone-saga?utm_source=api	The Clone Saga:  // The Clone Saga:
aspm	Marvel's Spider-Man Art Series	2025-09-26	43	Norman Osborn // Norman Osborn	218ac462-9bad-442e-812a-66ec39832f7e							Card // Card		0					manual review	https://scryfall.com/card/aspm/43/norman-osborn-norman-osborn?utm_source=api	Norman Osborn:  // Norman Osborn:
aspm	Marvel's Spider-Man Art Series	2025-09-26	44	Black Cat, Cunning Thief // Black Cat, Cunning Thief	4ed42120-51e0-4ded-afff-ee2879a2f568							Card // Card		0					manual review	https://scryfall.com/card/aspm/44/black-cat-cunning-thief-black-cat-cunning-thief?utm_source=api	Black Cat, Cunning Thief:  // Black Cat, Cunning Thief:
aspm	Marvel's Spider-Man Art Series	2025-09-26	46	Maximum Carnage // Maximum Carnage	e2a81079-e422-4a34-936d-92862ddb6beb							Card // Card		0					manual review	https://scryfall.com/card/aspm/46/maximum-carnage-maximum-carnage?utm_source=api	Maximum Carnage:  // Maximum Carnage:
aspm	Marvel's Spider-Man Art Series	2025-09-26	47	Carnage, Crimson Chaos // Carnage, Crimson Chaos	47d0b880-517e-48ed-b23a-54e150394276							Card // Card		0					manual review	https://scryfall.com/card/aspm/47/carnage-crimson-chaos-carnage-crimson-chaos?utm_source=api	Carnage, Crimson Chaos:  // Carnage, Crimson Chaos:
aspm	Marvel's Spider-Man Art Series	2025-09-26	50	Mary Jane Watson // Mary Jane Watson	e1920d9f-75a9-4e38-9f7e-2d874a3abffb							Card // Card		0					manual review	https://scryfall.com/card/aspm/50/mary-jane-watson-mary-jane-watson?utm_source=api	Mary Jane Watson:  // Mary Jane Watson:
aspm	Marvel's Spider-Man Art Series	2025-09-26	51	Spider-Woman, Stunning Savior // Spider-Woman, Stunning Savior	2f9608a0-594d-4035-9c43-7cd8660e84ba							Card // Card		0					manual review	https://scryfall.com/card/aspm/51/spider-woman-stunning-savior-spider-woman-stunning-savior?utm_source=api	Spider-Woman, Stunning Savior:  // Spider-Woman, Stunning Savior:
