setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	1	Ugin, Eye of the Storms // Ugin, Eye of the Storms	b405255d-7f88-433f-9c13-fccc37ee1c04	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/1/ugin-eye-of-the-storms-ugin-eye-of-the-storms?utm_source=api	Ugin, Eye of the Storms:  // Ugin, Eye of the Storms:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	2	Descendant of Storms // Descendant of Storms	90c95ac2-996e-40da-9931-7c1b48062b64	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/2/descendant-of-storms-descendant-of-storms?utm_source=api	Descendant of Storms:  // Descendant of Storms:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	3	Dragonback Lancer // Dragonback Lancer	ca3d5161-100d-4299-a30c-a32336aced43	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/3/dragonback-lancer-dragonback-lancer?utm_source=api	Dragonback Lancer:  // Dragonback Lancer:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	4	Smile at Death // Smile at Death	c23b7878-b9a5-4d2f-92af-7563282da58f	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/4/smile-at-death-smile-at-death?utm_source=api	Smile at Death:  // Smile at Death:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	5	United Battlefront // United Battlefront	09befcd4-2717-4b1b-b532-f001cf5e9a98	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/5/united-battlefront-united-battlefront?utm_source=api	United Battlefront:  // United Battlefront:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	6	Dragonologist // Dragonologist	bc311801-98d4-4537-a233-bc6b114d7072	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/6/dragonologist-dragonologist?utm_source=api	Dragonologist:  // Dragonologist:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	7	Humbling Elder // Humbling Elder	100d7a34-9389-4737-a456-fc10ef1d2433	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/7/humbling-elder-humbling-elder?utm_source=api	Humbling Elder:  // Humbling Elder:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	8	Sibsig Appraiser // Sibsig Appraiser	3ace4180-4efd-4f0a-8db8-27eb7cb3ff0d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/8/sibsig-appraiser-sibsig-appraiser?utm_source=api	Sibsig Appraiser:  // Sibsig Appraiser:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	9	Unending Whisper // Unending Whisper	c8562d42-6b1c-4853-afe0-e90fc08309ab	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/9/unending-whisper-unending-whisper?utm_source=api	Unending Whisper:  // Unending Whisper:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	10	Abzan Devotee // Abzan Devotee	5b1a605f-c5c9-40c4-83b3-6eca3cedce1e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/10/abzan-devotee-abzan-devotee?utm_source=api	Abzan Devotee:  // Abzan Devotee:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	11	Desperate Measures // Desperate Measures	1cc3ed26-703d-48af-b716-d62b6f411fca	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/11/desperate-measures-desperate-measures?utm_source=api	Desperate Measures:  // Desperate Measures:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	12	Qarsi Revenant // Qarsi Revenant	5492babf-8ea2-46db-b708-8d0b9900c15e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/12/qarsi-revenant-qarsi-revenant?utm_source=api	Qarsi Revenant:  // Qarsi Revenant:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	13	Rot-Curse Rakshasa // Rot-Curse Rakshasa	3f5badf7-48df-4f50-b85c-94eed95dfa45	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/13/rot-curse-rakshasa-rot-curse-rakshasa?utm_source=api	Rot-Curse Rakshasa:  // Rot-Curse Rakshasa:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	14	Sidisi, Regent of the Mire // Sidisi, Regent of the Mire	b51f4b1f-c632-48c6-95b2-16eb052bc97f	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/14/sidisi-regent-of-the-mire-sidisi-regent-of-the-mire?utm_source=api	Sidisi, Regent of the Mire:  // Sidisi, Regent of the Mire:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	15	Devoted Duelist // Devoted Duelist	e9e0feb0-5d52-4be9-bf54-46b6397614c4	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/15/devoted-duelist-devoted-duelist?utm_source=api	Devoted Duelist:  // Devoted Duelist:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	16	Equilibrium Adept // Equilibrium Adept	13a772c0-3813-4939-830f-a6525b4fc637	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/16/equilibrium-adept-equilibrium-adept?utm_source=api	Equilibrium Adept:  // Equilibrium Adept:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	17	Stormscale Scion // Stormscale Scion	320622c7-fc55-4e3c-b0f5-768ac0a18b80	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/17/stormscale-scion-stormscale-scion?utm_source=api	Stormscale Scion:  // Stormscale Scion:
atdm	Tarkir: Dragonstorm Art Series	2025-04-11	18	Sarkhan's Resolve // Sarkhan's Resolve	cd01afa0-c2c1-4408-805f-84b6a71e0292	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/atdm/18/sarkhans-resolve-sarkhans-resolve?utm_source=api	Sarkhan's Resolve:  // Sarkhan's Resolve:
