setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ath	Anthologies	1998-11-01	1	Armageddon	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	covered	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by Alpha role audit batch 1.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/ath/1/armageddon?utm_source=api	Destroy all lands.
ath	Anthologies	1998-11-01	2	Armored Pegasus	f097a059-5505-4c3c-b879-7853ab6972ed	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Portal role audit.	Creature — Pegasus	{1}{W}	2	W	W	Flying		already reviewed	https://scryfall.com/card/ath/2/armored-pegasus?utm_source=api	Flying
ath	Anthologies	1998-11-01	3	Benalish Knight	32b401e9-163f-4917-a728-fc63b25ef602	covered	combat_body, combat_support, combat_threat, replacement_engine, tempo_support	combat_body, combat_support, combat_threat, replacement_engine, tempo_support	false		Covered by Weatherlight role audit.	Creature — Human Knight	{2}{W}	3	W	W	First strike, Flash		already reviewed	https://scryfall.com/card/ath/3/benalish-knight?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) First strike (This creature deals combat damage before creatures without first strike.)
ath	Anthologies	1998-11-01	4	Combat Medic	541b7b2f-7bb0-4858-8dc5-6e50de443c33	covered	combat_body, protection, targeted_protection	combat_body, protection, targeted_protection	false		Covered by Fallen Empires role audit.	Creature — Human Cleric Soldier	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/ath/4/combat-medic?utm_source=api	{1}{W}: Prevent the next 1 damage that would be dealt to any target this turn.
ath	Anthologies	1998-11-01	5	Disenchant	a7e97fa9-4b72-4548-b854-5be5f18a6f1a	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ath/5/disenchant?utm_source=api	Destroy target artifact or enchantment.
ath	Anthologies	1998-11-01	6	Freewind Falcon	8cdda36f-5e82-4c2f-8eaa-75b9bbc93a02	covered	combat_body, combat_threat, self_protection	combat_body, combat_threat, self_protection	false		Covered by Visions role audit.	Creature — Bird	{1}{W}	2	W	W	Flying, Protection		already reviewed	https://scryfall.com/card/ath/6/freewind-falcon?utm_source=api	Flying, protection from red
ath	Anthologies	1998-11-01	7	Icatian Javelineers	26112ba7-2859-4af3-93c3-e62c31177216	covered	combat_body, counter_support, removal, targeted_removal	combat_body, counter_support, removal, targeted_removal	false		Covered by Fallen Empires role audit.	Creature — Human Soldier	{W}	1	W	W			already reviewed	https://scryfall.com/card/ath/7/icatian-javelineers?utm_source=api	This creature enters with a javelin counter on it. {T}, Remove a javelin counter from this creature: It deals 1 damage to any target.
ath	Anthologies	1998-11-01	8	Infantry Veteran	42798e2b-9a5c-4f93-8f77-b7bb7a916d07	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Visions role audit.	Creature — Human Soldier	{W}	1	W	W			already reviewed	https://scryfall.com/card/ath/8/infantry-veteran?utm_source=api	{T}: Target attacking creature gets +1/+1 until end of turn.
ath	Anthologies	1998-11-01	9	Order of the White Shield	e0b3cfc1-68d4-46a8-9ae4-71bdb9c87889	covered	combat_body, combat_support, self_protection	combat_body, combat_support, self_protection	false		Covered by Ice Age role audit.	Creature — Human Knight	{W}{W}	2	W	W	Protection		already reviewed	https://scryfall.com/card/ath/9/order-of-the-white-shield?utm_source=api	Protection from black {W}: This creature gains first strike until end of turn. {W}{W}: This creature gets +1/+0 until end of turn.
ath	Anthologies	1998-11-01	10	Pacifism	5f5e0b10-c8cf-450c-bfd3-bcb0528ec330	covered	combat_support, removal, targeted_removal	combat_support, removal, targeted_removal	false		Covered by Mirage role audit.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		already reviewed	https://scryfall.com/card/ath/10/pacifism?utm_source=api	Enchant creature Enchanted creature can't attack or block.
ath	Anthologies	1998-11-01	11	Pegasus Charger	81a5ac8d-b904-4755-a5bc-650e95f4138f	covered		combat_body, combat_support, combat_threat	false		Covered by USG role audit.	Creature — Pegasus	{2}{W}	3	W	W	Flying, First strike		already reviewed	https://scryfall.com/card/ath/11/pegasus-charger?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) First strike (This creature deals combat damage before creatures without first strike.)
ath	Anthologies	1998-11-01	12	Pegasus Stampede	16b4a48a-fec2-433c-948d-e0b16c961172	covered		sacrifice_support, token_support	false		Covered by ATH role audit.	Sorcery	{1}{W}	2	W	W	Buyback		already reviewed	https://scryfall.com/card/ath/12/pegasus-stampede?utm_source=api	Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.) Create a 1/1 white Pegasus creature token with flying.
ath	Anthologies	1998-11-01	13	Sacred Mesa	8776d14f-a5a2-4ef3-98d0-e1148e579e4d	covered	sacrifice_support, token_support	sacrifice_support, token_support	false		Covered by Mirage role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/ath/13/sacred-mesa?utm_source=api	At the beginning of your upkeep, sacrifice this enchantment unless you sacrifice a Pegasus. {1}{W}: Create a 1/1 white Pegasus creature token with flying.
ath	Anthologies	1998-11-01	14	Samite Healer	95a0ca48-d924-47f4-86ed-42c673ee778c	covered	protection, targeted_protection	combat_body, protection, targeted_protection	false		Covered by Alpha role audit batch 1.	Creature — Human Cleric	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ath/14/samite-healer?utm_source=api	{T}: Prevent the next 1 damage that would be dealt to any target this turn.
ath	Anthologies	1998-11-01	15	Serra Angel	4b7ac066-e5c7-43e6-9e7e-2739b24a905d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by ATH role audit.	Creature — Angel	{3}{W}{W}	5	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/ath/15/serra-angel?utm_source=api	Flying Vigilance (Attacking doesn't cause this creature to tap.)
ath	Anthologies	1998-11-01	16	Swords to Plowshares	b1544f21-7e98-461b-aed5-e748b0168c52	covered	lifegain, removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/ath/16/swords-to-plowshares?utm_source=api	Exile target creature. Its controller gains life equal to its power.
ath	Anthologies	1998-11-01	17	Warrior's Honor	c3c9da49-ef4f-48c7-99c8-0f226b485285	covered	combat_support	combat_support	false		Covered by Visions role audit.	Instant	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/ath/17/warriors-honor?utm_source=api	Creatures you control get +1/+1 until end of turn.
ath	Anthologies	1998-11-01	18	White Knight	ddb021df-ae4a-4ac1-8353-d0b375761714	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat, self_protection	false		Non-game insert or decklist card; no analyzer role needed.	Creature — Human Knight	{W}{W}	2	W	W	First strike, Protection		already reviewed	https://scryfall.com/card/ath/18/white-knight?utm_source=api	First strike (This creature deals combat damage before creatures without first strike.) Protection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)
ath	Anthologies	1998-11-01	19	Youthful Knight	ef2a24f5-ce5e-4054-843a-2cae0c66318a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Stronghold role audit.	Creature — Human Knight	{1}{W}	2	W	W	First strike		already reviewed	https://scryfall.com/card/ath/19/youthful-knight?utm_source=api	First strike
ath	Anthologies	1998-11-01	20	Black Knight	9456c5b6-946d-403a-8ed0-dff9f921d98c	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat, self_protection	false		Covered by ATH role audit.	Creature — Human Knight	{B}{B}	2	B	B	First strike, Protection		already reviewed	https://scryfall.com/card/ath/20/black-knight?utm_source=api	First strike (This creature deals combat damage before creatures without first strike.) Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)
ath	Anthologies	1998-11-01	21	Cuombajj Witches	638eeb16-9e0e-4cc6-b97e-8ff0df81ca58	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by Arabian Nights role audit.	Creature — Human Wizard	{B}{B}	2	B	B			already reviewed	https://scryfall.com/card/ath/21/cuombajj-witches?utm_source=api	{T}: This creature deals 1 damage to any target and 1 damage to any target of an opponent's choice.
ath	Anthologies	1998-11-01	22	Feast of the Unicorn	274d89b8-1e59-4992-9299-dc793b7f6752	covered	combat_support	combat_support	false		Covered by Homelands role audit.	Enchantment — Aura	{3}{B}	4	B	B	Enchant		already reviewed	https://scryfall.com/card/ath/22/feast-of-the-unicorn?utm_source=api	Enchant creature Enchanted creature gets +4/+0.
ath	Anthologies	1998-11-01	23	Hymn to Tourach	992d9a72-d34d-47d7-96fb-37f0efb515ef	covered	hand_attack, removal	hand_attack, removal	false		Covered by Fallen Empires role audit.	Sorcery	{B}{B}	2	B	B			already reviewed	https://scryfall.com/card/ath/23/hymn-to-tourach?utm_source=api	Target player discards two cards at random.
ath	Anthologies	1998-11-01	24	Hypnotic Specter	759af941-f6a3-4726-91f2-9b1e4e55ea71	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by ATH role audit.	Creature — Specter	{1}{B}{B}	3	B	B	Flying		already reviewed	https://scryfall.com/card/ath/24/hypnotic-specter?utm_source=api	Flying Whenever this creature deals damage to an opponent, that player discards a card at random.
ath	Anthologies	1998-11-01	25	Ihsan's Shade	5eb29367-4ec3-4bd2-887e-13eeeecae8fa	covered	combat_body, self_protection	combat_body, self_protection	false		Covered by Homelands role audit.	Legendary Creature — Shade Knight	{3}{B}{B}{B}	6	B	B	Protection		already reviewed	https://scryfall.com/card/ath/25/ihsans-shade?utm_source=api	Protection from white
