setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	1	Leonardo, Sewer Samurai // Leonardo, Sewer Samurai	5a2ef00c-4642-4f99-a59e-834da4f456cd							Card // Card		0					manual review	https://scryfall.com/card/atmt/1/leonardo-sewer-samurai-leonardo-sewer-samurai?utm_source=api	Leonardo, Sewer Samurai:  // Leonardo, Sewer Samurai:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	2	Leonardo's Technique // Leonardo's Technique	e4047644-f119-4276-9122-9f95b662533f							Card // Card		0					manual review	https://scryfall.com/card/atmt/2/leonardos-technique-leonardos-technique?utm_source=api	Leonardo's Technique:  // Leonardo's Technique:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	3	Sally Pride, Lioness Leader // Sally Pride, Lioness Leader	4719d83d-8015-45f2-b263-9b4cd5d03017							Card // Card		0					manual review	https://scryfall.com/card/atmt/3/sally-pride-lioness-leader-sally-pride-lioness-leader?utm_source=api	Sally Pride, Lioness Leader:  // Sally Pride, Lioness Leader:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	4	Krang, Master Mind // Krang, Master Mind	ffab80ef-fe51-4d6d-aa6f-bd538f40844f							Card // Card		0					manual review	https://scryfall.com/card/atmt/4/krang-master-mind-krang-master-mind?utm_source=api	Krang, Master Mind:  // Krang, Master Mind:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	5	Mind Transfer Protocol // Mind Transfer Protocol	5690d702-6b19-4160-806b-b8549ae864bd							Card // Card		0					manual review	https://scryfall.com/card/atmt/5/mind-transfer-protocol-mind-transfer-protocol?utm_source=api	Mind Transfer Protocol:  // Mind Transfer Protocol:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	6	Pain 101 // Pain 101	e525f5fc-d419-4607-b158-8f72fbad9013							Card // Card		0					manual review	https://scryfall.com/card/atmt/6/pain-101-pain-101?utm_source=api	Pain 101:  // Pain 101:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	7	Shredder's Technique // Shredder's Technique	85e9f130-6064-4d06-bcc3-3b4b8fd27b1f							Card // Card		0					manual review	https://scryfall.com/card/atmt/7/shredders-technique-shredders-technique?utm_source=api	Shredder's Technique:  // Shredder's Technique:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	8	Splinter, Hamato Yoshi // Splinter, Hamato Yoshi	3015b4a6-83ef-4163-8969-faf2a1ab67d0							Card // Card		0					manual review	https://scryfall.com/card/atmt/8/splinter-hamato-yoshi-splinter-hamato-yoshi?utm_source=api	Splinter, Hamato Yoshi:  // Splinter, Hamato Yoshi:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	9	Raphael, Tough Turtle // Raphael, Tough Turtle	a6dd8ebd-df1a-4d08-98b6-5ce9f7a77592							Card // Card		0					manual review	https://scryfall.com/card/atmt/9/raphael-tough-turtle-raphael-tough-turtle?utm_source=api	Raphael, Tough Turtle:  // Raphael, Tough Turtle:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	10	Slash, Reptile Rampager // Slash, Reptile Rampager	6e0f8994-582a-4733-86cd-72df9f3eaac1							Card // Card		0					manual review	https://scryfall.com/card/atmt/10/slash-reptile-rampager-slash-reptile-rampager?utm_source=api	Slash, Reptile Rampager:  // Slash, Reptile Rampager:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	11	Spicy Oatmeal Pizza // Spicy Oatmeal Pizza	0f40bc1e-cec4-434d-87a2-b3e7d6be7f4c							Card // Card		0					manual review	https://scryfall.com/card/atmt/11/spicy-oatmeal-pizza-spicy-oatmeal-pizza?utm_source=api	Spicy Oatmeal Pizza:  // Spicy Oatmeal Pizza:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	12	Zog, Triceraton Castaway // Zog, Triceraton Castaway	3a0c102a-43ef-48e5-bbd9-46e2d8afc5fe							Card // Card		0					manual review	https://scryfall.com/card/atmt/12/zog-triceraton-castaway-zog-triceraton-castaway?utm_source=api	Zog, Triceraton Castaway:  // Zog, Triceraton Castaway:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	13	Michelangelo, Game Master // Michelangelo, Game Master	3d01eeee-f28f-4d7e-89c1-c883fbd602cd							Card // Card		0					manual review	https://scryfall.com/card/atmt/13/michelangelo-game-master-michelangelo-game-master?utm_source=api	Michelangelo, Game Master:  // Michelangelo, Game Master:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	14	Lessons from Life // Lessons from Life	6eae4482-f3bc-47e9-a99b-336407449349							Card // Card		0					manual review	https://scryfall.com/card/atmt/14/lessons-from-life-lessons-from-life?utm_source=api	Lessons from Life:  // Lessons from Life:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	15	Mikey & Don, Party Planners // Mikey & Don, Party Planners	3ad2e106-45d5-4344-9740-9e30ee960390							Card // Card		0					manual review	https://scryfall.com/card/atmt/15/mikey-&-don-party-planners-mikey-&-don-party-planners?utm_source=api	Mikey & Don, Party Planners:  // Mikey & Don, Party Planners:
atmt	Teenage Mutant Ninja Turtles Art Series	2026-03-06	16	Raph & Leo, Sibling Rivals // Raph & Leo, Sibling Rivals	e4c87c78-ea3c-49f8-ba25-3c5fb99f88da							Card // Card		0					manual review	https://scryfall.com/card/atmt/16/raph-&-leo-sibling-rivals-raph-&-leo-sibling-rivals?utm_source=api	Raph & Leo, Sibling Rivals:  // Raph & Leo, Sibling Rivals:
