setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
atq	Antiquities	1994-03-04	1	Argivian Archaeologist	4b889ec0-6130-4e31-bb02-03fdabd28bee	covered	card_selection, combat_body, hand_recursion, recursion, repeatable_advantage	card_selection, combat_body, hand_recursion, recursion, repeatable_advantage	false		Covered by Antiquities role audit.	Creature — Human Artificer	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/atq/1/argivian-archaeologist?utm_source=api	{W}{W}, {T}: Return target artifact card from your graveyard to your hand.
atq	Antiquities	1994-03-04	2	Argivian Blacksmith	80240b6b-d20d-4dfb-a2c5-c272c3b43a70	covered	combat_body, protection, targeted_protection	combat_body, protection, targeted_protection	false		Covered by Antiquities role audit.	Creature — Human Artificer	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/atq/2/argivian-blacksmith?utm_source=api	{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.
atq	Antiquities	1994-03-04	3	Artifact Ward	9bd3a4bb-cc12-4e5f-a33f-77ab0c7788db	covered	combat_support	combat_support	false		Covered by Antiquities role audit.	Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/atq/3/artifact-ward?utm_source=api	Enchant creature Enchanted creature can't be blocked by artifact creatures. Prevent all damage that would be dealt to enchanted creature by artifact sources. Enchanted creature can't be the target of abilities from artifact sources.
atq	Antiquities	1994-03-04	4	Circle of Protection: Artifacts	2e61e9c0-a2b9-4a24-8cb0-5160accce183	covered	broad_protection, protection	broad_protection, protection	false		Covered by Antiquities role audit.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/atq/4/circle-of-protection:-artifacts?utm_source=api	{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.
atq	Antiquities	1994-03-04	5	Damping Field	6b2184ce-d6b1-411e-80ac-05a6e5993a39	covered	stax_piece	stax_piece	false		Covered by Antiquities role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/atq/5/damping-field?utm_source=api	Players can't untap more than one artifact during their untap steps.
atq	Antiquities	1994-03-04	6	Martyrs of Korlis	7ca54a23-f8eb-4982-b4ee-7392e2f2a1b3	covered	broad_protection, combat_body, protection	broad_protection, combat_body, protection	false		Covered by Antiquities role audit.	Creature — Human	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/atq/6/martyrs-of-korlis?utm_source=api	As long as this creature is untapped, all damage that would be dealt to you by artifacts is dealt to this creature instead.
atq	Antiquities	1994-03-04	7	Reverse Polarity	c7076e2c-81f1-44ad-a4dd-45a01802d364	covered	lifegain, scalable_spell	lifegain, scalable_spell	false		Covered by Antiquities role audit.	Instant	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/atq/7/reverse-polarity?utm_source=api	You gain X life, where X is twice the damage dealt to you so far this turn by artifacts.
atq	Antiquities	1994-03-04	8	Drafna's Restoration	24a78116-d5e0-4e30-b192-d8bffe347a0c	covered	library_recursion, recursion, topdeck_control	library_recursion, recursion, topdeck_control	false		Covered by Antiquities role audit.	Sorcery	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/atq/8/drafnas-restoration?utm_source=api	Put any number of target artifact cards from target player's graveyard on top of their library in any order.
atq	Antiquities	1994-03-04	9	Energy Flux	7a756cd1-29a8-4edf-bb74-fbb5b4020022	covered	sacrifice_support, stax_piece	sacrifice_support, stax_piece	false		Covered by Antiquities role audit.	Enchantment	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/atq/9/energy-flux?utm_source=api	All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."
atq	Antiquities	1994-03-04	10	Hurkyl's Recall	ed1e5d24-c8a8-48fe-a88f-1003ad432477	covered	mass_removal, removal	mass_removal, removal	false		Covered by Antiquities role audit.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/atq/10/hurkyls-recall?utm_source=api	Return all artifacts target player owns to their hand.
