setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
avow	Crimson Vow Art Series	2021-11-19	1	Sorin the Mirthless // Sorin the Mirthless	aa454a53-859c-4d54-b3e1-3764f67c00ff	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/1/sorin-the-mirthless-sorin-the-mirthless?utm_source=api	Sorin the Mirthless:  // Sorin the Mirthless:
avow	Crimson Vow Art Series	2021-11-19	3	Kaya, Geist Hunter // Kaya, Geist Hunter	eca54afe-b75e-4455-8831-3f4e34d5df3d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/3/kaya-geist-hunter-kaya-geist-hunter?utm_source=api	Kaya, Geist Hunter:  // Kaya, Geist Hunter:
avow	Crimson Vow Art Series	2021-11-19	4	Ancestor's Embrace // Ancestor's Embrace	8e261397-f2d8-4929-8533-42ec8a411d52	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/4/ancestors-embrace-ancestors-embrace?utm_source=api	Ancestor's Embrace:  // Ancestor's Embrace:
avow	Crimson Vow Art Series	2021-11-19	5	Angelic Quartermaster // Angelic Quartermaster	ed6c20f4-077b-4029-901a-2e9afe9b875c	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/5/angelic-quartermaster-angelic-quartermaster?utm_source=api	Angelic Quartermaster:  // Angelic Quartermaster:
avow	Crimson Vow Art Series	2021-11-19	6	Bride's Gown // Bride's Gown	1acfe1a4-8094-4e58-9b56-dc900cb946ec	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/6/brides-gown-brides-gown?utm_source=api	Bride's Gown:  // Bride's Gown:
avow	Crimson Vow Art Series	2021-11-19	7	By Invitation Only // By Invitation Only	30c75611-b4a8-414c-a146-f0e4446d0394	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/7/by-invitation-only-by-invitation-only?utm_source=api	By Invitation Only:  // By Invitation Only:
avow	Crimson Vow Art Series	2021-11-19	8	Cemetery Protector // Cemetery Protector	becefc62-b170-4b45-81bb-edf51dab7490	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/8/cemetery-protector-cemetery-protector?utm_source=api	Cemetery Protector:  // Cemetery Protector:
avow	Crimson Vow Art Series	2021-11-19	9	Estwald Shieldbasher // Estwald Shieldbasher	50920051-5b45-40b9-a18d-97a57989c68e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/9/estwald-shieldbasher-estwald-shieldbasher?utm_source=api	Estwald Shieldbasher:  // Estwald Shieldbasher:
avow	Crimson Vow Art Series	2021-11-19	10	Gryff Rider // Gryff Rider	f516ed8b-c51d-4b2c-9b57-af2b50b2b789	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/10/gryff-rider-gryff-rider?utm_source=api	Gryff Rider:  // Gryff Rider:
avow	Crimson Vow Art Series	2021-11-19	11	Gryffwing Cavalry // Gryffwing Cavalry	ee5cd9e0-ca46-4271-b706-e6e56c5a9d57	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card // Card		0					manual review	https://scryfall.com/card/avow/11/gryffwing-cavalry-gryffwing-cavalry?utm_source=api	Gryffwing Cavalry:  // Gryffwing Cavalry:
