setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
avr	Avacyn Restored	2012-05-04	1	Angel of Glory's Rise	c6a606af-ea08-4cd9-bfd9-60d76e232e85	covered	card_selection, combat_body, combat_threat, mass_recursion, recursion	card_selection, combat_body, combat_threat, mass_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{5}{W}{W}	7	W	W	Flying		verify analyzer roles	https://scryfall.com/card/avr/1/angel-of-glorys-rise?utm_source=api	Flying When this creature enters, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield.
avr	Avacyn Restored	2012-05-04	2	Angel of Jubilation	36c2fc4c-7d8b-47c2-91c3-e356df60b219	covered	combat_body, combat_support, combat_threat, sacrifice_support	combat_body, combat_support, combat_threat, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{1}{W}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/avr/2/angel-of-jubilation?utm_source=api	Flying Other nonblack creatures you control get +1/+1. Players can't pay life or sacrifice creatures to cast spells or activate abilities.
avr	Avacyn Restored	2012-05-04	3	Angel's Mercy	6b232bb7-d372-4174-a049-5f8d620810e6	covered	lifegain	lifegain	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/avr/3/angels-mercy?utm_source=api	You gain 7 life.
avr	Avacyn Restored	2012-05-04	4	Angelic Wall	4502b24f-604b-4e36-9168-31c1a1ab4dab	covered		combat_body, combat_support, combat_threat	false		Covered by ODY role audit.	Creature — Wall	{1}{W}	2	W	W	Flying, Defender		already reviewed	https://scryfall.com/card/avr/4/angelic-wall?utm_source=api	Defender (This creature can't attack.) Flying
avr	Avacyn Restored	2012-05-04	5	Archangel	9971697b-2acc-4bc2-a44e-074d03a51df7	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Media and Collaboration Promos role audit.	Creature — Angel	{5}{W}{W}	7	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/avr/5/archangel?utm_source=api	Flying, vigilance
avr	Avacyn Restored	2012-05-04	6	Avacyn, Angel of Hope	216cb26e-8da9-478b-bfbc-8030f7adee72	covered		broad_protection, combat_body, combat_threat, self_protection	false		Covered by PRM role audit.	Legendary Creature — Angel	{5}{W}{W}{W}	8	W	W	Flying, Indestructible, Vigilance		already reviewed	https://scryfall.com/card/avr/6/avacyn-angel-of-hope?utm_source=api	Flying, vigilance, indestructible Other permanents you control have indestructible.
avr	Avacyn Restored	2012-05-04	7	Banishing Stroke	a6898364-c29e-4b97-a500-344efa3ec24a	covered	removal, tempo_removal	removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{5}{W}	6	W	W	Miracle		verify analyzer roles	https://scryfall.com/card/avr/7/banishing-stroke?utm_source=api	Put target artifact, creature, or enchantment on the bottom of its owner's library. Miracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)
avr	Avacyn Restored	2012-05-04	8	Builder's Blessing	33a64de1-dc78-43d3-b89e-b4b13049e174	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/avr/8/builders-blessing?utm_source=api	Untapped creatures you control get +0/+2.
avr	Avacyn Restored	2012-05-04	9	Call to Serve	bb4be6b2-507c-4d7c-bea4-010670dce3da	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/avr/9/call-to-serve?utm_source=api	Enchant nonblack creature Enchanted creature gets +1/+2, has flying, and is an Angel in addition to its other types.
avr	Avacyn Restored	2012-05-04	10	Cathars' Crusade	cc65ac73-5bef-4ecb-ad8e-39199084c027	covered	counter_support	counter_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/avr/10/cathars-crusade?utm_source=api	Whenever a creature you control enters, put a +1/+1 counter on each creature you control.
avr	Avacyn Restored	2012-05-04	11	Cathedral Sanctifier	1050f029-60d4-4769-b39f-9100c949a822	covered	combat_body, lifegain	combat_body, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/avr/11/cathedral-sanctifier?utm_source=api	When this creature enters, you gain 3 life.
avr	Avacyn Restored	2012-05-04	12	Cloudshift	6879f5ce-7a1b-4606-bad1-885779b0d456	covered	flicker, protection, rescue_protection	flicker, protection, rescue_protection	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/avr/12/cloudshift?utm_source=api	Exile target creature you control, then return that card to the battlefield under your control.
avr	Avacyn Restored	2012-05-04	13	Commander's Authority	57bc1106-81a0-4d91-94db-25e3a5f989cb	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{4}{W}	5	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/avr/13/commanders-authority?utm_source=api	Enchant creature Enchanted creature has "At the beginning of your upkeep, create a 1/1 white Human creature token."
avr	Avacyn Restored	2012-05-04	14	Cursebreak	ac5a13b1-0725-4978-8c93-cebd76be58ba	covered	lifegain, removal, targeted_removal	lifegain, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/avr/14/cursebreak?utm_source=api	Destroy target enchantment. You gain 2 life.
