setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
bchr	Chronicles Foreign Black Border	1995-07-01	1	Abu Ja'far	a2404d88-0621-49ae-9908-052c23a96ac6	covered	combat_body, mass_removal, removal, sacrifice_support	combat_body, mass_removal, removal, sacrifice_support	false		Covered by Arabian Nights role audit.	Creature — Human	{W}	1	W	W			already reviewed	https://scryfall.com/card/bchr/1/ja/%E3%82%A2%E3%83%96%E3%83%BC%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%95%E3%82%A1%E3%83%AB-(abu-jafar)?utm_source=api	When this creature dies, destroy all creatures blocking or blocked by it. They can't be regenerated.
bchr	Chronicles Foreign Black Border	1995-07-01	2	Akron Legionnaire	c5f50a78-9dc4-4f3c-aa11-b41c8278bc16	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Legends role audit.	Creature — Giant Soldier	{6}{W}{W}	8	W	W			already reviewed	https://scryfall.com/card/bchr/2/ja/%E3%82%A2%E3%82%AF%E3%83%AD%E3%83%B3%E3%81%AE%E8%BB%8D%E5%9B%A3%E5%85%B5-(akron-legionnaire)?utm_source=api	Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.
bchr	Chronicles Foreign Black Border	1995-07-01	3	Angelic Voices	3485109b-251f-4bef-a069-308031f47912	covered	combat_support	combat_support	false		Covered by Legends role audit.	Enchantment	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/bchr/3/ja/%E5%A4%A9%E4%BD%BF%E3%81%AE%E5%A3%B0-(angelic-voices)?utm_source=api	Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.
bchr	Chronicles Foreign Black Border	1995-07-01	4	Blood of the Martyr	0e69e6c2-fdc5-4c1a-bd96-c4283b82743a	covered	replacement_engine	replacement_engine	false		Covered by The Dark role audit.	Instant	{W}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/bchr/4/ja/%E6%AE%89%E6%95%99%E8%80%85%E3%81%AE%E8%A1%80-(blood-of-the-martyr)?utm_source=api	Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead.
bchr	Chronicles Foreign Black Border	1995-07-01	5	D'Avenant Archer	81bc4a5e-812f-4809-b6df-271c3c22f4fc	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by Legends role audit.	Creature — Human Soldier Archer	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/bchr/5/ja/%E3%83%80%E3%83%96%E3%83%8A%E3%83%B3%E3%83%88%E3%81%AE%E5%B0%84%E6%89%8B-(davenant-archer)?utm_source=api	{T}: This creature deals 1 damage to target attacking or blocking creature.
bchr	Chronicles Foreign Black Border	1995-07-01	6	Divine Offering	231f8edb-4ea1-44be-8794-b76a31462dfc	covered	lifegain, removal, targeted_removal	lifegain, removal, targeted_removal	false		Covered by Legends role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/bchr/6/ja/%E7%A5%9E%E3%81%B8%E3%81%AE%E6%8D%A7%E3%81%92%E7%89%A9-(divine-offering)?utm_source=api	Destroy target artifact. You gain life equal to its mana value.
bchr	Chronicles Foreign Black Border	1995-07-01	7	Indestructible Aura	e10e8d56-bba6-412d-970e-c24969f32b5b	covered	broad_protection, protection, targeted_protection	broad_protection, protection, targeted_protection	false		Covered by Legends role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/bchr/7/ja/%E4%B8%8D%E6%BB%85%E3%81%AE%E3%82%AA%E3%83%BC%E3%83%A9-(indestructible-aura)?utm_source=api	Prevent all damage that would be dealt to target creature this turn.
bchr	Chronicles Foreign Black Border	1995-07-01	8	Ivory Guardians	78171447-1bc8-4588-b427-5b82701324c5	covered	combat_body, combat_support, self_protection	combat_body, combat_support, self_protection	false		Covered by Legends role audit.	Creature — Giant Cleric	{4}{W}{W}	6	W	W	Protection		already reviewed	https://scryfall.com/card/bchr/8/ja/%E8%B1%A1%E7%89%99%E3%81%AE%E5%AE%88%E8%AD%B7%E8%80%85-(ivory-guardians)?utm_source=api	Protection from red Creatures named Ivory Guardians get +1/+1 as long as an opponent controls a nontoken red permanent.
bchr	Chronicles Foreign Black Border	1995-07-01	9	Keepers of the Faith	6ddc1256-a166-464f-8136-bd111cba6327	covered	combat_body	combat_body	false		Covered by Legends role audit.	Creature — Human Cleric	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/bchr/9/ja/%E4%BF%A1%E4%BB%B0%E3%81%AE%E5%AE%88%E3%82%8A%E6%89%8B-(keepers-of-the-faith)?utm_source=api	
bchr	Chronicles Foreign Black Border	1995-07-01	10	Petra Sphinx	f1ae89ff-b23b-44b2-a30c-6f2ae3216189	covered	combat_body	card_selection, combat_body, selection, topdeck_control	false		Covered by Legends role audit.	Creature — Sphinx	{2}{W}{W}{W}	5	W	W			already reviewed	https://scryfall.com/card/bchr/10/ja/%E3%83%9A%E3%83%88%E3%83%A9%E3%83%BB%E3%82%B9%E3%83%95%E3%82%A3%E3%83%B3%E3%82%AF%E3%82%B9-(petra-sphinx)?utm_source=api	{T}: Target player chooses a card name, then reveals the top card of their library. If that card has the chosen name, that player puts it into their hand. If it doesn't, the player puts it into their graveyard.
