setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
blc	Bloomburrow Commander	2024-08-02	1	Bello, Bard of the Brambles	fb773114-6161-46a3-ab30-1853958fbcb0			card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, self_protection				Legendary Creature — Raccoon Bard	{1}{R}{G}	3	GR	GR			verify analyzer roles	https://scryfall.com/card/blc/1/bello-bard-of-the-brambles?utm_source=api	During your turn, each non-Equipment artifact and non-Aura enchantment you control with mana value 4 or greater is a 4/4 Elemental creature in addition to its other types and has indestructible, haste, and "Whenever this creature deals combat damage to a player, draw a card."
blc	Bloomburrow Commander	2024-08-02	2	Hazel of the Rootbloom	845b40b1-dc09-44fa-9910-22544c1424ba			combat_body, copy_support, mana_fixing, stable_ramp, token_support				Legendary Creature — Squirrel Druid	{2}{B}{G}	4	BG	BG			verify analyzer roles	https://scryfall.com/card/blc/2/hazel-of-the-rootbloom?utm_source=api	{T}, Pay 2 life, Tap X untapped tokens you control: Add X mana in any combination of colors. At the beginning of your end step, create a token that's a copy of target token you control. If that token is a Squirrel, instead create two tokens that are copies of it.
blc	Bloomburrow Commander	2024-08-02	3	Ms. Bumbleflower	25636214-c6ea-4655-a5e8-98e735da5b05			card_draw, combat_body, combat_threat, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Legendary Creature — Rabbit Citizen	{1}{G}{W}{U}	4	GUW	GUW	Vigilance		verify analyzer roles	https://scryfall.com/card/blc/3/ms-bumbleflower?utm_source=api	Vigilance Whenever you cast a spell, target opponent draws a card. Put a +1/+1 counter on target creature. It gains flying until end of turn. If this is the second time this ability has resolved this turn, you draw two cards.
blc	Bloomburrow Commander	2024-08-02	4	Zinnia, Valley's Voice	d8c16a3a-dd9d-410c-a5d5-06339a89970f			combat_body, combat_threat, copy_support, scalable_spell, token_support				Legendary Creature — Bird Bard	{U}{R}{W}	3	RUW	RUW	Flying		verify analyzer roles	https://scryfall.com/card/blc/4/zinnia-valleys-voice?utm_source=api	Flying Zinnia gets +X/+0, where X is the number of other creatures you control with base power 1. Creature spells you cast gain offspring {2} as you cast them. (You may pay an additional {2} as you cast a creature spell. If you do, when that creature enters, create a 1/1 token copy of it.)
blc	Bloomburrow Commander	2024-08-02	5	Arthur, Marigold Knight	8d6ce07f-b21b-42eb-a3d6-df810664e2be			card_selection, combat_body, combat_support, combat_threat, cost_reduction, draw, ramp, repeatable_advantage, repeatable_tutor, restricted_tutor, selection, tutor				Legendary Creature — Mouse Knight	{2}{U}{R}{W}	5	RUW	RUW	Haste		verify analyzer roles	https://scryfall.com/card/blc/5/arthur-marigold-knight?utm_source=api	Haste Whenever Arthur and at least one other creature attack, look at the top six cards of your library. You may put a creature card from among them onto the battlefield tapped and attacking. Put the rest on the bottom of your library in a random order. Return that creature to its owner's hand at end of combat.
blc	Bloomburrow Commander	2024-08-02	6	Mr. Foxglove	c2008ba9-00df-4607-ba0c-189af52033eb			card_draw, combat_body, combat_support, combat_threat, cost_reduction, direct_draw, draw, lifegain, ramp, repeatable_advantage				Legendary Creature — Fox Rogue	{2}{G}{W}{U}	5	GUW	GUW	Lifelink		verify analyzer roles	https://scryfall.com/card/blc/6/mr-foxglove?utm_source=api	Lifelink Whenever Mr. Foxglove attacks, draw cards equal to the number of cards in defending player's hand minus the number of cards in your hand. If you didn't draw cards this way, you may put a creature card from your hand onto the battlefield.
blc	Bloomburrow Commander	2024-08-02	7	The Odd Acorn Gang	1d9d8028-d946-4245-ae0c-7508023f619a			card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw				Legendary Creature — Squirrel Warrior	{3}{B}{G}	5	BG	BG	Reach, Trample, Menace		verify analyzer roles	https://scryfall.com/card/blc/7/the-odd-acorn-gang?utm_source=api	Menace, trample, reach Squirrels you control have "{T}: Target Squirrel gets +2/+2 and gains trample until end of turn. Activate only as a sorcery." Whenever one or more Squirrels you control deal combat damage to a player, draw a card.
blc	Bloomburrow Commander	2024-08-02	8	Wildsear, Scouring Maw	9ceac4c6-e62e-4445-852c-b2c621e4a83b			card_selection, combat_body, combat_threat, cost_reduction, draw, repeatable_advantage, repeatable_draw, selection				Legendary Creature — Elemental Wolf	{3}{R}{G}	5	GR	GR	Trample		verify analyzer roles	https://scryfall.com/card/blc/8/wildsear-scouring-maw?utm_source=api	Trample Enchantment spells you cast from your hand have cascade. (Whenever you cast an enchantment spell from your hand, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)
blc	Bloomburrow Commander	2024-08-02	9	Jacked Rabbit	5a343a5f-3f9b-43c3-8532-8391de7a5443			card_draw, combat_body, combat_support, counter_support, direct_draw, draw, mana_sink, repeatable_draw, scalable_spell, token_support				Creature — Rabbit Warrior	{X}{1}{W}	2	W	W	Ravenous		verify analyzer roles	https://scryfall.com/card/blc/9/jacked-rabbit?utm_source=api	Ravenous (This creature enters with X +1/+1 counters on it. If X is 5 or more, draw a card when it enters.) Whenever this creature attacks, create a number of 1/1 white Rabbit creature tokens equal to this creature's power.
blc	Bloomburrow Commander	2024-08-02	10	Murmuration	84e7be36-b8cd-4111-a91b-3628f421d5d5			token_support				Enchantment	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/blc/10/murmuration?utm_source=api	Birds you control get +1/+1 and have vigilance. At the beginning of your end step, for each spell you've cast this turn, create a 1/2 blue Bird creature token with flying named Storm Crow.
