setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
bot	Transformers	2022-11-18	1	Prowl, Stoic Strategist // Prowl, Pursuit Vehicle	8dfd9baf-c3cc-4d2f-a0b0-b323b6480562			card_draw, combat_body, combat_support, counter_support, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, targeted_removal				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		4		W	Living metal, Convert, More Than Meets the Eye		verify analyzer roles	https://scryfall.com/card/bot/1/prowl-stoic-strategist-prowl-pursuit-vehicle?utm_source=api	Prowl, Stoic Strategist: More Than Meets the Eye {2}{W} (You may cast this card converted for {2}{W}.) Whenever Prowl attacks, exile up to one other target tapped creature or Vehicle. For as long as that card remains exiled, its owner may play it. Whenever a player plays a card exiled with Prowl, you draw a card and convert Prowl. // Prowl, Pursuit Vehicle: Living metal (During your turn, this Vehicle is also a creature.) Whenever another creature or Vehicle you control enters, put a +1/+1 counter on Prowl. If this is the second time this ability has resolved this turn, convert Prowl.
bot	Transformers	2022-11-18	2	Ratchet, Field Medic // Ratchet, Rescue Racer	4f95664f-6113-41e6-a99e-12bfc9d1710a			artifact_support, battlefield_recursion, card_selection, combat_body, combat_threat, lifegain, recursion, repeatable_advantage				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		3		W	Lifelink, Living metal, Convert, More Than Meets the Eye		verify analyzer roles	https://scryfall.com/card/bot/2/ratchet-field-medic-ratchet-rescue-racer?utm_source=api	Ratchet, Field Medic: More Than Meets the Eye {1}{W} (You may cast this card converted for {1}{W}.) Lifelink Whenever you gain life, you may convert Ratchet. When you do, return target artifact card with mana value less than or equal to the amount of life you gained this turn from your graveyard to the battlefield tapped. // Ratchet, Rescue Racer: Living metal (During your turn, this Vehicle is also a creature.) Lifelink Whenever one or more nontoken artifacts you control are put into a graveyard from the battlefield, convert Ratchet. This ability triggers only once each turn.
bot	Transformers	2022-11-18	3	Jetfire, Ingenious Scientist // Jetfire, Air Guardian	38de7183-81ef-4a79-b231-7195ba89a281			artifact_support, combat_body, combat_support, combat_threat, counter_support, stable_ramp				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		5		U	Flying, Adapt, Living metal, Convert, More Than Meets the Eye		verify analyzer roles	https://scryfall.com/card/bot/3/jetfire-ingenious-scientist-jetfire-air-guardian?utm_source=api	Jetfire, Ingenious Scientist: More Than Meets the Eye {3}{U} (You may cast this card converted for {3}{U}.) Flying Remove one or more +1/+1 counters from among artifacts you control: Target player adds that much {C}. This mana can't be spent to cast nonartifact spells. Convert Jetfire. // Jetfire, Air Guardian: Living metal (During your turn, this Vehicle is also a creature.) Flying {U}{U}{U}: Convert Jetfire, then adapt 3. (If it has no +1/+1 counters on it, put three +1/+1 counters on it.)
bot	Transformers	2022-11-18	4	Blitzwing, Cruel Tormentor // Blitzwing, Adaptive Assailant	9a10668a-df42-40c2-88d1-ad3b2aba5b03			combat_body, combat_support, direct_finisher, finisher, repeatable_finisher, self_protection				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		6		B	Living metal, Convert, More Than Meets the Eye		verify analyzer roles	https://scryfall.com/card/bot/4/blitzwing-cruel-tormentor-blitzwing-adaptive-assailant?utm_source=api	Blitzwing, Cruel Tormentor: More Than Meets the Eye {3}{B} (You may cast this card converted for {3}{B}.) At the beginning of your end step, target opponent loses life equal to the life that player lost this turn. If no life is lost this way, convert Blitzwing. // Blitzwing, Adaptive Assailant: Living metal (During your turn, this Vehicle is also a creature.) At the beginning of combat on your turn, choose flying or indestructible at random. Blitzwing gains that ability until end of turn. Whenever Blitzwing deals combat damage to a player, convert it.
bot	Transformers	2022-11-18	5	Starscream, Power Hungry // Starscream, Seeker Leader	3e924a35-0e08-4050-b33a-a143d2ab5aea			combat_body, combat_support, combat_threat				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		4		B	Flying, Living metal, Haste, Convert, Menace, More Than Meets the Eye		verify analyzer roles	https://scryfall.com/card/bot/5/starscream-power-hungry-starscream-seeker-leader?utm_source=api	Starscream, Power Hungry: More Than Meets the Eye {2}{B} (You may cast this card converted for {2}{B}.) Flying Whenever you draw a card, if you're the monarch, target opponent loses 2 life. Whenever one or more creatures deal combat damage to you, convert Starscream. // Starscream, Seeker Leader: Living metal (During your turn, this Vehicle is also a creature.) Flying, menace, haste Whenever Starscream deals combat damage to a player, if there is no monarch, that player becomes the monarch. Whenever you become the monarch, convert Starscream.
bot	Transformers	2022-11-18	6	Slicer, Hired Muscle // Slicer, High-Speed Antagonist	fa716557-8e75-4617-8310-ab23a9ca1af1			combat_body, combat_support, combat_threat, theft_support				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		5		R	Goad, Living metal, First strike, Haste, Convert, More Than Meets the Eye, Double strike		verify analyzer roles	https://scryfall.com/card/bot/6/slicer-hired-muscle-slicer-high-speed-antagonist?utm_source=api	Slicer, Hired Muscle: More Than Meets the Eye {2}{R} (You may cast this card converted for {2}{R}.) Double strike, haste At the beginning of each opponent's upkeep, you may have that player gain control of Slicer until end of turn. If you do, untap Slicer, goad it, and it can't be sacrificed this turn. If you don't, convert it. // Slicer, High-Speed Antagonist: Living metal (During your turn, this Vehicle is also a creature.) First strike, haste Whenever Slicer deals combat damage to a player, convert it at end of combat.
bot	Transformers	2022-11-18	7	Arcee, Sharpshooter // Arcee, Acrobatic Coupe	9fba3097-d53f-4ea4-b5d2-8adddaa09524			combat_body, combat_threat, counter_support, removal, targeted_removal				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		3		RW	Living metal, First strike, Convert, More Than Meets the Eye		verify analyzer roles	https://scryfall.com/card/bot/7/arcee-sharpshooter-arcee-acrobatic-coupe?utm_source=api	Arcee, Sharpshooter: More Than Meets the Eye {R}{W} (You may cast this card converted for {R}{W}.) First strike {1}, Remove one or more +1/+1 counters from Arcee: It deals that much damage to target creature. Convert Arcee. // Arcee, Acrobatic Coupe: Living metal (During your turn, this Vehicle is also a creature.) Whenever you cast a spell that targets one or more creatures or Vehicles you control, put that many +1/+1 counters on Arcee. Convert Arcee.
bot	Transformers	2022-11-18	8	Blaster, Combat DJ // Blaster, Morale Booster	59c2af34-a2e5-4c67-af2d-a782e41a8e1e			combat_body, combat_support, counter_support, scalable_spell				Legendary Artifact Creature — Robot // Legendary Artifact		5		GR	Modular, Convert, More Than Meets the Eye		verify analyzer roles	https://scryfall.com/card/bot/8/blaster-combat-dj-blaster-morale-booster?utm_source=api	Blaster, Combat DJ: More Than Meets the Eye {1}{R}{G} (You may cast this card converted for {1}{R}{G}.) Other nontoken artifact creatures and Vehicles you control have modular 1. (They enter with an additional +1/+1 counter on them. When they die, you may put their +1/+1 counters on target artifact creature.) Whenever you put one or more +1/+1 counters on Blaster, convert it. // Blaster, Morale Booster: Modular 3 {X}, {T}: Move X +1/+1 counters from Blaster onto another target artifact. That artifact gains haste until end of turn. If Blaster has no +1/+1 counters on it, convert it. Activate only as a sorcery.
bot	Transformers	2022-11-18	9	Cyclonus, the Saboteur // Cyclonus, Cybertronian Fighter	7ead01b9-def3-4f9d-a860-af64e94cb45e			card_draw, card_selection, combat_body, combat_support, combat_threat, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		4		BU	Flying, Living metal, Convert, More Than Meets the Eye, Connive		verify analyzer roles	https://scryfall.com/card/bot/9/cyclonus-the-saboteur-cyclonus-cybertronian-fighter?utm_source=api	Cyclonus, the Saboteur: More Than Meets the Eye {5}{U}{B} (You may cast this card converted for {5}{U}{B}.) Flying Whenever Cyclonus deals combat damage to a player, it connives. Then if Cyclonus's power is 5 or greater, convert it. (To have a creature connive, draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.) // Cyclonus, Cybertronian Fighter: Living metal (During your turn, this Vehicle is also a creature.) Flying Whenever Cyclonus deals combat damage to a player, convert it. If you do, there is an additional beginning phase after this phase. (The beginning phase includes the untap, upkeep, and draw steps.)
bot	Transformers	2022-11-18	10	Flamewar, Brash Veteran // Flamewar, Streetwise Operative	cf812f1e-f48a-4375-8d2c-f6e3cb82e067			combat_body, combat_support, combat_threat, counter_support, face_down_support, sacrifice_support				Legendary Artifact Creature — Robot // Legendary Artifact — Vehicle		3		BR	Living metal, Convert, Menace, More Than Meets the Eye, Deathtouch		verify analyzer roles	https://scryfall.com/card/bot/10/flamewar-brash-veteran-flamewar-streetwise-operative?utm_source=api	Flamewar, Brash Veteran: More Than Meets the Eye {B}{R} (You may cast this card converted for {B}{R}.) Sacrifice another artifact: Put a +1/+1 counter on Flamewar and convert it. Activate only as a sorcery. {1}, Discard your hand: Put all exiled cards you own with intel counters on them into your hand. // Flamewar, Streetwise Operative: Living metal (During your turn, this Vehicle is also a creature.) Menace, deathtouch Whenever Flamewar deals combat damage to a player, exile that many cards from the top of your library face down. Put an intel counter on each of them. Convert Flamewar.
