setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
brb	Battle Royale Box Set	1999-11-12	1	Abyssal Specter	51833cff-6519-4806-8d91-0040e9a02189	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Ice Age role audit.	Creature — Specter	{2}{B}{B}	4	B	B	Flying		already reviewed	https://scryfall.com/card/brb/1/abyssal-specter?utm_source=api	Flying Whenever this creature deals damage to a player, that player discards a card.
brb	Battle Royale Box Set	1999-11-12	2	Advance Scout	831e2185-0bb2-45bb-99cd-d2091bad86f0	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Covered by Tempest role audit.	Creature — Human Soldier Scout	{1}{W}	2	W	W	First strike		already reviewed	https://scryfall.com/card/brb/2/advance-scout?utm_source=api	First strike {W}: Target creature gains first strike until end of turn.
brb	Battle Royale Box Set	1999-11-12	3	Air Elemental	7744bae4-a8b7-44a5-9b4c-0048ad4cc448	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by 6ED role audit.	Creature — Elemental	{3}{U}{U}	5	U	U	Flying		already reviewed	https://scryfall.com/card/brb/3/air-elemental?utm_source=api	Flying
brb	Battle Royale Box Set	1999-11-12	4	Angelic Page	f7f76abc-8656-4e97-9b7f-7f89ca3e6d93	covered		combat_body, combat_support, combat_threat	false		Covered by USG role audit.	Creature — Angel Spirit	{1}{W}	2	W	W	Flying		already reviewed	https://scryfall.com/card/brb/4/angelic-page?utm_source=api	Flying {T}: Target attacking or blocking creature gets +1/+1 until end of turn.
brb	Battle Royale Box Set	1999-11-12	5	Arc Lightning	5acc8b39-3c3e-4012-8cfd-ac3c2c4ca982	covered		removal, targeted_removal	false		Covered by USG role audit.	Sorcery	{2}{R}	3	R	R			already reviewed	https://scryfall.com/card/brb/5/arc-lightning?utm_source=api	Arc Lightning deals 3 damage divided as you choose among one, two, or three targets.
brb	Battle Royale Box Set	1999-11-12	6	Argothian Elder	b57f06e4-da97-4473-9fbf-f66e9129502a	covered		combat_body, stable_ramp	false		Covered by USG role audit.	Creature — Elf Druid	{3}{G}	4	G	G			already reviewed	https://scryfall.com/card/brb/6/argothian-elder?utm_source=api	{T}: Untap two target lands.
brb	Battle Royale Box Set	1999-11-12	7	Armored Pegasus	f097a059-5505-4c3c-b879-7853ab6972ed	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Portal role audit.	Creature — Pegasus	{1}{W}	2	W	W	Flying		already reviewed	https://scryfall.com/card/brb/7/armored-pegasus?utm_source=api	Flying
brb	Battle Royale Box Set	1999-11-12	8	Azure Drake	15cc068c-f424-433e-b165-8457c62a4b35	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Legends role audit.	Creature — Drake	{3}{U}	4	U	U	Flying		already reviewed	https://scryfall.com/card/brb/8/azure-drake?utm_source=api	Flying
brb	Battle Royale Box Set	1999-11-12	9	Blinking Spirit	a26f6958-9bc8-46f8-8ca7-7f55098e1291	covered	combat_body	combat_body	false		Covered by Ice Age role audit.	Creature — Spirit	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/brb/9/blinking-spirit?utm_source=api	{0}: Return this creature to its owner's hand.
brb	Battle Royale Box Set	1999-11-12	10	Broken Fall	79791c7f-dd33-406a-8c2e-6b722abd5161	covered	protection, regeneration_protection, targeted_protection	protection, regeneration_protection, targeted_protection	false		Covered by Tempest role audit.	Enchantment	{2}{G}	3	G	G	Regenerate		already reviewed	https://scryfall.com/card/brb/10/broken-fall?utm_source=api	Return this enchantment to its owner's hand: Regenerate target creature.
brb	Battle Royale Box Set	1999-11-12	11	Cackling Fiend	2029954b-6fa7-40d7-bb19-d7534c62be5d	covered		combat_body, hand_attack, removal	false		Covered by USG role audit.	Creature — Zombie	{2}{B}{B}	4	B	B			already reviewed	https://scryfall.com/card/brb/11/cackling-fiend?utm_source=api	When this creature enters, each opponent discards a card.
brb	Battle Royale Box Set	1999-11-12	12	Catastrophe	ed68160e-5e3d-44f2-ac7a-3749fda10119	covered		hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by USG role audit.	Sorcery	{4}{W}{W}	6	W	W			already reviewed	https://scryfall.com/card/brb/12/catastrophe?utm_source=api	Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.
brb	Battle Royale Box Set	1999-11-12	13	Cinder Marsh	6f8cc374-e76c-4bfa-bf20-28dea0bfefbe	covered	land_base, land_slot, mana_source	land_base, land_slot, mana_source	false		Covered by Tempest role audit.	Land		0		BR			already reviewed	https://scryfall.com/card/brb/13/cinder-marsh?utm_source=api	{T}: Add {C}. {T}: Add {B} or {R}. This land doesn't untap during your next untap step.
brb	Battle Royale Box Set	1999-11-12	14	Control Magic	cd0d7141-46d2-4aa3-bc77-6b3b4513803e	covered	removal, tempo_removal, theft_support	removal, tempo_removal, theft_support	false		Covered by BRB role audit.	Enchantment — Aura	{2}{U}{U}	4	U	U	Enchant		already reviewed	https://scryfall.com/card/brb/14/control-magic?utm_source=api	Enchant creature You control enchanted creature.
brb	Battle Royale Box Set	1999-11-12	15	Counterspell	cc187110-1148-4090-bbb8-e205694a39f5	covered	hard_stack, stack	hard_stack, stack	false		Covered by Ice Age role audit.	Instant	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/brb/15/counterspell?utm_source=api	Counter target spell.
