setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
cn2	Conspiracy: Take the Crown	2016-08-26	1	Adriana's Valor	512a9ab9-ddd4-4872-b4f4-dee56f9f5575	covered	combat_support, face_down_support, self_protection	combat_support, face_down_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0		W	Hidden agenda		verify analyzer roles	https://scryfall.com/card/cn2/1/adrianas-valor?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Whenever a creature you control with the chosen name attacks, you may pay {W}. If you do, that creature gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)
cn2	Conspiracy: Take the Crown	2016-08-26	2	Assemble the Rank and Vile	8c912b1f-4584-4945-9931-f6850e5ebfa4	covered	face_down_support, sacrifice_support, token_support	face_down_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0		B	Hidden agenda		verify analyzer roles	https://scryfall.com/card/cn2/2/assemble-the-rank-and-vile?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Creatures you control with the chosen name have "When this creature dies, you may pay {B}. If you do, create a tapped 2/2 black Zombie creature token."
cn2	Conspiracy: Take the Crown	2016-08-26	3	Echoing Boon	22e89c6d-2304-4def-8a74-e53a6271e9b9	covered	copy_support, face_down_support, spellslinger	copy_support, face_down_support, spellslinger	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cn2/3/echoing-boon?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Whenever you cast an instant or sorcery spell, if it targets a creature you control with the chosen name, you may copy that spell and may choose new targets for the copy.
cn2	Conspiracy: Take the Crown	2016-08-26	4	Emissary's Ploy	88e936c3-cab9-430f-baa1-930ff557cbf6	covered	face_down_support, replacement_engine	face_down_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cn2/4/emissarys-ploy?utm_source=api	(Start the game with this conspiracy face up in the command zone.) Before drawing your opening hand, choose 1, 2, or 3. You may spend mana as though it were mana of any color to cast creature spells with mana value equal to the chosen number.
cn2	Conspiracy: Take the Crown	2016-08-26	5	Hired Heist	b0d84455-dc35-45d3-901e-8d28363142f4	covered	card_draw, combat_support, direct_draw, draw, face_down_support	card_draw, combat_support, direct_draw, draw, face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0		U	Hidden agenda		verify analyzer roles	https://scryfall.com/card/cn2/5/hired-heist?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Whenever a creature you control with the chosen name deals combat damage to a player, you may pay {U}. If you do, draw a card.
cn2	Conspiracy: Take the Crown	2016-08-26	6	Hold the Perimeter	20f7f33d-0c49-49f7-80fa-aed86e33a528	covered	face_down_support	face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cn2/6/hold-the-perimeter?utm_source=api	(Start the game with this conspiracy face up in the command zone.) At the beginning of your first upkeep, create a 1/2 white Soldier creature token with defender. At the beginning of each other player's first upkeep, that player creates a 1/1 red Goblin creature token with "This token can't block."
cn2	Conspiracy: Take the Crown	2016-08-26	7	Hymn of the Wilds	dfa62414-48c6-4e5c-8609-1ce507b41505	covered	cost_reduction, face_down_support, hate_piece, ramp, stax_piece	cost_reduction, face_down_support, hate_piece, ramp, stax_piece	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cn2/7/hymn-of-the-wilds?utm_source=api	(Start the game with this conspiracy face up in the command zone.) The first creature spell you cast each turn costs {1} less to cast. You can't cast instant or sorcery spells.
cn2	Conspiracy: Take the Crown	2016-08-26	8	Incendiary Dissent	70caaa64-9623-4d05-9843-18460fea963b	covered	combat_support, face_down_support	combat_support, face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0		R	Hidden agenda		verify analyzer roles	https://scryfall.com/card/cn2/8/incendiary-dissent?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Creatures you control with the chosen name have "{R}: This creature gets +1/+0 until end of turn."
cn2	Conspiracy: Take the Crown	2016-08-26	9	Natural Unity	3deb19f6-c1a3-4bca-a6ae-df5d0b42a66e	covered	counter_support, face_down_support	counter_support, face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0		G	Hidden agenda		verify analyzer roles	https://scryfall.com/card/cn2/9/natural-unity?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Creatures you control with the chosen name have "At the beginning of combat on your turn, you may pay {G}. If you do, put a +1/+1 counter on this creature."
cn2	Conspiracy: Take the Crown	2016-08-26	10	Sovereign's Realm	c100a597-8186-4b07-b34a-e1eca2146838	covered	face_down_support, mana_fixing	face_down_support, mana_fixing	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cn2/10/sovereigns-realm?utm_source=api	(Start the game with this conspiracy face up in the command zone.) Your starting deck can't have basic land cards and your starting hand size is five. Exile a card from your hand: This turn, you may play basic lands from outside the game. Basic lands you control have "{T}: Add one mana of any color."
cn2	Conspiracy: Take the Crown	2016-08-26	11	Summoner's Bond	07b6326a-b73d-422b-bcb5-c508aa3fc558	covered	face_down_support, restricted_tutor, tutor	face_down_support, restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda, Double agenda		verify analyzer roles	https://scryfall.com/card/cn2/11/summoners-bond?utm_source=api	Double agenda (Start the game with this conspiracy face down in the command zone and secretly choose two different card names. You may turn this conspiracy face up any time and reveal those names.) Whenever you cast a creature spell with one of the chosen names, you may search your library for a creature card with the other chosen name, reveal it, put it into your hand, then shuffle.
cn2	Conspiracy: Take the Crown	2016-08-26	12	Weight Advantage	42bede0a-de6d-4de3-90ea-9d92b0fe8c64	covered	combat_support, face_down_support	combat_support, face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cn2/12/weight-advantage?utm_source=api	(Start the game with this conspiracy face up in the command zone.) Each creature you control assigns combat damage equal to its toughness rather than its power.
cn2	Conspiracy: Take the Crown	2016-08-26	13	Ballot Broker	e8df915f-f509-4c6c-9261-a5a16c3f06c5	covered	combat_body, multiplier_support, replacement_engine	combat_body, multiplier_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Human Advisor	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/cn2/13/ballot-broker?utm_source=api	While voting, you may vote an additional time. (The votes can be for different choices or for the same choice.)
cn2	Conspiracy: Take the Crown	2016-08-26	14	Custodi Peacekeeper	abd78909-72dc-4d36-8990-39995fd071da	covered	combat_body, removal, tempo_removal	combat_body, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/cn2/14/custodi-peacekeeper?utm_source=api	Reveal this card as you draft it and note how many cards you've drafted this draft round, including this card. {W}, {T}: Tap target creature with power less than or equal to the highest number you noted for cards named Custodi Peacekeeper.
