setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
cst	Coldsnap Theme Decks	2006-07-21	8	Kjeldoran Home Guard	5f7ae611-a78d-4535-9d76-755001bda34c	covered	combat_body, counter_support, token_support	combat_body, counter_support, token_support	false		Covered by Alliances role audit.	Creature — Human Soldier	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/cst/8/kjeldoran-home-guard?utm_source=api	At end of combat, if this creature attacked or blocked this combat, put a -0/-1 counter on this creature and create a 0/1 white Deserter creature token.
cst	Coldsnap Theme Decks	2006-07-21	9b	Kjeldoran Pride	515fb257-ec07-4978-af16-47a10a22ba3c	covered	combat_support	combat_support	false		Covered by Alliances role audit.	Enchantment — Aura	{1}{W}	2	W	UW	Enchant		already reviewed	https://scryfall.com/card/cst/9b/kjeldoran-pride?utm_source=api	Enchant creature Enchanted creature gets +1/+2. {2}{U}: Attach this Aura to target creature other than enchanted creature.
cst	Coldsnap Theme Decks	2006-07-21	12b	Reinforcements	ff27ff96-afd2-45df-b799-3046179e27c6	covered	library_recursion, mass_recursion, recursion	library_recursion, mass_recursion, recursion	false		Covered by Alliances role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/cst/12b/reinforcements?utm_source=api	Put up to three target creature cards from your graveyard on top of your library.
cst	Coldsnap Theme Decks	2006-07-21	16	Scars of the Veteran	5f0ad09f-a9ee-42df-b32d-9d842ce5dd00	covered	counter_support, protection, targeted_protection	counter_support, protection, targeted_protection	false		Covered by Alliances role audit.	Instant	{4}{W}	5	W	W			already reviewed	https://scryfall.com/card/cst/16/scars-of-the-veteran?utm_source=api	You may exile a white card from your hand rather than pay this spell's mana cost. Prevent the next 7 damage that would be dealt to any target this turn. If it's a creature, put a +0/+1 counter on it for each 1 damage prevented this way at the beginning of the next end step.
cst	Coldsnap Theme Decks	2006-07-21	20	Disenchant	a7e97fa9-4b72-4548-b854-5be5f18a6f1a	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/cst/20/disenchant?utm_source=api	Destroy target artifact or enchantment.
cst	Coldsnap Theme Decks	2006-07-21	25	Browse	49491601-e272-4603-9348-185a2953bd4b	covered	card_selection, restricted_tutor	card_selection, restricted_tutor	false		Covered by Alliances role audit.	Enchantment	{2}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/cst/25/browse?utm_source=api	{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest.
cst	Coldsnap Theme Decks	2006-07-21	30b	Lat-Nam's Legacy	f885ee54-3b26-4d61-9783-3930b0e625aa	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Covered by Alliances role audit.	Instant	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/cst/30b/lat-nams-legacy?utm_source=api	Shuffle a card from your hand into your library. If you do, draw two cards at the beginning of the next turn's upkeep.
cst	Coldsnap Theme Decks	2006-07-21	34	Kjeldoran Elite Guard	a1f6df2a-fc97-44d4-a0d1-902d8df94002	covered	combat_body, combat_support, sacrifice_support	combat_body, combat_support, sacrifice_support	false		Covered by Ice Age role audit.	Creature — Human Soldier	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/cst/34/kjeldoran-elite-guard?utm_source=api	{T}: Target creature gets +2/+2 until end of turn. When that creature leaves the battlefield this turn, sacrifice this creature. Activate only during combat.
cst	Coldsnap Theme Decks	2006-07-21	37	Storm Elemental	f1fee486-660e-4356-896e-671e8b675ad8	covered	combat_body, combat_support, combat_threat, removal, targeted_removal, tempo_removal	combat_body, combat_support, combat_threat, removal, targeted_removal, tempo_removal	false		Covered by Alliances role audit.	Creature — Elemental	{5}{U}	6	U	U	Flying		already reviewed	https://scryfall.com/card/cst/37/storm-elemental?utm_source=api	Flying {U}, Exile the top card of your library: Tap target creature with flying. {U}, Exile the top card of your library: If the exiled card is a snow land, this creature gets +1/+1 until end of turn.
cst	Coldsnap Theme Decks	2006-07-21	42	Viscerid Drone	5fd4be4c-70a3-4c91-a4c6-788a2051ff13	covered	combat_body, removal, sacrifice_support, targeted_removal	combat_body, removal, sacrifice_support, targeted_removal	false		Covered by Alliances role audit.	Creature — Homarid Drone	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/cst/42/viscerid-drone?utm_source=api	{T}, Sacrifice a creature and a Swamp: Destroy target nonartifact creature. It can't be regenerated. {T}, Sacrifice a creature and a snow Swamp: Destroy target creature. It can't be regenerated.
