setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dci	DCI Promos	2006-01-01	1	Wood Elves	8973bd99-20f8-4867-90ef-50392147ee1b	covered	combat_body, land_acceleration, land_tutor, mana_fixing, ramp, tutor	combat_body, land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Covered by Portal role audit.	Creature — Elf Scout	{2}{G}	3	G	G			already reviewed	https://scryfall.com/card/dci/1/wood-elves?utm_source=api	When this creature enters, search your library for a Forest card, put that card onto the battlefield, then shuffle.
dci	DCI Promos	2006-01-01	2	Icatian Javelineers	26112ba7-2859-4af3-93c3-e62c31177216	covered	combat_body, counter_support, removal, targeted_removal	combat_body, counter_support, removal, targeted_removal	false		Covered by Fallen Empires role audit.	Creature — Human Soldier	{W}	1	W	W			already reviewed	https://scryfall.com/card/dci/2/icatian-javelineers?utm_source=api	This creature enters with a javelin counter on it. {T}, Remove a javelin counter from this creature: It deals 1 damage to any target.
dci	DCI Promos	2006-01-01	3	Fiery Temper	f07bd49d-8e71-4d56-be2a-638514011318	covered		removal, targeted_removal	false		Covered by TOR role audit.	Instant	{1}{R}{R}	3	R	R	Madness		already reviewed	https://scryfall.com/card/dci/3/fiery-temper?utm_source=api	Fiery Temper deals 3 damage to any target. Madness {R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
dci	DCI Promos	2006-01-01	4	Boomerang	dc4a4996-108a-4aac-850f-2d9f76403446	covered	removal, tempo_removal	removal, tempo_removal	false		Covered by Legends role audit.	Instant	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/dci/4/boomerang?utm_source=api	Return target permanent to its owner's hand.
dci	DCI Promos	2006-01-01	5	Calciderm	329d53eb-d443-4376-ae5a-4be7dfb1fc91	covered		combat_body, counter_support, sacrifice_support, self_protection	false		Covered by PRM role audit.	Creature — Beast	{2}{W}{W}	4	W	W	Shroud, Vanishing		already reviewed	https://scryfall.com/card/dci/5/calciderm?utm_source=api	Shroud (This creature can't be the target of spells or abilities.) Vanishing 4 (This creature enters with four time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
dci	DCI Promos	2006-01-01	6	Reckless Wurm	c9159396-81d3-4f81-88b4-dda163ff4b74	covered		combat_body, combat_threat	false		Covered by PRM role audit.	Creature — Wurm	{3}{R}{R}	5	R	R	Madness, Trample		already reviewed	https://scryfall.com/card/dci/6/reckless-wurm?utm_source=api	Trample Madness {2}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
dci	DCI Promos	2006-01-01	7	Yixlid Jailer	1f55303e-1369-4e42-9ed4-36609887c7c1	covered		combat_body	false		Covered by PRM role audit.	Creature — Zombie Wizard	{1}{B}	2	B	B			already reviewed	https://scryfall.com/card/dci/7/yixlid-jailer?utm_source=api	Cards in graveyards lose all abilities.
dci	DCI Promos	2006-01-01	8	Zoetic Cavern	3763de30-28e1-4689-a71c-07d2fea3a466	covered		face_down_support, land_base, land_slot, mana_source	false		Covered by PRM role audit.	Land		0			Morph		already reviewed	https://scryfall.com/card/dci/8/zoetic-cavern?utm_source=api	{T}: Add {C}. Morph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
dci	DCI Promos	2006-01-01	9	Llanowar Elves	68954295-54e3-4303-a6bc-fc4547a4e3a3	covered	combat_body, ramp, stable_ramp	combat_body, ramp, stable_ramp	false		Covered by ATH role audit.	Creature — Elf Druid	{G}	1	G	G			already reviewed	https://scryfall.com/card/dci/9/llanowar-elves?utm_source=api	{T}: Add {G}.
dci	DCI Promos	2006-01-01	10	Mogg Fanatic	7efd5d62-6da2-428a-98e3-5b842f668656	covered	combat_body, removal, sacrifice_support, targeted_removal	combat_body, removal, sacrifice_support, targeted_removal	false		Covered by Tempest role audit.	Creature — Goblin	{R}	1	R	R			already reviewed	https://scryfall.com/card/dci/10/mogg-fanatic?utm_source=api	Sacrifice this creature: It deals 1 damage to any target.
dci	DCI Promos	2006-01-01	11	Mind Stone	c97361b5-af16-4a7b-af85-a429dbaf4ad2	covered	card_draw, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, sacrifice_support, stable_ramp	card_draw, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, sacrifice_support, stable_ramp	false		Covered by Weatherlight role audit.	Artifact	{2}	2					already reviewed	https://scryfall.com/card/dci/11/mind-stone?utm_source=api	{T}: Add {C}. {1}, {T}, Sacrifice this artifact: Draw a card.
dci	DCI Promos	2006-01-01	12	Dauntless Dourbark	3fd25479-b65c-48f7-bb74-95d49af65ac1	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Treefolk Warrior	{3}{G}	4	G	G			already reviewed	https://scryfall.com/card/dci/12/dauntless-dourbark?utm_source=api	Dauntless Dourbark's power and toughness are each equal to the number of Forests you control plus the number of Treefolk you control. This creature has trample as long as you control another Treefolk.
dci	DCI Promos	2006-01-01	13	Lava Axe	387b6b07-a283-412d-94c3-f7f1dc76e858	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Portal role audit.	Sorcery	{4}{R}	5	R	R			already reviewed	https://scryfall.com/card/dci/13/lava-axe?utm_source=api	Lava Axe deals 5 damage to target player or planeswalker.
