setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	1	Phyrexian Negator	f22fcd17-bc24-41df-81ce-6d11208861b9	covered		combat_body, combat_threat, sacrifice_support	false		Covered by UDS role audit.	Creature — Phyrexian Horror	{2}{B}	3	B	B	Trample		already reviewed	https://scryfall.com/card/dde/1/phyrexian-negator?utm_source=api	Trample Whenever this creature is dealt damage, sacrifice that many permanents.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	2	Carrion Feeder	a1cc5e37-b09a-4b7f-afd5-77c1c35aa425	covered		combat_body, combat_support, counter_support, sacrifice_support	false		Covered by PRM role audit.	Creature — Zombie	{B}	1	B	B			already reviewed	https://scryfall.com/card/dde/2/carrion-feeder?utm_source=api	This creature can't block. Sacrifice a creature: Put a +1/+1 counter on this creature.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	3	Phyrexian Battleflies	58ed1294-ba7d-43a1-b988-8d78d9fa0e3e	covered		combat_body, combat_support, combat_threat	false		Covered by INV role audit.	Creature — Phyrexian Insect	{B}	1	B	B	Flying		already reviewed	https://scryfall.com/card/dde/3/phyrexian-battleflies?utm_source=api	Flying {B}: This creature gets +1/+0 until end of turn. Activate no more than twice each turn.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	4	Phyrexian Denouncer	b331c5fa-cd97-4fd8-b1df-d2c9e6a5a854	covered		combat_body, sacrifice_support, targeted_removal	false		Covered by ULG role audit.	Creature — Phyrexian Carrier	{1}{B}	2	B	B			already reviewed	https://scryfall.com/card/dde/4/phyrexian-denouncer?utm_source=api	{T}, Sacrifice this creature: Target creature gets -1/-1 until end of turn.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	5	Bone Shredder	69aa1ac7-17da-4fc9-a3dc-df8a52841f4a	covered	combat_body, combat_threat, removal, sacrifice_support, targeted_removal	combat_body, combat_threat, removal, sacrifice_support, targeted_removal	false		Covered by Media and Collaboration Promos role audit.	Creature — Phyrexian Minion	{2}{B}	3	B	B	Echo, Flying		already reviewed	https://scryfall.com/card/dde/5/bone-shredder?utm_source=api	Flying Echo {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) When this creature enters, destroy target nonartifact, nonblack creature.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	6	Phyrexian Ghoul	748c2723-dc59-4aa7-9667-d4679448c8b6	covered		combat_body, combat_support, sacrifice_support	false		Covered by USG role audit.	Creature — Phyrexian Zombie	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/dde/6/phyrexian-ghoul?utm_source=api	Sacrifice a creature: This creature gets +2/+2 until end of turn.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	7	Priest of Gix	d93f82ce-0eed-45cc-a7b1-50fd4cbb6152	covered		burst_ramp, combat_body	false		Covered by USG role audit.	Creature — Phyrexian Human Cleric Minion	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/dde/7/priest-of-gix?utm_source=api	When this creature enters, add {B}{B}{B}.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	8	Phyrexian Broodlings	7d5e4033-bd58-4854-b9d3-a440240995ee	covered		combat_body, counter_support, sacrifice_support	false		Covered by ULG role audit.	Creature — Phyrexian Minion	{1}{B}{B}	3	B	B			already reviewed	https://scryfall.com/card/dde/8/phyrexian-broodlings?utm_source=api	{1}, Sacrifice a creature: Put a +1/+1 counter on this creature.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	9	Sanguine Guard	d86cc093-5db9-437a-a5bd-77d6faf97ca0	covered		combat_body, combat_threat, protection, regeneration_protection, targeted_protection	false		Covered by USG role audit.	Creature — Phyrexian Zombie Knight	{1}{B}{B}	3	B	B	First strike, Regenerate		already reviewed	https://scryfall.com/card/dde/9/sanguine-guard?utm_source=api	First strike {1}{B}: Regenerate this creature.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	10	Phyrexian Debaser	554de904-086c-428c-9f32-b0b2498a6fd5	covered		combat_body, combat_threat, sacrifice_support, targeted_removal	false		Covered by ULG role audit.	Creature — Phyrexian Carrier	{3}{B}	4	B	B	Flying		already reviewed	https://scryfall.com/card/dde/10/phyrexian-debaser?utm_source=api	Flying {T}, Sacrifice this creature: Target creature gets -2/-2 until end of turn.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	11	Order of Yawgmoth	c1795e9c-31c9-4892-a796-7656e09257b3	covered		combat_body, combat_support	false		Covered by USG role audit.	Creature — Phyrexian Zombie Knight	{2}{B}{B}	4	B	B	Fear		already reviewed	https://scryfall.com/card/dde/11/order-of-yawgmoth?utm_source=api	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Whenever this creature deals damage to a player, that player discards a card.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	12	Phyrexian Defiler	bed87e57-d410-478f-ae9d-2d7d00831e5e	covered		combat_body, sacrifice_support, targeted_removal	false		Covered by ULG role audit.	Creature — Phyrexian Carrier	{2}{B}{B}	4	B	B			already reviewed	https://scryfall.com/card/dde/12/phyrexian-defiler?utm_source=api	{T}, Sacrifice this creature: Target creature gets -3/-3 until end of turn.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	13	Phyrexian Plaguelord	aff9e844-9e03-490b-b44f-10d385738cc6	covered		combat_body, sacrifice_support, targeted_removal	false		Covered by ULG role audit.	Creature — Phyrexian Carrier	{3}{B}{B}	5	B	B			already reviewed	https://scryfall.com/card/dde/13/phyrexian-plaguelord?utm_source=api	{T}, Sacrifice this creature: Target creature gets -4/-4 until end of turn. Sacrifice a creature: Target creature gets -1/-1 until end of turn.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	14	Phyrexian Hulk	a16509da-ad46-4ee3-86f3-06c521c23481	covered	combat_body	combat_body	false		Covered by Tempest role audit.	Artifact Creature — Phyrexian Golem	{6}	6					already reviewed	https://scryfall.com/card/dde/14/phyrexian-hulk?utm_source=api	
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	15	Phyrexian Gargantua	a3925dfd-62b0-44ef-8545-7bee92cad5a2	covered		card_draw, combat_body, direct_draw, draw	false		Covered by APC role audit.	Creature — Phyrexian Horror	{4}{B}{B}	6	B	B			already reviewed	https://scryfall.com/card/dde/15/phyrexian-gargantua?utm_source=api	When this creature enters, you draw two cards and you lose 2 life.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	16	Phyrexian Colossus	caab555c-7852-418a-bdc3-f908af7e0932	covered		combat_body, combat_support	false		Covered by USG role audit.	Artifact Creature — Phyrexian Golem	{7}	7					already reviewed	https://scryfall.com/card/dde/16/phyrexian-colossus?utm_source=api	This creature doesn't untap during your untap step. Pay 8 life: Untap this creature. This creature can't be blocked except by three or more creatures.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	17	Voltaic Key	09aeea91-b1dc-443f-a509-4758f052c0a7	covered	tap_untap, tempo_support	tap_untap, tempo_support	false		Covered by Media and Collaboration Promos role audit.	Artifact	{1}	1					already reviewed	https://scryfall.com/card/dde/17/voltaic-key?utm_source=api	{1}, {T}: Untap target artifact.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	18	Dark Ritual	53f7c868-b03e-4fc2-8dcf-a75bbfa3272b	covered	burst_ramp, ramp	burst_ramp, ramp	false		Covered by Ice Age role audit.	Instant	{B}	1	B	B			already reviewed	https://scryfall.com/card/dde/18/dark-ritual?utm_source=api	Add {B}{B}{B}.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	19	Lightning Greaves	ca204b66-8d0c-431a-8d34-282f7c2d17da	covered		artifact_support, combat_support, equipment_protection, protection, self_protection	false		Covered by PRM role audit.	Artifact — Equipment	{2}	2			Equip		already reviewed	https://scryfall.com/card/dde/19/lightning-greaves?utm_source=api	Equipped creature has haste and shroud. (It can't be the target of spells or abilities.) Equip {0}
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	20	Phyrexian Totem	65afedc9-9446-4417-8576-807279061342			animation_effect, burst_ramp, combat_support, ramp, sacrifice_support, stable_ramp				Artifact	{3}	3		B			verify analyzer roles	https://scryfall.com/card/dde/20/phyrexian-totem?utm_source=api	{T}: Add {B}. {2}{B}: This artifact becomes a 5/5 black Phyrexian Horror artifact creature with trample until end of turn. Whenever this permanent is dealt damage, if it's a creature, sacrifice that many permanents.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	21	Phyrexian Vault	b628150b-08a1-4ea3-978d-60255dfb0b7e	covered	card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support	card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support	false		Covered by Mirage role audit.	Artifact	{3}	3					already reviewed	https://scryfall.com/card/dde/21/phyrexian-vault?utm_source=api	{2}, {T}, Sacrifice a creature: Draw a card.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	22	Puppet Strings	eb810d5c-903e-4ab4-874c-e49a686ca367	covered	tap_untap, tempo_support	tap_untap, tempo_support	false		Covered by Tempest role audit.	Artifact	{3}	3					already reviewed	https://scryfall.com/card/dde/22/puppet-strings?utm_source=api	{2}, {T}: You may tap or untap target creature.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	23	Whispersilk Cloak	9ad4f730-a18e-4a7c-a468-a926c718c741			artifact_support, combat_support, equipment_protection, protection, self_protection				Artifact — Equipment	{3}	3			Equip		verify analyzer roles	https://scryfall.com/card/dde/23/whispersilk-cloak?utm_source=api	Equipped creature can't be blocked and has shroud. (It can't be the target of spells or abilities.) Equip {2}
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	24	Worn Powerstone	b166b670-febc-4821-855e-f8d465644c03	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by Media and Collaboration Promos role audit.	Artifact	{3}	3					already reviewed	https://scryfall.com/card/dde/24/worn-powerstone?utm_source=api	This artifact enters tapped. {T}: Add {C}{C}.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	25	Slay	64418e1f-4fb1-4029-a31e-135b2d2c0ab9	covered		card_draw, direct_draw, draw, removal, targeted_removal	false		Covered by PLS role audit.	Instant	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/dde/25/slay?utm_source=api	Destroy target green creature. It can't be regenerated. Draw a card.
dde	Duel Decks: Phyrexia vs. the Coalition	2010-03-19	26	Hideous End	f1eafb69-e7c0-4a22-9e73-6bc32168a7c5			removal, targeted_removal				Instant	{1}{B}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/dde/26/hideous-end?utm_source=api	Destroy target nonblack creature. Its controller loses 2 life.
