setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	1	Elspeth, Knight-Errant	eab0d8b9-c66f-402f-b259-f46f15cefd78			combat_support, self_protection, token_support				Legendary Planeswalker — Elspeth	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ddf/1/elspeth-knight-errant?utm_source=api	+1: Create a 1/1 white Soldier creature token. +1: Target creature gets +3/+3 and gains flying until end of turn. −8: You get an emblem with "Artifacts, creatures, enchantments, and lands you control have indestructible."
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	2	Elite Vanguard	b3b9a87d-cb95-435c-90b6-037406cab32e			combat_body				Creature — Human Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ddf/2/elite-vanguard?utm_source=api	
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	3	Goldmeadow Harrier	546f037b-aea8-4c7a-9b66-373f1be0bac6			combat_body, removal, tempo_removal				Creature — Kithkin Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ddf/3/goldmeadow-harrier?utm_source=api	{W}, {T}: Tap target creature.
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	4	Infantry Veteran	42798e2b-9a5c-4f93-8f77-b7bb7a916d07	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Visions role audit.	Creature — Human Soldier	{W}	1	W	W			already reviewed	https://scryfall.com/card/ddf/4/infantry-veteran?utm_source=api	{T}: Target attacking creature gets +1/+1 until end of turn.
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	5	Loyal Sentry	54b1a496-1f8e-4581-8260-bad57b25c6e3	covered		combat_body	false		Covered by S99 role audit.	Creature — Human Soldier	{W}	1	W	W			already reviewed	https://scryfall.com/card/ddf/5/loyal-sentry?utm_source=api	When this creature blocks a creature, destroy that creature and this creature.
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	6	Mosquito Guard	6beaeec2-b4e9-4904-b817-c0118549d4a9			combat_body, combat_threat, counter_support				Creature — Kithkin Soldier	{W}	1	W	W	First strike, Reinforce		verify analyzer roles	https://scryfall.com/card/ddf/6/mosquito-guard?utm_source=api	First strike Reinforce 1—{1}{W} ({1}{W}, Discard this card: Put a +1/+1 counter on target creature.)
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	7	Glory Seeker	55c60b29-52c5-428c-9229-11ed0e26bd71	covered		combat_body	false		Covered by ONS role audit.	Creature — Human Soldier	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ddf/7/glory-seeker?utm_source=api	
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	8	Kor Skyfisher	054a0193-861e-4644-ab0a-8aa33407abc8	covered		combat_body, combat_threat	false		Covered by PRM role audit.	Creature — Kor Soldier	{1}{W}	2	W	W	Flying		already reviewed	https://scryfall.com/card/ddf/8/kor-skyfisher?utm_source=api	Flying When this creature enters, return a permanent you control to its owner's hand.
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	9	Temple Acolyte	17e4085e-af44-4ba8-af05-ccfe4b35f96a	covered		combat_body, lifegain	false			Creature — Human Cleric	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ddf/9/temple-acolyte?utm_source=api	When this creature enters, you gain 3 life.
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	10	Kor Aeronaut	1adb733c-d18a-4019-9229-0ad701a15b1a			combat_body, combat_support, combat_threat				Creature — Kor Soldier	{W}{W}	2	W	W	Kicker, Flying		verify analyzer roles	https://scryfall.com/card/ddf/10/kor-aeronaut?utm_source=api	Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.) Flying When this creature enters, if it was kicked, target creature gains flying until end of turn.
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	11	Burrenton Bombardier	13ec2390-e08a-4645-99e9-bac7e41917bb			combat_body, combat_threat, counter_support				Creature — Kithkin Soldier	{2}{W}	3	W	W	Flying, Reinforce		verify analyzer roles	https://scryfall.com/card/ddf/11/burrenton-bombardier?utm_source=api	Flying Reinforce 2—{2}{W} ({2}{W}, Discard this card: Put two +1/+1 counters on target creature.)
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	12	Kor Hookmaster	e6941577-8262-42ef-bf32-f6505d90b73a			combat_body, removal, tempo_removal				Creature — Kor Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ddf/12/kor-hookmaster?utm_source=api	When this creature enters, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.
ddf	Duel Decks: Elspeth vs. Tezzeret	2010-09-03	13	Kemba's Skyguard	4c8167af-2eb0-4f0a-a1b9-b61b65bac261			combat_body, combat_threat, lifegain				Creature — Cat Knight	{1}{W}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ddf/13/kembas-skyguard?utm_source=api	Flying When this creature enters, you gain 2 life.
