setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	1	Sorin, Lord of Innistrad	5c780dda-ee76-482a-a610-53c321c4fdec	covered	combat_support, lifegain, targeted_removal, token_support	combat_support, lifegain, targeted_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Sorin	{2}{W}{B}	4	BW	BW			verify analyzer roles	https://scryfall.com/card/ddk/1/sorin-lord-of-innistrad?utm_source=api	+1: Create a 1/1 black Vampire creature token with lifelink. −2: You get an emblem with "Creatures you control get +1/+0." −6: Destroy up to three target creatures and/or other planeswalkers. Return each card put into a graveyard this way to the battlefield under your control.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	2	Doomed Traveler	a30907c0-fbde-4fd3-a8c7-f304305fcea7	covered	combat_body, sacrifice_support, token_support	combat_body, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ddk/2/doomed-traveler?utm_source=api	When this creature dies, create a 1/1 white Spirit creature token with flying.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	3	Vampire Lacerator	dc261758-0982-4b7d-9986-042c03cc8366	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Warrior	{B}	1	B	B			verify analyzer roles	https://scryfall.com/card/ddk/3/vampire-lacerator?utm_source=api	At the beginning of your upkeep, you lose 1 life unless an opponent has 10 or less life.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	4	Wall of Omens	5f601f48-d24b-4883-9fde-b3f620e7c9ea	covered		card_draw, combat_body, direct_draw, draw	false		Covered by PRM role audit.	Creature — Wall	{1}{W}	2	W	W	Defender		already reviewed	https://scryfall.com/card/ddk/4/wall-of-omens?utm_source=api	Defender When this creature enters, draw a card.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	5	Child of Night	c650a7bc-e350-44a0-a698-d4a233d66156	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire	{1}{B}	2	B	B	Lifelink		verify analyzer roles	https://scryfall.com/card/ddk/5/child-of-night?utm_source=api	Lifelink
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	6	Duskhunter Bat	6082f84a-3af2-4007-ab88-7b4b59b5c154	covered	combat_body, combat_threat, counter_support	combat_body, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Bat	{1}{B}	2	B	B	Flying, Bloodthirst		verify analyzer roles	https://scryfall.com/card/ddk/6/duskhunter-bat?utm_source=api	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters with a +1/+1 counter on it.) Flying
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	7	Mesmeric Fiend	fb46b300-8a39-40d2-8bc7-31b90c822e22	covered		combat_body	false		Covered by TOR role audit.	Creature — Nightmare Horror	{1}{B}	2	B	B			already reviewed	https://scryfall.com/card/ddk/7/mesmeric-fiend?utm_source=api	When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card. When this creature leaves the battlefield, return the exiled card to its owner's hand.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	8	Gatekeeper of Malakir	6781f8ae-2a86-4e3d-bc43-48809c9d6c26	covered		combat_body, removal, targeted_removal	false		Covered by PRM role audit.	Creature — Vampire Warrior	{B}{B}	2	B	B	Kicker		already reviewed	https://scryfall.com/card/ddk/8/gatekeeper-of-malakir?utm_source=api	Kicker {B} (You may pay an additional {B} as you cast this spell.) When this creature enters, if it was kicked, target player sacrifices a creature of their choice.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	9	Twilight Drover	b0d60856-80f9-4c64-9768-28a0a690ecb1	covered	combat_body, counter_support, token_support	combat_body, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ddk/9/twilight-drover?utm_source=api	Whenever a creature token leaves the battlefield, put a +1/+1 counter on this creature. {2}{W}, Remove a +1/+1 counter from this creature: Create two 1/1 white Spirit creature tokens with flying.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	10	Bloodrage Vampire	b1b6a840-2dc6-4af3-869a-b3bfe64ff7c0	covered	combat_body, counter_support	combat_body, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire	{2}{B}	3	B	B	Bloodthirst		verify analyzer roles	https://scryfall.com/card/ddk/10/bloodrage-vampire?utm_source=api	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters with a +1/+1 counter on it.)
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	11	Fiend Hunter	cb9d557a-fc06-428c-8be6-7d28add33028	covered	combat_body, targeted_removal	combat_body, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ddk/11/fiend-hunter?utm_source=api	When this creature enters, you may exile another target creature. When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	12	Vampire Nighthawk	feb244f8-bcb1-44cf-9940-2719221a7309	covered		combat_body, combat_threat, lifegain	false		Covered by PRM role audit.	Creature — Vampire Shaman	{1}{B}{B}	3	B	B	Deathtouch, Flying, Lifelink		already reviewed	https://scryfall.com/card/ddk/12/vampire-nighthawk?utm_source=api	Flying Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.) Lifelink (Damage dealt by this creature also causes you to gain that much life.)
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	13	Mausoleum Guard	64f3af46-f8ab-4ba4-9dff-7412cefb4eea	covered	combat_body, sacrifice_support, token_support	combat_body, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Scout	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ddk/13/mausoleum-guard?utm_source=api	When this creature dies, create two 1/1 white Spirit creature tokens with flying.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	14	Phantom General	b800c3e5-4ed9-4603-a987-d830e90cf25e	covered	combat_body, combat_support, token_support	combat_body, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ddk/14/phantom-general?utm_source=api	Creature tokens you control get +1/+1.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	15	Vampire Outcasts	25ad4e88-b5ee-4853-a4fc-0a0420c746f6	covered	combat_body, combat_threat, counter_support, lifegain	combat_body, combat_threat, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire	{2}{B}{B}	4	B	B	Lifelink, Bloodthirst		verify analyzer roles	https://scryfall.com/card/ddk/15/vampire-outcasts?utm_source=api	Bloodthirst 2 (If an opponent was dealt damage this turn, this creature enters with two +1/+1 counters on it.) Lifelink (Damage dealt by this creature also causes you to gain that much life.)
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	16	Revenant Patriarch	942f6260-055e-4cc7-bec6-3a46fd4b048e	covered	broad_protection, combat_body, combat_support, protection	broad_protection, combat_body, combat_support, protection	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{4}{B}	5	B	BW			verify analyzer roles	https://scryfall.com/card/ddk/16/revenant-patriarch?utm_source=api	When this creature enters, if {W} was spent to cast it, target player skips their next combat phase. This creature can't block.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	17	Sengir Vampire	749141aa-f6c4-4ad8-b146-406e68ae9b0b	covered	combat_body, combat_support, combat_threat, counter_support, sacrifice_support	combat_body, combat_support, combat_threat, counter_support, sacrifice_support	false		Covered by BRB role audit.	Creature — Vampire	{3}{B}{B}	5	B	B	Flying		already reviewed	https://scryfall.com/card/ddk/17/sengir-vampire?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	18	Butcher of Malakir	a85197ab-dc94-4b72-9716-8dbdbbe90ff8	covered	combat_body, combat_threat, removal, sacrifice_support, targeted_removal	combat_body, combat_threat, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Warrior	{5}{B}{B}	7	B	B	Flying		verify analyzer roles	https://scryfall.com/card/ddk/18/butcher-of-malakir?utm_source=api	Flying Whenever this creature or another creature you control dies, each opponent sacrifices a creature of their choice.
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	19	Vampire's Bite	9e88796b-f37f-4f9f-9a6f-695db2801f0e	covered	combat_support, lifegain	combat_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Instant	{B}	1	B	B	Kicker		verify analyzer roles	https://scryfall.com/card/ddk/19/vampires-bite?utm_source=api	Kicker {2}{B} (You may pay an additional {2}{B} as you cast this spell.) Target creature gets +3/+0 until end of turn. If this spell was kicked, that creature gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
ddk	Duel Decks: Sorin vs. Tibalt	2013-03-15	20	Decompose	12c2b6bb-05f8-4291-b9a5-c4ddb7a69b9e	covered		graveyard_hate, hate_piece, stax_piece	false		Covered by ODY role audit.	Sorcery	{1}{B}	2	B	B			already reviewed	https://scryfall.com/card/ddk/20/decompose?utm_source=api	Exile up to three target cards from a single graveyard.
