setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	1	Nissa, Voice of Zendikar	b0f36bf7-bdde-4576-9eca-ec02d41326ab	covered		card_draw, counter_support, direct_draw, draw, lifegain, repeatable_advantage, scalable_spell, token_support	false		Covered by PRM role audit.	Legendary Planeswalker — Nissa	{1}{G}{G}	3	G	G			already reviewed	https://scryfall.com/card/ddr/1/nissa-voice-of-zendikar?utm_source=api	+1: Create a 0/1 green Plant creature token. −2: Put a +1/+1 counter on each creature you control. −7: You gain X life and draw X cards, where X is the number of lands you control.
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	2	Abundance	eccc9a54-2b56-4a02-9926-258d5b2e25fb	covered		card_draw, card_selection, draw, replacement_engine, restricted_tutor, selection, tutor	false		Covered by USG role audit.	Enchantment	{2}{G}{G}	4	G	G			already reviewed	https://scryfall.com/card/ddr/2/abundance?utm_source=api	If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	3	Briarhorn	fcc7dd32-2198-446c-9144-e50d56ef53ed			combat_body, combat_support				Creature — Elemental	{3}{G}	4	G	G	Evoke, Flash		verify analyzer roles	https://scryfall.com/card/ddr/3/briarhorn?utm_source=api	Flash When this creature enters, target creature gets +3/+3 until end of turn. Evoke {1}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	4	Citanul Woodreaders	a4555bd2-be42-442a-8ead-3398318e91c5			card_draw, combat_body, direct_draw, draw				Creature — Human Druid	{2}{G}	3	G	G	Kicker		verify analyzer roles	https://scryfall.com/card/ddr/4/citanul-woodreaders?utm_source=api	Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.) When this creature enters, if it was kicked, draw two cards.
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	5	Civic Wayfinder	b9e53414-c21f-4479-b8c1-8b36c3e6e006			combat_body, land_acceleration, land_tutor, mana_fixing, ramp, tutor				Creature — Elf Druid Warrior	{2}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/ddr/5/civic-wayfinder?utm_source=api	When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	6	Cloudthresher	ab0e2aa0-1ddd-4a4c-b7cd-4063caaa8bcd			combat_body, combat_threat, damage_engine, group_slug, mass_removal, removal				Creature — Elemental	{2}{G}{G}{G}{G}	6	G	G	Reach, Evoke, Flash		verify analyzer roles	https://scryfall.com/card/ddr/6/cloudthresher?utm_source=api	Flash Reach When this creature enters, it deals 2 damage to each creature with flying and each player. Evoke {2}{G}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	7	Crop Rotation	28b46183-c62f-47b1-9fee-3ba148202cab	covered	land_acceleration, land_tutor, mana_fixing, ramp, sacrifice_support, tutor	land_acceleration, land_tutor, mana_fixing, ramp, sacrifice_support, tutor	false		Covered by Media and Collaboration Promos role audit.	Instant	{G}	1	G	G			already reviewed	https://scryfall.com/card/ddr/7/crop-rotation?utm_source=api	As an additional cost to cast this spell, sacrifice a land. Search your library for a land card, put that card onto the battlefield, then shuffle.
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	8	Elvish Visionary	c6a3a882-a127-4590-93d7-679ef4313efe	covered		card_draw, combat_body, direct_draw, draw	false		Covered by PRM role audit.	Creature — Elf Shaman	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/ddr/8/elvish-visionary?utm_source=api	When this creature enters, draw a card.
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	9	Fertilid	21f1c6d7-8289-44b2-b88f-c09e202be200			combat_body, counter_support, land_acceleration, land_tutor, mana_fixing, ramp, tutor				Creature — Elemental	{2}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/ddr/9/fertilid?utm_source=api	This creature enters with two +1/+1 counters on it. {1}{G}, Remove a +1/+1 counter from this creature: Target player searches their library for a basic land card, puts it onto the battlefield tapped, then shuffles.
ddr	Duel Decks: Nissa vs. Ob Nixilis	2016-09-02	10	Gaea's Blessing	bd5478df-3854-404b-8634-9debcef69b99	covered	card_draw, direct_draw, draw, library_recursion, recursion	card_draw, direct_draw, draw, graveyard_hate, library_recursion, recursion, topdeck_control	false		Covered by Weatherlight role audit.	Sorcery	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/ddr/10/gaeas-blessing?utm_source=api	Target player shuffles up to three target cards from their graveyard into their library. Draw a card. When this card is put into your graveyard from your library, shuffle your graveyard into your library.
