setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dis	Dissension	2006-05-05	1	Aurora Eidolon	4fc8a155-4eb8-4b86-8ccc-2569630d3bfa			card_selection, combat_body, hand_recursion, protection, repeatable_advantage, sacrifice_support, targeted_protection				Creature — Spirit	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/dis/1/aurora-eidolon?utm_source=api	{W}, Sacrifice this creature: Prevent the next 3 damage that would be dealt to any target this turn. Whenever you cast a multicolored spell, you may return this card from your graveyard to your hand.
dis	Dissension	2006-05-05	2	Azorius Herald	a0476da9-51b1-4cd3-90c4-ad01d0e4c3d6			combat_body, combat_support, lifegain				Creature — Spirit	{2}{W}	3	W	UW			verify analyzer roles	https://scryfall.com/card/dis/2/azorius-herald?utm_source=api	This creature can't be blocked. When this creature enters, you gain 4 life. When this creature enters, sacrifice it unless {U} was spent to cast it.
dis	Dissension	2006-05-05	3	Beacon Hawk	edf7c98a-c2ed-4ba2-ac08-e83db0d968cb			combat_body, combat_support, combat_threat, tap_untap, tempo_support				Creature — Bird	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dis/3/beacon-hawk?utm_source=api	Flying Whenever this creature deals combat damage to a player, you may untap target creature. {W}: This creature gets +0/+1 until end of turn.
dis	Dissension	2006-05-05	4	Blessing of the Nephilim	0904cc0e-e2c9-4a85-89c7-4254fd423bf8			combat_support				Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/dis/4/blessing-of-the-nephilim?utm_source=api	Enchant creature Enchanted creature gets +1/+1 for each of its colors.
dis	Dissension	2006-05-05	5	Brace for Impact	f250fb94-e519-4bfa-921e-eddeeafcf76c			broad_protection, counter_support, protection, targeted_protection				Instant	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/dis/5/brace-for-impact?utm_source=api	Prevent all damage that would be dealt to target multicolored creature this turn. For each 1 damage prevented this way, put a +1/+1 counter on that creature.
dis	Dissension	2006-05-05	6	Carom	05775dea-d7f0-4e0b-af4d-ba8d320dc4c0			card_draw, direct_draw, draw				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dis/6/carom?utm_source=api	The next 1 damage that would be dealt to target creature this turn is dealt to another target creature instead. Draw a card.
dis	Dissension	2006-05-05	7	Celestial Ancient	41797e0c-94bb-42a1-81ed-ed8c6af79e80			combat_body, combat_threat, counter_support				Creature — Elemental	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dis/7/celestial-ancient?utm_source=api	Flying Whenever you cast an enchantment spell, put a +1/+1 counter on each creature you control.
dis	Dissension	2006-05-05	8	Condemn	377d31b5-0a48-4d5b-91bd-b5a62d4f7899	covered		removal, tempo_removal	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/dis/8/condemn?utm_source=api	Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
dis	Dissension	2006-05-05	9	Freewind Equenaut	028335db-58f6-47fe-8c6a-f336d0d91fb1			combat_body, combat_threat, removal, targeted_removal				Creature — Human Archer	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dis/9/freewind-equenaut?utm_source=api	Flying As long as this creature is enchanted, it has "{T}: This creature deals 2 damage to target attacking or blocking creature."
dis	Dissension	2006-05-05	10	Guardian of the Guildpact	20822aa7-5f84-442d-add3-b56167e6eb38			combat_body, self_protection				Creature — Spirit	{3}{W}	4	W	W	Protection		verify analyzer roles	https://scryfall.com/card/dis/10/guardian-of-the-guildpact?utm_source=api	Protection from monocolored
dis	Dissension	2006-05-05	11	Haazda Exonerator	6df2e8c9-d87e-4f0d-a3d3-b8eee5cdafd0			combat_body, sacrifice_support				Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/dis/11/haazda-exonerator?utm_source=api	{T}, Sacrifice this creature: Destroy target Aura.
dis	Dissension	2006-05-05	12	Haazda Shield Mate	49b689a3-9197-4a04-a62f-218b245d6e23			broad_protection, combat_body, protection, sacrifice_support				Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/dis/12/haazda-shield-mate?utm_source=api	At the beginning of your upkeep, sacrifice this creature unless you pay {W}{W}. {W}: The next time a source of your choice would deal damage to you this turn, prevent that damage.
dis	Dissension	2006-05-05	13	Mistral Charger	a084b37a-bfb2-4dde-9faa-4c55ad894300			combat_body, combat_threat				Creature — Pegasus	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dis/13/mistral-charger?utm_source=api	Flying
dis	Dissension	2006-05-05	14	Paladin of Prahv	cd30de8a-87ad-4870-a89f-5745d57ada0a			combat_body, lifegain				Creature — Human Knight	{4}{W}{W}	6	W	W	Forecast		verify analyzer roles	https://scryfall.com/card/dis/14/paladin-of-prahv?utm_source=api	Whenever this creature deals damage, you gain that much life. Forecast — {1}{W}, Reveal this card from your hand: Whenever target creature deals damage this turn, you gain that much life. (Activate only during your upkeep and only once each turn.)
dis	Dissension	2006-05-05	15	Proclamation of Rebirth	e1e5592c-3605-4069-89d0-b462dec83516			battlefield_recursion, card_selection, mass_recursion, recursion				Sorcery	{2}{W}	3	W	W	Forecast		verify analyzer roles	https://scryfall.com/card/dis/15/proclamation-of-rebirth?utm_source=api	Return up to three target creature cards with mana value 1 or less from your graveyard to the battlefield. Forecast — {5}{W}, Reveal this card from your hand: Return target creature card with mana value 1 or less from your graveyard to the battlefield. (Activate only during your upkeep and only once each turn.)
dis	Dissension	2006-05-05	16	Proper Burial	e5bf77c2-a9b2-4366-8412-e263160403c1			lifegain, sacrifice_support				Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/dis/16/proper-burial?utm_source=api	Whenever a creature you control dies, you gain life equal to that creature's toughness.
dis	Dissension	2006-05-05	17	Soulsworn Jury	06424141-2c26-4ee8-83c2-dac62e3d3540			combat_body, combat_support, hard_stack, sacrifice_support, stack				Creature — Spirit	{2}{W}	3	W	UW	Defender		verify analyzer roles	https://scryfall.com/card/dis/17/soulsworn-jury?utm_source=api	Defender (This creature can't attack.) {1}{U}, Sacrifice this creature: Counter target creature spell.
dis	Dissension	2006-05-05	18	Steeling Stance	c454d5af-5617-4ddf-a9be-dd7d154b55ad			combat_support				Instant	{1}{W}{W}	3	W	W	Forecast		verify analyzer roles	https://scryfall.com/card/dis/18/steeling-stance?utm_source=api	Creatures you control get +1/+1 until end of turn. Forecast — {W}, Reveal this card from your hand: Target creature gets +1/+1 until end of turn. (Activate only during your upkeep and only once each turn.)
