setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dka	Dark Ascension	2012-02-03	1	Archangel's Light	fc734a75-93bf-448b-b347-810ae835fe49			library_recursion, lifegain, recursion				Sorcery	{7}{W}	8	W	W			verify analyzer roles	https://scryfall.com/card/dka/1/archangels-light?utm_source=api	You gain 2 life for each card in your graveyard, then shuffle your graveyard into your library.
dka	Dark Ascension	2012-02-03	2	Bar the Door	1ecd7248-ff28-4e12-b72a-0cb279ec7561			combat_support				Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/dka/2/bar-the-door?utm_source=api	Creatures you control get +0/+4 until end of turn.
dka	Dark Ascension	2012-02-03	3	Break of Day	59674589-b174-4150-b8d6-30d25c5ead4c			combat_support, self_protection				Instant	{1}{W}	2	W	W	Fateful hour		verify analyzer roles	https://scryfall.com/card/dka/3/break-of-day?utm_source=api	Creatures you control get +1/+1 until end of turn. Fateful hour — If you have 5 or less life, those creatures gain indestructible until end of turn. (Damage and effects that say "destroy" don't destroy them.)
dka	Dark Ascension	2012-02-03	4	Burden of Guilt	1ae88ba6-4973-45d1-a251-4d924ab4bc73							Enchantment — Aura	{W}	1	W	W	Enchant		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/dka/4/burden-of-guilt?utm_source=api	Enchant creature {1}: Tap enchanted creature.
dka	Dark Ascension	2012-02-03	5	Curse of Exhaustion	6659fae5-09d9-4095-8de3-643afd6ad3be			hate_piece, stax_piece				Enchantment — Aura Curse	{2}{W}{W}	4	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/dka/5/curse-of-exhaustion?utm_source=api	Enchant player Enchanted player can't cast more than one spell each turn.
dka	Dark Ascension	2012-02-03	6	Elgaud Inquisitor	e84164cf-c3bf-45ae-9a0a-9dfeacd36768			combat_body, combat_threat, lifegain, sacrifice_support, token_support				Creature — Human Cleric	{3}{W}	4	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/dka/6/elgaud-inquisitor?utm_source=api	Lifelink (Damage dealt by this creature also causes you to gain that much life.) When this creature dies, create a 1/1 white Spirit creature token with flying.
dka	Dark Ascension	2012-02-03	7	Faith's Shield	dd3cc9e5-b99a-429c-baeb-663a7af70081			broad_protection, protection, self_protection, targeted_protection				Instant	{W}	1	W	W	Fateful hour		verify analyzer roles	https://scryfall.com/card/dka/7/faiths-shield?utm_source=api	Target permanent you control gains protection from the color of your choice until end of turn. Fateful hour — If you have 5 or less life, instead you and each permanent you control gain protection from the color of your choice until end of turn.
dka	Dark Ascension	2012-02-03	8	Gather the Townsfolk	ff45677d-977e-4ef5-859c-52393ed71a6c	covered		token_support	false		Covered by PRM role audit.	Sorcery	{1}{W}	2	W	W	Fateful hour		already reviewed	https://scryfall.com/card/dka/8/gather-the-townsfolk?utm_source=api	Create two 1/1 white Human creature tokens. Fateful hour — If you have 5 or less life, create five of those tokens instead.
dka	Dark Ascension	2012-02-03	9	Gavony Ironwright	99a4f104-c358-442a-8273-6fe94286edb5			combat_body, combat_support				Creature — Human Soldier	{2}{W}	3	W	W	Fateful hour		verify analyzer roles	https://scryfall.com/card/dka/9/gavony-ironwright?utm_source=api	Fateful hour — As long as you have 5 or less life, other creatures you control get +1/+4.
dka	Dark Ascension	2012-02-03	10	Hollowhenge Spirit	b34449d1-eab2-4be1-8351-568dc5ced7c3			combat_body, combat_threat, replacement_engine, tempo_support				Creature — Spirit	{3}{W}	4	W	W	Flying, Flash		verify analyzer roles	https://scryfall.com/card/dka/10/hollowhenge-spirit?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) Flying When this creature enters, remove target attacking or blocking creature from combat.
