setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dom	Dominaria	2018-04-27	1	Karn, Scion of Urza	060209fa-4b7d-4e08-bf8b-8759bba5641b			artifact_support, card_selection, combat_support, counter_support, token_support				Legendary Planeswalker — Karn	{4}	4					verify analyzer roles	https://scryfall.com/card/dom/1/karn-scion-of-urza?utm_source=api	+1: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it. −1: Put a card you own with a silver counter on it from exile into your hand. −2: Create a 0/0 colorless Construct artifact creature token with "This token gets +1/+1 for each artifact you control."
dom	Dominaria	2018-04-27	2	Adamant Will	467e22c3-6107-40ff-afc7-5960710c970b			combat_support, protection, self_protection, targeted_protection				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dom/2/adamant-will?utm_source=api	Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)
dom	Dominaria	2018-04-27	3	Aven Sentry	36a600fe-91b4-46a0-97ee-0cea2b63ec8e			combat_body, combat_threat				Creature — Bird Soldier	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dom/3/aven-sentry?utm_source=api	Flying
dom	Dominaria	2018-04-27	4	Baird, Steward of Argive	69aa6809-5468-413a-94c9-562e6de93957			combat_body, combat_support, combat_threat				Legendary Creature — Human Soldier	{2}{W}{W}	4	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/dom/4/baird-steward-of-argive?utm_source=api	Vigilance Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.
dom	Dominaria	2018-04-27	5	Benalish Honor Guard	0595b074-8f25-469d-9e82-ed60c4a7a2cd			combat_body, combat_support				Creature — Human Knight	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dom/5/benalish-honor-guard?utm_source=api	This creature gets +1/+0 for each legendary creature you control.
dom	Dominaria	2018-04-27	6	Benalish Marshal	2cc439e8-d112-44e6-bc5a-6e99333c519a			combat_body, combat_support				Creature — Human Knight	{W}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/dom/6/benalish-marshal?utm_source=api	Other creatures you control get +1/+1.
dom	Dominaria	2018-04-27	7	Blessed Light	918b3860-e96c-45b5-b0e6-e82cad9f304d			removal, targeted_removal				Instant	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/dom/7/blessed-light?utm_source=api	Exile target creature or enchantment.
dom	Dominaria	2018-04-27	8	Board the Weatherlight	c4ce96d8-3ce4-4ed2-9ad3-73119aa79fbe			card_selection, selection				Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dom/8/board-the-weatherlight?utm_source=api	Look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (Artifacts, legendaries, and Sagas are historic.)
dom	Dominaria	2018-04-27	9	Call the Cavalry	855b168b-e514-4a43-8bbe-7f1df40031ae			token_support				Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/dom/9/call-the-cavalry?utm_source=api	Create two 2/2 white Knight creature tokens with vigilance.
dom	Dominaria	2018-04-27	10	Charge	36b5022d-fa62-46ea-97ab-23c0f60f62a5			combat_support				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/dom/10/charge?utm_source=api	Creatures you control get +1/+1 until end of turn.
dom	Dominaria	2018-04-27	11	D'Avenant Trapper	745d37dd-d18e-47cc-81d0-8e61a07342f2			combat_body, removal, tempo_removal				Creature — Human Archer	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/dom/11/davenant-trapper?utm_source=api	Whenever you cast a historic spell, tap target creature an opponent controls. (Artifacts, legendaries, and Sagas are historic.)
dom	Dominaria	2018-04-27	12	Danitha Capashen, Paragon	4b6377da-83e7-4519-9582-16a9c16b8faa			combat_body, combat_threat, cost_reduction, lifegain, ramp				Legendary Creature — Human Knight	{2}{W}	3	W	W	Lifelink, Vigilance, First strike		verify analyzer roles	https://scryfall.com/card/dom/12/danitha-capashen-paragon?utm_source=api	First strike, vigilance, lifelink Aura and Equipment spells you cast cost {1} less to cast.
dom	Dominaria	2018-04-27	13	Daring Archaeologist	b9d89f7c-a362-48dc-a335-f0e556e83f35			card_selection, combat_body, counter_support, hand_recursion, recursion				Creature — Human Artificer	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/dom/13/daring-archaeologist?utm_source=api	When this creature enters, you may return target artifact card from your graveyard to your hand. Whenever you cast a historic spell, put a +1/+1 counter on this creature. (Artifacts, legendaries, and Sagas are historic.)
dom	Dominaria	2018-04-27	14	Dauntless Bodyguard	70973a2d-66e6-4662-ab10-99678775dda1			combat_body, combat_support, sacrifice_support, self_protection				Creature — Human Knight	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/dom/14/dauntless-bodyguard?utm_source=api	As this creature enters, choose another creature you control. Sacrifice this creature: The chosen creature gains indestructible until end of turn.
dom	Dominaria	2018-04-27	15	Dub	e3ca6b70-01d2-44e9-937a-a2d50bbf9d10			combat_support				Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/dom/15/dub?utm_source=api	Enchant creature Enchanted creature gets +2/+2, has first strike, and is a Knight in addition to its other types. (It deals combat damage before creatures without first strike.)
dom	Dominaria	2018-04-27	16	Evra, Halcyon Witness	cf4b538d-7115-406d-94bf-bfa25197b6ef			combat_body, combat_threat, lifegain				Legendary Creature — Avatar	{4}{W}{W}	6	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/dom/16/evra-halcyon-witness?utm_source=api	Lifelink {4}: Exchange your life total with Evra's power.
dom	Dominaria	2018-04-27	17	Excavation Elephant	45fa04ee-3b5c-45b3-8c09-bda08cca3630			card_selection, combat_body, hand_recursion, recursion				Creature — Elephant	{4}{W}	5	W	W	Kicker		verify analyzer roles	https://scryfall.com/card/dom/17/excavation-elephant?utm_source=api	Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.) When this creature enters, if it was kicked, return target artifact card from your graveyard to your hand.
dom	Dominaria	2018-04-27	18	Fall of the Thran	341803d9-fd29-4721-81bf-ae9b7f1c01d2			hate_piece, land_denial, mass_land_denial, mass_recursion, mass_removal, removal, sacrifice_support, stax_piece				Enchantment — Saga	{5}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/dom/18/fall-of-the-thran?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Destroy all lands. II, III — Each player returns two land cards from their graveyard to the battlefield.
dom	Dominaria	2018-04-27	19	Gideon's Reproach	ec43d67c-2254-4782-8bd4-3318b25907e6			removal, targeted_removal				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dom/19/gideons-reproach?utm_source=api	Gideon's Reproach deals 4 damage to target attacking or blocking creature.
dom	Dominaria	2018-04-27	20	Healing Grace	e3b22777-4d5b-4f6c-a339-24d204bd007e			lifegain, protection, targeted_protection				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/dom/20/healing-grace?utm_source=api	Prevent the next 3 damage that would be dealt to any target this turn by a source of your choice. You gain 3 life.
