setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dpa	Duels of the Planeswalkers	2010-06-04	1	Air Elemental	7744bae4-a8b7-44a5-9b4c-0048ad4cc448	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by 6ED role audit.	Creature — Elemental	{3}{U}{U}	5	U	U	Flying		already reviewed	https://scryfall.com/card/dpa/1/air-elemental?utm_source=api	Flying
dpa	Duels of the Planeswalkers	2010-06-04	2	Boomerang	dc4a4996-108a-4aac-850f-2d9f76403446	covered	removal, tempo_removal	removal, tempo_removal	false		Covered by Legends role audit.	Instant	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/dpa/2/boomerang?utm_source=api	Return target permanent to its owner's hand.
dpa	Duels of the Planeswalkers	2010-06-04	3	Cancel	7d00fb28-ea6c-49a9-b4af-ffb38860a9a7	covered		hard_stack, stack	false		Covered by PRM role audit.	Instant	{1}{U}{U}	3	U	U			already reviewed	https://scryfall.com/card/dpa/3/cancel?utm_source=api	Counter target spell.
dpa	Duels of the Planeswalkers	2010-06-04	4	Cloud Sprite	283433cb-9466-4b40-8af9-30934654d43b	covered		combat_body, combat_support, combat_threat	false		Covered by MMQ role audit.	Creature — Faerie	{U}	1	U	U	Flying		already reviewed	https://scryfall.com/card/dpa/4/cloud-sprite?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) This creature can block only creatures with flying.
dpa	Duels of the Planeswalkers	2010-06-04	5	Counterbore	1198ec53-9050-417d-812f-692e1378d346	covered	hard_stack, stack	hard_stack, stack	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/dpa/5/counterbore?utm_source=api	Counter target spell. Search its controller's graveyard, hand, and library for all cards with the same name as that spell and exile them. Then that player shuffles.
dpa	Duels of the Planeswalkers	2010-06-04	6	Deluge	cd271e61-0135-484f-ae02-5aaca57c1124	covered		combat_support	false		Covered by ODY role audit.	Instant	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/dpa/6/deluge?utm_source=api	Tap all creatures without flying.
dpa	Duels of the Planeswalkers	2010-06-04	7	Denizen of the Deep	fc1bb5b9-5e36-4154-b683-e62f4f66f2b6	covered		combat_body, removal, tempo_removal	false		Covered by S99 role audit.	Creature — Serpent	{6}{U}{U}	8	U	U			already reviewed	https://scryfall.com/card/dpa/7/denizen-of-the-deep?utm_source=api	When this creature enters, return each other creature you control to its owner's hand.
dpa	Duels of the Planeswalkers	2010-06-04	8	Essence Scatter	46665089-aa3d-44c3-964d-6638dfbb5782	covered	hard_stack, stack	hard_stack, stack	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/dpa/8/essence-scatter?utm_source=api	Counter target creature spell.
dpa	Duels of the Planeswalkers	2010-06-04	9	Evacuation	fdd94383-b573-439a-8e1c-925af887c5a6	covered	mass_removal, removal	mass_removal, removal	false		Covered by Stronghold role audit.	Instant	{3}{U}{U}	5	U	U			already reviewed	https://scryfall.com/card/dpa/9/evacuation?utm_source=api	Return all creatures to their owners' hands.
dpa	Duels of the Planeswalkers	2010-06-04	10	Mahamoti Djinn	c39ea5f9-6ec0-4697-897b-779e326754a7	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Covered by BTD role audit.	Creature — Djinn	{4}{U}{U}	6	U	U	Flying		already reviewed	https://scryfall.com/card/dpa/10/mahamoti-djinn?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.)
