setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
drk	The Dark	1994-08-01	1	Angry Mob	967c2c79-7e49-448d-8d30-b2eb08b21d0a	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Covered by The Dark role audit.	Creature — Human	{2}{W}{W}	4	W	W	Trample		verify analyzer roles	https://scryfall.com/card/drk/1/angry-mob?utm_source=api	Trample During your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. During turns other than yours, Angry Mob's power and toughness are each 2.
drk	The Dark	1994-08-01	2	Blood of the Martyr	0e69e6c2-fdc5-4c1a-bd96-c4283b82743a	covered	replacement_engine	replacement_engine	false		Covered by The Dark role audit.	Instant	{W}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/drk/2/blood-of-the-martyr?utm_source=api	Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead.
drk	The Dark	1994-08-01	3	Brainwash	5a81755f-bc44-47ac-8039-8847a5e37922	covered	combat_support	combat_support	false		Covered by The Dark role audit.	Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/drk/3/brainwash?utm_source=api	Enchant creature Enchanted creature can't attack unless its controller pays {3}.
drk	The Dark	1994-08-01	4	Cleansing	46b83657-1699-4162-a4bb-b792da396fe6	covered	hate_piece, land_denial, mana_denial, mass_land_denial, mass_removal, removal, stax_piece	hate_piece, land_denial, mana_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by The Dark role audit.	Sorcery	{W}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/drk/4/cleansing?utm_source=api	For each land, destroy that land unless any player pays 1 life.
drk	The Dark	1994-08-01	5	Dust to Dust	b17eb586-0272-4d02-be75-de06ea044b6f	covered	targeted_removal	targeted_removal	false		Covered by The Dark role audit.	Sorcery	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/drk/5/dust-to-dust?utm_source=api	Exile two target artifacts.
drk	The Dark	1994-08-01	6	Exorcist	2a1ca3e2-e1d1-4525-a07e-13d5ba1ac431	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by The Dark role audit.	Creature — Human Cleric	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/drk/6/exorcist?utm_source=api	{1}{W}, {T}: Destroy target black creature.
drk	The Dark	1994-08-01	7	Fasting	0d787c6b-ab82-42c5-b840-8f3a09af30ac	covered	card_draw, counter_support, direct_draw, draw, hate_piece, lifegain, repeatable_advantage, repeatable_draw, replacement_engine, stax_piece	card_draw, counter_support, direct_draw, draw, hate_piece, lifegain, repeatable_advantage, repeatable_draw, replacement_engine, stax_piece	false		Covered by The Dark role audit.	Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/drk/7/fasting?utm_source=api	At the beginning of your upkeep, put a hunger counter on this enchantment. Then destroy this enchantment if it has five or more hunger counters on it. If you would begin your draw step, you may skip that step instead. If you do, you gain 2 life. When you draw a card, destroy this enchantment.
drk	The Dark	1994-08-01	8	Festival	8e594801-4a8d-4dcd-b328-7eb3de65cf90	covered	combat_support	combat_support	false		Covered by The Dark role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/drk/8/festival?utm_source=api	Cast this spell only during an opponent's upkeep. Creatures can't attack this turn.
drk	The Dark	1994-08-01	9	Fire and Brimstone	b1f857c5-cd22-4a4e-8039-1e7eeb3754d8	covered	targeted_removal	targeted_removal	false		Covered by The Dark role audit.	Instant	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/drk/9/fire-and-brimstone?utm_source=api	Fire and Brimstone deals 4 damage to target player who attacked this turn and 4 damage to you.
drk	The Dark	1994-08-01	10	Holy Light	8f7dd328-b367-4546-ba79-1efc1e97f2ab	covered	mass_removal, removal	mass_removal, removal	false		Covered by The Dark role audit.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/drk/10/holy-light?utm_source=api	Nonwhite creatures get -1/-1 until end of turn.
drk	The Dark	1994-08-01	11	Knights of Thorn	6d8e1a97-67bf-4260-888c-c10c498b98d8	covered	combat_body, combat_support, combat_threat, self_protection	combat_body, combat_support, combat_threat, self_protection	false		Covered by The Dark role audit.	Creature — Human Knight	{3}{W}	4	W	W	Protection, Banding		verify analyzer roles	https://scryfall.com/card/drk/11/knights-of-thorn?utm_source=api	Protection from red; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
drk	The Dark	1994-08-01	12	Martyr's Cry	b636f17d-b54a-4a72-9a5e-ce13e7b4f00a	covered	card_draw, mass_removal, removal	card_draw, mass_removal, removal	false		Covered by The Dark role audit.	Sorcery	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/drk/12/martyrs-cry?utm_source=api	Exile all white creatures. For each creature exiled this way, its controller draws a card.
drk	The Dark	1994-08-01	13	Miracle Worker	86ddbc56-3318-49cf-be95-78772ef87637	covered	combat_body	combat_body	false		Covered by The Dark role audit.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/drk/13/miracle-worker?utm_source=api	{T}: Destroy target Aura attached to a creature you control.
drk	The Dark	1994-08-01	14	Morale	8af9d623-efa3-4cbc-a903-aaec32d78b0a	covered	combat_support	combat_support	false		Covered by The Dark role audit.	Instant	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/drk/14/morale?utm_source=api	Attacking creatures get +1/+1 until end of turn.
drk	The Dark	1994-08-01	15	Pikemen	5556a897-8947-4b78-81ce-a829508a4f11	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Covered by The Dark role audit.	Creature — Human Soldier	{1}{W}	2	W	W	First strike, Banding		verify analyzer roles	https://scryfall.com/card/drk/15/pikemen?utm_source=api	First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
drk	The Dark	1994-08-01	16	Preacher	d5ea9176-30c1-4152-9086-322f39245f46	covered	combat_body, removal, tempo_removal, theft_support	combat_body, removal, tempo_removal, theft_support	false		Covered by The Dark role audit.	Creature — Human Cleric	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/drk/16/preacher?utm_source=api	You may choose not to untap this creature during your untap step. {T}: For as long as this creature remains tapped, gain control of target creature of an opponent's choice they control.
drk	The Dark	1994-08-01	17	Squire	aa6cdcc7-f5ea-47bf-9448-1c63e36b18d1	covered	combat_body	combat_body	false		Covered by The Dark role audit.	Creature — Human Soldier	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/drk/17/squire?utm_source=api	
drk	The Dark	1994-08-01	18	Tivadar's Crusade	5cf4d98e-f2f4-435b-a633-990b2e654f3a	covered	mass_removal, removal	mass_removal, removal	false		Covered by The Dark role audit.	Sorcery	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/drk/18/tivadars-crusade?utm_source=api	Destroy all Goblins.
drk	The Dark	1994-08-01	19	Witch Hunter	5fc1f04a-2c39-4b3a-b62e-6e30c3d8a583	covered	combat_body, removal, targeted_removal, tempo_removal	combat_body, removal, targeted_removal, tempo_removal	false		Covered by The Dark role audit.	Creature — Human Cleric	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/drk/19/witch-hunter?utm_source=api	{T}: This creature deals 1 damage to target player or planeswalker. {1}{W}{W}, {T}: Return target creature an opponent controls to its owner's hand.
drk	The Dark	1994-08-01	20	Amnesia	8345187a-a210-49d7-bdce-10fb2909e050	covered	hand_attack, hand_info, removal	hand_attack, hand_info, removal	false		Covered by The Dark role audit.	Sorcery	{3}{U}{U}{U}	6	U	U			verify analyzer roles	https://scryfall.com/card/drk/20/amnesia?utm_source=api	Target player reveals their hand and discards all nonland cards.
drk	The Dark	1994-08-01	21	Apprentice Wizard	d16d2451-1c21-4a6b-8a4a-40ac8cd9fe08	covered	combat_body, ramp, stable_ramp	combat_body, ramp, stable_ramp	false		Covered by The Dark role audit.	Creature — Human Wizard	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/drk/21/apprentice-wizard?utm_source=api	{U}, {T}: Add {C}{C}{C}.
drk	The Dark	1994-08-01	22	Dance of Many	72e1a239-11a7-4dbe-b093-65d395e3ccc9	covered	copy_support, sacrifice_support, token_support	copy_support, sacrifice_support, token_support	false		Covered by The Dark role audit.	Enchantment	{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/drk/22/dance-of-many?utm_source=api	When this enchantment enters, create a token that's a copy of target nontoken creature. When this enchantment leaves the battlefield, exile the token. When the token leaves the battlefield, sacrifice this enchantment. At the beginning of your upkeep, sacrifice this enchantment unless you pay {U}{U}.
drk	The Dark	1994-08-01	23	Deep Water	cf9ef041-5396-4f18-8233-42d667db0888	covered	mana_fixing, ramp	mana_fixing, ramp	false		Covered by The Dark role audit.	Enchantment	{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/drk/23/deep-water?utm_source=api	{U}: Until end of turn, if you tap a land you control for mana, it produces {U} instead of any other type.
drk	The Dark	1994-08-01	24	Drowned	3da87e58-6a4b-48c3-873c-bc654277d4df	covered	combat_body, protection, regeneration_protection, targeted_protection	combat_body, protection, regeneration_protection, targeted_protection	false		Covered by The Dark role audit.	Creature — Zombie	{1}{U}	2	U	BU			verify analyzer roles	https://scryfall.com/card/drk/24/drowned?utm_source=api	{B}: Regenerate this creature.
