setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dst	Darksteel	2004-02-06	1	Auriok Glaivemaster	77ec26f9-c7de-4bd8-bafb-8b9825891015			combat_body, combat_support				Creature — Human Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/dst/1/auriok-glaivemaster?utm_source=api	As long as this creature is equipped, it gets +1/+1 and has first strike.
dst	Darksteel	2004-02-06	2	Echoing Calm	d0bc217b-1149-4a33-a4a1-29e07597dc41			removal, targeted_removal				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dst/2/echoing-calm?utm_source=api	Destroy target enchantment and all other enchantments with the same name as that enchantment.
dst	Darksteel	2004-02-06	3	Emissary of Hope	62a6dbdb-70fc-43ab-8e63-367a609ecdeb			combat_body, combat_support, combat_threat, lifegain				Creature — Spirit	{1}{W}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dst/3/emissary-of-hope?utm_source=api	Flying Whenever this creature deals combat damage to a player, you gain 1 life for each artifact that player controls.
dst	Darksteel	2004-02-06	4	Hallow	60b6a31f-043e-4de3-ad37-67eec02114f8			broad_protection, lifegain, protection				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/dst/4/hallow?utm_source=api	Prevent all damage target spell would deal this turn. You gain life equal to the damage prevented this way.
dst	Darksteel	2004-02-06	5	Leonin Battlemage	7c0e4731-d384-4f63-a36c-b571d8f79922			combat_body, combat_support				Creature — Cat Wizard	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/dst/5/leonin-battlemage?utm_source=api	{T}: Target creature gets +1/+1 until end of turn. Whenever you cast a spell, you may untap this creature.
dst	Darksteel	2004-02-06	6	Leonin Shikari	857d94f7-113c-45a4-a88a-5d087347d57f			combat_body				Creature — Cat Soldier	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dst/6/leonin-shikari?utm_source=api	You may activate equip abilities any time you could cast an instant.
dst	Darksteel	2004-02-06	7	Loxodon Mystic	f3e22884-a9ca-4479-b400-df1c1d2fd153			combat_body, removal, tempo_removal				Creature — Elephant Cleric	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/dst/7/loxodon-mystic?utm_source=api	{W}, {T}: Tap target creature.
dst	Darksteel	2004-02-06	8	Metal Fatigue	f817352a-908a-4cb5-8e10-feeb770540fc							Instant	{2}{W}	3	W	W			manual review	https://scryfall.com/card/dst/8/metal-fatigue?utm_source=api	Tap all artifacts.
dst	Darksteel	2004-02-06	9	Pristine Angel	275f70e9-a5b8-4eeb-935d-8f4cffc3293b			combat_body, combat_threat, self_protection				Creature — Angel	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dst/9/pristine-angel?utm_source=api	Flying As long as this creature is untapped, it has protection from artifacts and from each color. Whenever you cast a spell, you may untap this creature.
dst	Darksteel	2004-02-06	10	Pteron Ghost	783c48b8-a760-4334-ac70-557af7802f33			combat_body, combat_threat, protection, sacrifice_support, targeted_protection				Creature — Dinosaur Spirit	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dst/10/pteron-ghost?utm_source=api	Flying Sacrifice this creature: Regenerate target artifact.
dst	Darksteel	2004-02-06	11	Pulse of the Fields	fc401c08-514d-43ea-9f57-6c3afe7c2652			lifegain				Instant	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/dst/11/pulse-of-the-fields?utm_source=api	You gain 4 life. Then if an opponent has more life than you, return Pulse of the Fields to its owner's hand.
dst	Darksteel	2004-02-06	12	Purge	d06f0f7c-0270-44be-991a-a5ebbddb0900			removal, targeted_removal				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dst/12/purge?utm_source=api	Destroy target artifact creature or black creature. It can't be regenerated.
dst	Darksteel	2004-02-06	13	Ritual of Restoration	7cfd0320-0b1c-4ef4-8e17-600cbcbddd6f			card_selection, hand_recursion, recursion				Sorcery	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/dst/13/ritual-of-restoration?utm_source=api	Return target artifact card from your graveyard to your hand.
dst	Darksteel	2004-02-06	14	Soulscour	d7644325-8a0f-4f40-bab6-518df7ac1d14			mass_removal, removal				Sorcery	{7}{W}{W}{W}	10	W	W			verify analyzer roles	https://scryfall.com/card/dst/14/soulscour?utm_source=api	Destroy all nonartifact permanents.
dst	Darksteel	2004-02-06	15	Steelshaper Apprentice	bf325b3a-0b28-4660-8b51-4334b59a9034			combat_body, repeatable_tutor, restricted_tutor, tutor				Creature — Human Soldier	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/dst/15/steelshaper-apprentice?utm_source=api	{W}, {T}, Return this creature to its owner's hand: Search your library for an Equipment card, reveal that card, put it into your hand, then shuffle.
dst	Darksteel	2004-02-06	16	Stir the Pride	7e46d2c7-59ae-4b0e-a2ec-d0ac1b68d594			combat_support, lifegain				Instant	{4}{W}	5	W	W	Entwine		verify analyzer roles	https://scryfall.com/card/dst/16/stir-the-pride?utm_source=api	Choose one — • Creatures you control get +2/+2 until end of turn. • Until end of turn, creatures you control gain "Whenever this creature deals damage, you gain that much life." Entwine {1}{W} (Choose both if you pay the entwine cost.)
dst	Darksteel	2004-02-06	17	Test of Faith	3397aa3d-bf73-4ca3-a806-059361603079			counter_support, protection, targeted_protection				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dst/17/test-of-faith?utm_source=api	Prevent the next 3 damage that would be dealt to target creature this turn. For each 1 damage prevented this way, put a +1/+1 counter on that creature.
dst	Darksteel	2004-02-06	18	Turn the Tables	bd5ad7c3-4477-4278-9875-d2ffbb0e8089			combat_support				Instant	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/dst/18/turn-the-tables?utm_source=api	All combat damage that would be dealt to you this turn is dealt to target attacking creature instead.
dst	Darksteel	2004-02-06	19	Carry Away	913b57de-f921-40ea-9124-0da35a269181							Enchantment — Aura	{U}{U}	2	U	U	Enchant		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/dst/19/carry-away?utm_source=api	Enchant Equipment When this Aura enters, unattach enchanted Equipment. You control enchanted Equipment.
dst	Darksteel	2004-02-06	20	Chromescale Drake	534eb5bd-1eb0-4a12-8e98-e964495aa7e9			artifact_support, card_selection, combat_body, combat_threat				Creature — Drake	{6}{U}{U}{U}	9	U	U	Flying, Affinity		verify analyzer roles	https://scryfall.com/card/dst/20/chromescale-drake?utm_source=api	Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) Flying When this creature enters, reveal the top three cards of your library. Put all artifact cards revealed this way into your hand and the rest into your graveyard.
dst	Darksteel	2004-02-06	21	Echoing Truth	ef100544-3e6d-4661-a1d1-8b02e58c059c			removal, tempo_removal				Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/dst/21/echoing-truth?utm_source=api	Return target nonland permanent and all other permanents with the same name as that permanent to their owners' hands.
dst	Darksteel	2004-02-06	22	Hoverguard Observer	5ca8d756-a55a-4b36-b0a6-562a39484952			combat_body, combat_threat				Creature — Drone	{2}{U}{U}	4	U	U	Flying		verify analyzer roles	https://scryfall.com/card/dst/22/hoverguard-observer?utm_source=api	Flying This creature can block only creatures with flying.
dst	Darksteel	2004-02-06	23	Last Word	33d6a17a-0112-4d4f-a24a-0769360408a8			hard_stack, stack				Instant	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/dst/23/last-word?utm_source=api	This spell can't be countered. Counter target spell.
dst	Darksteel	2004-02-06	24	Machinate	545399a0-f1f5-40bc-bd40-038946df8ad7			artifact_support, card_selection, scalable_spell				Instant	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/dst/24/machinate?utm_source=api	Look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the bottom of your library in any order.
dst	Darksteel	2004-02-06	25	Magnetic Flux	d50f756d-9ab6-4597-86ae-80beb70879ac			combat_support				Instant	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/dst/25/magnetic-flux?utm_source=api	Artifact creatures you control gain flying until end of turn.
dst	Darksteel	2004-02-06	26	Neurok Prodigy	910860ce-d617-48c1-b44d-b1d95cdd006f			combat_body, combat_threat				Creature — Human Wizard	{2}{U}	3	U	U	Flying		verify analyzer roles	https://scryfall.com/card/dst/26/neurok-prodigy?utm_source=api	Flying Discard an artifact card: Return this creature to its owner's hand.
dst	Darksteel	2004-02-06	27	Neurok Transmuter	08a64b22-49da-415e-98ce-e1a61d3dfff3			combat_body				Creature — Human Wizard	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/dst/27/neurok-transmuter?utm_source=api	{U}: Target creature becomes an artifact in addition to its other types until end of turn. {U}: Until end of turn, target artifact creature becomes blue and isn't an artifact.
dst	Darksteel	2004-02-06	28	Psychic Overload	c50354fc-7dfe-4ea7-87dd-488ca6213344							Enchantment — Aura	{3}{U}	4	U	U	Enchant		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/dst/28/psychic-overload?utm_source=api	Enchant permanent When this Aura enters, tap enchanted permanent. Enchanted permanent doesn't untap during its controller's untap step. Enchanted permanent has "Discard two artifact cards: Untap this permanent."
dst	Darksteel	2004-02-06	29	Pulse of the Grid	73ea32e4-72c5-42ee-8ed5-21dee83d7eec			card_draw, card_selection, direct_draw, draw, selection				Instant	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/dst/29/pulse-of-the-grid?utm_source=api	Draw two cards, then discard a card. Then if an opponent has more cards in hand than you, return Pulse of the Grid to its owner's hand.
dst	Darksteel	2004-02-06	30	Quicksilver Behemoth	799f31fc-3b6f-419a-8e70-b41c8e97f000			artifact_support, combat_body, combat_support				Creature — Beast	{6}{U}	7	U	U	Affinity		verify analyzer roles	https://scryfall.com/card/dst/30/quicksilver-behemoth?utm_source=api	Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) When this creature attacks or blocks, return it to its owner's hand at end of combat. (Return it only if it's on the battlefield.)
dst	Darksteel	2004-02-06	31	Reshape	42a3855d-25ab-45b3-9e5d-9a0f3da35a05			cheat_into_play, cost_reduction, mana_sink, restricted_tutor, sacrifice_support, scalable_spell, tutor				Sorcery	{X}{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/dst/31/reshape?utm_source=api	As an additional cost to cast this spell, sacrifice an artifact. Search your library for an artifact card with mana value X or less, put it onto the battlefield, then shuffle.
dst	Darksteel	2004-02-06	32	Retract	31cefc9d-cc13-4b32-a1f8-edbcaf35aa3b			artifact_support, mass_removal, removal				Instant	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/dst/32/retract?utm_source=api	Return all artifacts you control to their owner's hand.
dst	Darksteel	2004-02-06	33	Second Sight	1a4e948a-5a5e-4811-a6af-7ea93a051746			card_selection, selection, topdeck_control				Instant	{2}{U}	3	U	U	Entwine		verify analyzer roles	https://scryfall.com/card/dst/33/second-sight?utm_source=api	Choose one — • Look at the top five cards of target opponent's library, then put them back in any order. • Look at the top five cards of your library, then put them back in any order. Entwine {U} (Choose both if you pay the entwine cost.)
dst	Darksteel	2004-02-06	34	Synod Artificer	b93383ea-0206-43c4-908e-f424ef4523c3			combat_body				Creature — Vedalken Artificer	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/dst/34/synod-artificer?utm_source=api	{X}, {T}: Tap X target noncreature artifacts. {X}, {T}: Untap X target noncreature artifacts.
