setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
e02	Explorers of Ixalan	2017-11-24	1	Beacon of Immortality	bfcdf563-c6e5-4a54-bb63-4aba219b94e2	covered	multiplier_support, replacement_engine	multiplier_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Instant	{5}{W}	6	W	W	Double		verify analyzer roles	https://scryfall.com/card/e02/1/beacon-of-immortality?utm_source=api	Double target player's life total. Shuffle Beacon of Immortality into its owner's library.
e02	Explorers of Ixalan	2017-11-24	T1	Saproling	2b7dba01-b08c-4218-9fc1-da55559d9155	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Saproling		0	G	G			already reviewed	https://scryfall.com/card/e02/T1/saproling?utm_source=api	
e02	Explorers of Ixalan	2017-11-24	2	Day of Judgment	d057289d-5e28-43d5-8ff3-4a1bc723477d	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/e02/2/day-of-judgment?utm_source=api	Destroy all creatures.
e02	Explorers of Ixalan	2017-11-24	3	Path to Exile	d683d985-9888-4d21-8b5f-69e69ce4a03b	covered		land_acceleration, land_tutor, mana_fixing, ramp, removal, targeted_removal, tutor	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/e02/3/path-to-exile?utm_source=api	Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.
e02	Explorers of Ixalan	2017-11-24	4	Shielded by Faith	79085dea-8daa-41c0-a975-61e3e6da2e26	covered		combat_support, self_protection, targeted_protection	false		Covered by PRM role audit.	Enchantment — Aura	{1}{W}{W}	3	W	W	Enchant		already reviewed	https://scryfall.com/card/e02/4/shielded-by-faith?utm_source=api	Enchant creature Enchanted creature has indestructible. Whenever a creature enters, you may attach this Aura to that creature.
e02	Explorers of Ixalan	2017-11-24	5	Veteran's Reflexes	efee0ca0-0897-4972-99c4-432561b6e9f8	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/e02/5/veterans-reflexes?utm_source=api	Target creature gets +1/+1 until end of turn. Untap that creature.
e02	Explorers of Ixalan	2017-11-24	6	Vow of Duty	1e7bddbd-e448-4aea-9d18-b44bd45837c5	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/e02/6/vow-of-duty?utm_source=api	Enchant creature Enchanted creature gets +2/+2, has vigilance, and can't attack you or planeswalkers you control.
e02	Explorers of Ixalan	2017-11-24	7	Aether Gale	b21d6482-1b3a-47e6-98a5-3067f5f3818b	covered	removal, tempo_removal	removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/e02/7/aether-gale?utm_source=api	Return six target nonland permanents to their owners' hands.
e02	Explorers of Ixalan	2017-11-24	8	Blatant Thievery	8bb51dd2-cc62-48ea-ae8e-52351073a8c9	covered		removal, tempo_removal, theft_support	false		Covered by ONS role audit.	Sorcery	{4}{U}{U}{U}	7	U	U			already reviewed	https://scryfall.com/card/e02/8/blatant-thievery?utm_source=api	For each opponent, gain control of target permanent that player controls.
e02	Explorers of Ixalan	2017-11-24	9	Concentrate	a3d287ec-1a39-4f91-acf1-7c1d2c00ed89	covered		card_draw, direct_draw, draw	false		Covered by ODY role audit.	Sorcery	{2}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/e02/9/concentrate?utm_source=api	Draw three cards.
e02	Explorers of Ixalan	2017-11-24	10	Merfolk Sovereign	16aba9af-7a12-4c3d-87eb-06278921cb7c	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Merfolk Noble	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/e02/10/merfolk-sovereign?utm_source=api	Other Merfolk creatures you control get +1/+1. {T}: Target Merfolk creature can't be blocked this turn.
e02	Explorers of Ixalan	2017-11-24	11	Threads of Disloyalty	9d86735c-12e5-457a-beb4-057ab220d18b	covered		removal, tempo_removal, theft_support	false		Covered by PRM role audit.	Enchantment — Aura	{1}{U}{U}	3	U	U	Enchant		already reviewed	https://scryfall.com/card/e02/11/threads-of-disloyalty?utm_source=api	Enchant creature with mana value 2 or less You control enchanted creature.
e02	Explorers of Ixalan	2017-11-24	12	Time Warp	dbd6a94b-62ff-4a10-9d52-bdd90b26e425	covered	extra_turn, finisher	extra_turn, finisher	false		Covered by Tempest role audit.	Sorcery	{3}{U}{U}	5	U	U			already reviewed	https://scryfall.com/card/e02/12/time-warp?utm_source=api	Target player takes an extra turn after this one.
e02	Explorers of Ixalan	2017-11-24	13	Unsummon	837182db-1bf3-4a2c-bd01-1af9d9873561	covered	removal, tempo_removal	removal, tempo_removal	false		Covered by 6ED role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/e02/13/unsummon?utm_source=api	Return target creature to its owner's hand.
e02	Explorers of Ixalan	2017-11-24	14	Vow of Flight	81fe554a-5257-446c-ad53-ee45bf5edb40	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{2}{U}	3	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/e02/14/vow-of-flight?utm_source=api	Enchant creature Enchanted creature gets +2/+2, has flying, and can't attack you or planeswalkers you control.
e02	Explorers of Ixalan	2017-11-24	15	Bloodbond Vampire	a2057118-9fd1-431d-9441-fef198d67ff2	covered	combat_body, counter_support, lifegain	combat_body, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire Shaman Ally	{2}{B}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/e02/15/bloodbond-vampire?utm_source=api	Whenever you gain life, put a +1/+1 counter on this creature.
e02	Explorers of Ixalan	2017-11-24	16	Child of Night	c650a7bc-e350-44a0-a698-d4a233d66156	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire	{1}{B}	2	B	B	Lifelink		verify analyzer roles	https://scryfall.com/card/e02/16/child-of-night?utm_source=api	Lifelink
e02	Explorers of Ixalan	2017-11-24	17	Coat with Venom	cbc808dd-8d50-4f42-b0f1-d4e45d0462a2	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Instant	{B}	1	B	B			verify analyzer roles	https://scryfall.com/card/e02/17/coat-with-venom?utm_source=api	Target creature gets +1/+2 and gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)
e02	Explorers of Ixalan	2017-11-24	18	Doom Blade	59e7f2ae-4535-4191-98be-3e65b6b2befa	covered		removal, targeted_removal	false		Covered by PRM role audit.	Instant	{1}{B}	2	B	B			already reviewed	https://scryfall.com/card/e02/18/doom-blade?utm_source=api	Destroy target nonblack creature.
e02	Explorers of Ixalan	2017-11-24	19	Innocent Blood	6791ec3c-c397-4087-8c8c-84d3797df415	covered		removal, targeted_removal	false		Covered by ODY role audit.	Sorcery	{B}	1	B	B			already reviewed	https://scryfall.com/card/e02/19/innocent-blood?utm_source=api	Each player sacrifices a creature of their choice.
e02	Explorers of Ixalan	2017-11-24	20	Necropolis Regent	33c3a6be-8cae-4de8-9d9b-43216d727e93	covered	combat_body, combat_support, combat_threat, counter_support	combat_body, combat_support, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire	{3}{B}{B}{B}	6	B	B	Flying		verify analyzer roles	https://scryfall.com/card/e02/20/necropolis-regent?utm_source=api	Flying Whenever a creature you control deals combat damage to a player, put that many +1/+1 counters on it.
