setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ea2	Explorer Anthology 2	2022-12-13	1	Kozilek, the Great Distortion	4c1c1537-e519-4e2f-9bc2-d34b289d4487	covered		card_draw, combat_body, combat_threat, direct_draw, draw, hard_stack, stack	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{8}{C}{C}	10			Menace		already reviewed	https://scryfall.com/card/ea2/1/kozilek-the-great-distortion?utm_source=api	When you cast this spell, if you have fewer than seven cards in hand, draw cards equal to the difference. Menace Discard a card with mana value X: Counter target spell with mana value X.
ea2	Explorer Anthology 2	2022-12-13	2	Matter Reshaper	38538aff-b6f9-4c30-992e-7fd78da3c44a	covered	card_selection, combat_body, sacrifice_support	card_selection, combat_body, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{2}{C}	3					verify analyzer roles	https://scryfall.com/card/ea2/2/matter-reshaper?utm_source=api	({C} represents colorless mana.) When this creature dies, reveal the top card of your library. You may put that card onto the battlefield if it's a permanent card with mana value 3 or less. Otherwise, put that card into your hand.
ea2	Explorer Anthology 2	2022-12-13	3	Thought-Knot Seer	cef7396d-2168-4282-bf38-670ca9eebd91	covered	card_draw, combat_body, hand_attack, removal	card_draw, combat_body, hand_attack, removal	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{3}{C}	4					verify analyzer roles	https://scryfall.com/card/ea2/3/thought-knot-seer?utm_source=api	({C} represents colorless mana.) When this creature enters, target opponent reveals their hand. You choose a nonland card from it and exile that card. When this creature leaves the battlefield, target opponent draws a card.
ea2	Explorer Anthology 2	2022-12-13	4	Brave the Elements	9d73a51a-1c8e-40cd-8124-aeff406a0884	covered		broad_protection, protection, self_protection	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/ea2/4/brave-the-elements?utm_source=api	Choose a color. White creatures you control gain protection from the chosen color until end of turn.
ea2	Explorer Anthology 2	2022-12-13	5	Eerie Interlude	0634091a-a74c-4cea-b6d1-7324a725554a	covered	flicker, protection, rescue_protection	flicker, protection, rescue_protection	false		Covered by batch analyzer expansion for remaining role audit cases.	Instant	{2}{W}	3	W	W			manual review	https://scryfall.com/card/ea2/5/eerie-interlude?utm_source=api	Exile any number of target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.
ea2	Explorer Anthology 2	2022-12-13	6	Eldrazi Displacer	9b1f552a-bddc-4fcb-ac67-b4a65b2f48ba	covered	combat_body, flicker	combat_body, flicker	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{2}{W}	3		W	Devoid		verify analyzer roles	https://scryfall.com/card/ea2/6/eldrazi-displacer?utm_source=api	Devoid (This card has no color.) {2}{C}: Exile another target creature, then return it to the battlefield tapped under its owner's control. ({C} represents colorless mana.)
ea2	Explorer Anthology 2	2022-12-13	7	Ethereal Armor	dbba75f5-2404-4bd5-982b-f6c4effa5316	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/ea2/7/ethereal-armor?utm_source=api	Enchant creature Enchanted creature gets +1/+1 for each enchantment you control and has first strike.
ea2	Explorer Anthology 2	2022-12-13	8	Soldier of the Pantheon	a97f3131-586b-440f-a646-50d65e12e13f	covered	combat_body, lifegain, self_protection	combat_body, lifegain, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W	Protection		verify analyzer roles	https://scryfall.com/card/ea2/8/soldier-of-the-pantheon?utm_source=api	Protection from multicolored Whenever an opponent casts a multicolored spell, you gain 1 life.
ea2	Explorer Anthology 2	2022-12-13	9	Clever Impersonator	d4ec0df9-a4a3-48cf-a0aa-b1aea5c49142	covered	combat_body, copy_support	combat_body, copy_support	false		Analyzer roles accepted during batch clean pass.	Creature — Shapeshifter	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/ea2/9/clever-impersonator?utm_source=api	You may have this creature enter as a copy of any nonland permanent on the battlefield.
ea2	Explorer Anthology 2	2022-12-13	10	Dispel	6d7be242-a072-40ce-b540-95880506cccd	covered	hard_stack, stack	hard_stack, stack	false		Analyzer roles accepted during batch clean pass.	Instant	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/ea2/10/dispel?utm_source=api	Counter target instant spell.
ea2	Explorer Anthology 2	2022-12-13	11	Zulaport Cutthroat	76b003e0-15af-4f22-bdf2-1ade5430964a	covered	combat_body, direct_finisher, finisher, lifegain, repeatable_finisher, sacrifice_support	combat_body, direct_finisher, finisher, lifegain, repeatable_finisher, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Rogue Ally	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/ea2/11/zulaport-cutthroat?utm_source=api	Whenever this creature or another creature you control dies, each opponent loses 1 life and you gain 1 life.
ea2	Explorer Anthology 2	2022-12-13	12	Eidolon of the Great Revel	2fd7018e-1c36-4d7f-8f72-22f2f7f60c60	covered	combat_body, damage_engine, group_slug	combat_body, damage_engine, group_slug	false		Analyzer roles accepted during batch clean pass.	Enchantment Creature — Spirit	{R}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/ea2/12/eidolon-of-the-great-revel?utm_source=api	Whenever a player casts a spell with mana value 3 or less, this creature deals 2 damage to that player.
ea2	Explorer Anthology 2	2022-12-13	13	Fiery Impulse	27c84ad1-1491-459b-bf8a-0146062084dc	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{R}	1	R	R	Spell mastery		verify analyzer roles	https://scryfall.com/card/ea2/13/fiery-impulse?utm_source=api	Fiery Impulse deals 2 damage to target creature. Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, Fiery Impulse deals 3 damage instead.
ea2	Explorer Anthology 2	2022-12-13	14	Rending Volley	0324941f-484c-4656-8d1c-66e919c2bc7c	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{R}	1	R	R			verify analyzer roles	https://scryfall.com/card/ea2/14/rending-volley?utm_source=api	This spell can't be countered. Rending Volley deals 4 damage to target white or blue creature.
ea2	Explorer Anthology 2	2022-12-13	15	Courser of Kruphix	46779609-4fa7-4fd2-b5b4-7d4d749339e6	covered		card_selection, combat_body, lifegain, repeatable_advantage, repeatable_draw, selection	false		Covered by PRM role audit.	Enchantment Creature — Centaur	{1}{G}{G}	3	G	G	Landfall		already reviewed	https://scryfall.com/card/ea2/15/courser-of-kruphix?utm_source=api	Play with the top card of your library revealed. You may play lands from the top of your library. Landfall — Whenever a land you control enters, you gain 1 life.
ea2	Explorer Anthology 2	2022-12-13	16	Nylea's Presence	93fe5eed-520f-467a-8e27-6f40eaa727e8	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{G}	2	G	G	Enchant		verify analyzer roles	https://scryfall.com/card/ea2/16/nyleas-presence?utm_source=api	Enchant land When this Aura enters, draw a card. Enchanted land is every basic land type in addition to its other types.
ea2	Explorer Anthology 2	2022-12-13	17	Satyr Wayfinder	ead4c01a-e2ae-49c9-95d9-651d81005907	covered	card_selection, combat_body, draw, restricted_tutor, selection, tutor	card_selection, combat_body, draw, restricted_tutor, selection, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Satyr	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/ea2/17/satyr-wayfinder?utm_source=api	When this creature enters, reveal the top four cards of your library. You may put a land card from among them into your hand. Put the rest into your graveyard.
ea2	Explorer Anthology 2	2022-12-13	18	World Breaker	deeb7e22-b207-42de-b9d4-f790403d52a9	covered	card_selection, combat_body, combat_threat, hand_recursion, removal, repeatable_advantage, sacrifice_support, targeted_removal	card_selection, combat_body, combat_threat, hand_recursion, removal, repeatable_advantage, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{6}{G}	7		G	Reach, Devoid		verify analyzer roles	https://scryfall.com/card/ea2/18/world-breaker?utm_source=api	Devoid (This card has no color.) When you cast this spell, exile target artifact, enchantment, or land. Reach {2}{C}, Sacrifice a land: Return this card from your graveyard to your hand. ({C} represents colorless mana.)
ea2	Explorer Anthology 2	2022-12-13	19	Reflector Mage	5398362d-c45e-4d56-a622-8be1124730b9	covered	combat_body, hate_piece, removal, stax_piece, tempo_removal	combat_body, hate_piece, removal, stax_piece, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Wizard	{1}{W}{U}	3	UW	UW			verify analyzer roles	https://scryfall.com/card/ea2/19/reflector-mage?utm_source=api	When this creature enters, return target creature an opponent controls to its owner's hand. That creature's owner can't cast spells with the same name as that creature until your next turn.
ea2	Explorer Anthology 2	2022-12-13	20	Shaman of the Pack	39c7d2cc-4fd1-4f1a-be1a-a6ae56d2356d	covered	combat_body, direct_finisher, finisher	combat_body, direct_finisher, finisher	false		Analyzer roles accepted during batch clean pass.	Creature — Elf Shaman	{1}{B}{G}	3	BG	BG			verify analyzer roles	https://scryfall.com/card/ea2/20/shaman-of-the-pack?utm_source=api	When this creature enters, target opponent loses life equal to the number of Elves you control.
ea2	Explorer Anthology 2	2022-12-13	21	Sliver Hivelord	e4fe33e7-b952-4152-8c83-81d948756d2f	covered	broad_protection, combat_body, combat_support, self_protection	broad_protection, combat_body, combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Sliver	{W}{U}{B}{R}{G}	5	BGRUW	BGRUW			verify analyzer roles	https://scryfall.com/card/ea2/21/sliver-hivelord?utm_source=api	Sliver creatures you control have indestructible. (Damage and effects that say "destroy" don't destroy them.)
ea2	Explorer Anthology 2	2022-12-13	22	Mana Confluence	d0ee5bdc-2b69-4b73-9a20-ffcc18783b29	covered		land_base, land_slot	false		Covered by PRM role audit.	Land		0					already reviewed	https://scryfall.com/card/ea2/22/mana-confluence?utm_source=api	{T}, Pay 1 life: Add one mana of any color.
ea2	Explorer Anthology 2	2022-12-13	23	Mutavault	6b3cc59a-7ea5-4eb5-9bf9-5a9c07f80e2b	covered		burst_ramp, land_base, land_slot, mana_source, ramp	false		Covered by PRM role audit.	Land		0					already reviewed	https://scryfall.com/card/ea2/23/mutavault?utm_source=api	{T}: Add {C}. {1}: This land becomes a 2/2 creature with all creature types until end of turn. It's still a land.
ea2	Explorer Anthology 2	2022-12-13	24	Nykthos, Shrine to Nyx	84dc18f0-8225-4b40-a165-b10321e41769	covered	land_base, land_slot, mana_source	land_base, land_slot, mana_source	false		Analyzer roles accepted during batch clean pass.	Legendary Land		0					verify analyzer roles	https://scryfall.com/card/ea2/24/nykthos-shrine-to-nyx?utm_source=api	{T}: Add {C}. {2}, {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)
ea2	Explorer Anthology 2	2022-12-13	25	Wastes	05d24b0c-904a-46b6-b42a-96a4d91a0dd4	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Analyzer roles accepted during batch clean pass.	Basic Land		0					verify analyzer roles	https://scryfall.com/card/ea2/25/wastes?utm_source=api	{T}: Add {C}.
