setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
eoe	Edge of Eternities	2025-08-01	1	Anticausal Vestige	aceea999-90ab-472c-86a7-48af1542cbcf	covered	card_draw, card_selection, combat_body, cost_reduction, direct_draw, draw, ramp, repeatable_advantage	card_draw, card_selection, combat_body, cost_reduction, direct_draw, draw, ramp, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{6}	6			Warp		verify analyzer roles	https://scryfall.com/card/eoe/1/anticausal-vestige?utm_source=api	When this creature leaves the battlefield, draw a card, then you may put a permanent card with mana value less than or equal to the number of lands you control from your hand onto the battlefield tapped. Warp {4} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)
eoe	Edge of Eternities	2025-08-01	2	Tezzeret, Cruel Captain	0eb11b2d-a397-48da-a0f3-9f0f83f42282	covered	artifact_support, counter_support, restricted_tutor, tap_untap, tempo_support, tutor	artifact_support, counter_support, restricted_tutor, tap_untap, tempo_support, tutor	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Tezzeret	{3}	3					verify analyzer roles	https://scryfall.com/card/eoe/2/tezzeret-cruel-captain?utm_source=api	Whenever an artifact you control enters, put a loyalty counter on Tezzeret. 0: Untap target artifact or creature. If it's an artifact creature, put a +1/+1 counter on it. −3: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle. −7: You get an emblem with "At the beginning of combat on your turn, put three +1/+1 counters on target artifact you control. If it's not a creature, it becomes a 0/0 Robot artifact creature."
eoe	Edge of Eternities	2025-08-01	3	All-Fates Stalker	da9ec010-8b42-4927-b602-4e96bced4e99	covered	card_selection, combat_body, removal, repeatable_advantage, targeted_removal	card_selection, combat_body, removal, repeatable_advantage, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Drix Assassin	{3}{W}	4	W	W	Warp		verify analyzer roles	https://scryfall.com/card/eoe/3/all-fates-stalker?utm_source=api	When this creature enters, exile up to one target non-Assassin creature until this creature leaves the battlefield. Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)
eoe	Edge of Eternities	2025-08-01	4	Astelli Reclaimer	bb956492-e3ed-483a-9169-5b795a8e619e	covered	battlefield_recursion, card_selection, combat_body, combat_threat, recursion, scalable_spell	battlefield_recursion, card_selection, combat_body, combat_threat, recursion, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Creature — Angel Warrior	{3}{W}{W}	5	W	W	Flying, Warp		verify analyzer roles	https://scryfall.com/card/eoe/4/astelli-reclaimer?utm_source=api	Flying When this creature enters, return target noncreature, nonland permanent card with mana value X or less from your graveyard to the battlefield, where X is the amount of mana spent to cast this creature. Warp {2}{W}
eoe	Edge of Eternities	2025-08-01	5	Auxiliary Boosters	ffa3b20b-d77b-43d5-86ac-6a591df1877f	covered	artifact_support, combat_support, token_support	artifact_support, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{4}{W}	5	W	W	Equip		verify analyzer roles	https://scryfall.com/card/eoe/5/auxiliary-boosters?utm_source=api	When this Equipment enters, create a 2/2 colorless Robot artifact creature token and attach this Equipment to it. Equipped creature gets +1/+2 and has flying. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
eoe	Edge of Eternities	2025-08-01	6	Banishing Light	f28b21a6-f7ce-437a-8c5b-0423cb55cefb	covered		removal, targeted_removal	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/eoe/6/banishing-light?utm_source=api	When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
eoe	Edge of Eternities	2025-08-01	7	Beyond the Quiet	c96424e7-63c4-4f07-959f-6ad09f91279a	covered	mass_removal, removal	mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/eoe/7/beyond-the-quiet?utm_source=api	Exile all creatures and Spacecraft.
eoe	Edge of Eternities	2025-08-01	8	Brightspear Zealot	31a0c9a2-c9bd-47f7-872b-a43fb64d873c	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{2}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/eoe/8/brightspear-zealot?utm_source=api	Vigilance This creature gets +2/+0 as long as you've cast two or more spells this turn.
eoe	Edge of Eternities	2025-08-01	9	Cosmogrand Zenith	e2cd65f6-7cbc-497c-bdc9-698ff17da31e	covered	combat_body, counter_support, token_support	combat_body, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/eoe/9/cosmogrand-zenith?utm_source=api	Whenever you cast your second spell each turn, choose one — • Create two 1/1 white Human Soldier creature tokens. • Put a +1/+1 counter on each creature you control.
eoe	Edge of Eternities	2025-08-01	10	Dawnstrike Vanguard	69892dc7-4087-447c-a41c-99cf3d5c0c12	covered	combat_body, combat_threat, counter_support, lifegain	combat_body, combat_threat, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{5}{W}	6	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/eoe/10/dawnstrike-vanguard?utm_source=api	Lifelink At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on each creature you control other than this creature.
