setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	1	Ambush Commander	e75b2a97-b28d-43fe-8b1e-ba87a09f339c	covered		combat_body, combat_support, sacrifice_support	false		Covered by SCG role audit.	Creature — Elf	{3}{G}{G}	5	G	G			already reviewed	https://scryfall.com/card/evg/1/ambush-commander?utm_source=api	Forests you control are 1/1 green Elf creatures that are still lands. {1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	2	Allosaurus Rider	176508ba-c107-4694-8dd7-ea34fca3b299	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Elf Warrior	{5}{G}{G}	7	G	G			already reviewed	https://scryfall.com/card/evg/2/allosaurus-rider?utm_source=api	You may exile two green cards from your hand rather than pay this spell's mana cost. Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	3	Elvish Eulogist	21017dc0-9b79-48b8-8eae-561abfad31d5	covered	combat_body, lifegain, sacrifice_support	combat_body, lifegain, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Elf Shaman	{G}	1	G	G			verify analyzer roles	https://scryfall.com/card/evg/3/elvish-eulogist?utm_source=api	Sacrifice this creature: You gain 1 life for each Elf card in your graveyard.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	4	Elvish Harbinger	28ddc23c-5b0b-4747-9a33-6845acf27bec	covered	combat_body, mana_fixing, ramp, restricted_tutor, stable_ramp, tutor	combat_body, mana_fixing, ramp, restricted_tutor, stable_ramp, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Elf Druid	{2}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/evg/4/elvish-harbinger?utm_source=api	When this creature enters, you may search your library for an Elf card, reveal it, then shuffle and put that card on top. {T}: Add one mana of any color.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	5	Elvish Warrior	da587161-da7e-48ae-8af6-7f02ee71afd8	covered		combat_body	false		Covered by ONS role audit.	Creature — Elf Warrior	{G}{G}	2	G	G			already reviewed	https://scryfall.com/card/evg/5/elvish-warrior?utm_source=api	
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	6	Gempalm Strider	48792146-e20c-4d93-83af-f746069fc6f1	covered		card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, selection	false		Covered by LGN role audit.	Creature — Elf	{1}{G}	2	G	G	Cycling		already reviewed	https://scryfall.com/card/evg/6/gempalm-strider?utm_source=api	Cycling {2}{G}{G} ({2}{G}{G}, Discard this card: Draw a card.) When you cycle this card, Elf creatures get +2/+2 until end of turn.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	7	Heedless One	c4ec45e9-1a4d-42a0-beca-e4dcdfc88fa3	covered		combat_body, combat_support, combat_threat	false		Covered by ONS role audit.	Creature — Elf Avatar	{3}{G}	4	G	G	Trample		already reviewed	https://scryfall.com/card/evg/7/heedless-one?utm_source=api	Trample Heedless One's power and toughness are each equal to the number of Elves on the battlefield.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	8	Imperious Perfect	3fa71348-fa4d-4f39-a451-cf1570591991	covered		combat_body, combat_support, token_support	false		Covered by PRM role audit.	Creature — Elf Warrior	{2}{G}	3	G	G			already reviewed	https://scryfall.com/card/evg/8/imperious-perfect?utm_source=api	Other Elves you control get +1/+1. {G}, {T}: Create a 1/1 green Elf Warrior creature token.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	9	Llanowar Elves	68954295-54e3-4303-a6bc-fc4547a4e3a3	covered	combat_body, ramp, stable_ramp	combat_body, ramp, stable_ramp	false		Covered by ATH role audit.	Creature — Elf Druid	{G}	1	G	G			already reviewed	https://scryfall.com/card/evg/9/llanowar-elves?utm_source=api	{T}: Add {G}.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	10	Lys Alana Huntmaster	3f3439e1-75ce-482d-881f-836492dca6e9	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Elf Warrior	{2}{G}{G}	4	G	G			verify analyzer roles	https://scryfall.com/card/evg/10/lys-alana-huntmaster?utm_source=api	Whenever you cast an Elf spell, you may create a 1/1 green Elf Warrior creature token.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	11	Stonewood Invoker	9d277206-9156-4dc9-bdd2-9d9219787735	covered		combat_body, combat_support	false		Covered by LGN role audit.	Creature — Elf Mutant	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/evg/11/stonewood-invoker?utm_source=api	{7}{G}: This creature gets +5/+5 until end of turn.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	12	Sylvan Messenger	ba310102-8272-4d64-a00b-9e7346cb5f46	covered		card_selection, combat_body, combat_support, combat_threat	false		Covered by APC role audit.	Creature — Elf	{3}{G}	4	G	G	Trample		already reviewed	https://scryfall.com/card/evg/12/sylvan-messenger?utm_source=api	Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) When this creature enters, reveal the top four cards of your library. Put all Elf cards revealed this way into your hand and the rest on the bottom of your library in any order.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	13	Timberwatch Elf	50cee3ac-cba0-4abb-babf-de1928b1590e	covered		combat_body, combat_support, scalable_spell	false		Covered by LGN role audit.	Creature — Elf	{2}{G}	3	G	G			already reviewed	https://scryfall.com/card/evg/13/timberwatch-elf?utm_source=api	{T}: Target creature gets +X/+X until end of turn, where X is the number of Elves on the battlefield.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	14	Voice of the Woods	12da8ba3-ca60-44c8-8627-1b4af2a2c4a3	covered		combat_body, combat_support, token_support	false		Covered by ONS role audit.	Creature — Elf	{3}{G}{G}	5	G	G			already reviewed	https://scryfall.com/card/evg/14/voice-of-the-woods?utm_source=api	Tap five untapped Elves you control: Create a 7/7 green Elemental creature token with trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	15	Wellwisher	c3b1b7bd-cff8-4275-b6d3-868f4e4b2cc0	covered		combat_body, lifegain	false		Covered by ONS role audit.	Creature — Elf	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/evg/15/wellwisher?utm_source=api	{T}: You gain 1 life for each Elf on the battlefield.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	16	Wirewood Herald	7a838374-fc40-4fb6-9d38-a96f01e7038a	covered		combat_body, restricted_tutor, sacrifice_support, tutor	false		Covered by ONS role audit.	Creature — Elf	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/evg/16/wirewood-herald?utm_source=api	When this creature dies, you may search your library for an Elf card, reveal that card, put it into your hand, then shuffle.
evg	Duel Decks Anthology: Elves vs. Goblins	2014-12-05	17	Wirewood Symbiote	67a52a74-9474-4f4e-8785-6ff54078a8ca	covered		combat_body, tap_untap, tempo_support	false		Covered by SCG role audit.	Creature — Insect	{G}	1	G	G			already reviewed	https://scryfall.com/card/evg/17/wirewood-symbiote?utm_source=api	Return an Elf you control to its owner's hand: Untap target creature. Activate only once each turn.
