setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
exo	Exodus	1998-06-15	1	Allay	664d982a-5cd8-4289-afb8-fa2e083042c9	covered		removal, targeted_removal				Instant	{1}{W}	2	W	W	Buyback		verify analyzer roles	https://scryfall.com/card/exo/1/allay?utm_source=api	Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.) Destroy target enchantment.
exo	Exodus	1998-06-15	2	Angelic Blessing	d3758fca-0522-4b5a-a1cc-3b2b3ab299ba	covered	combat_support	combat_support	false		Covered by Portal role audit.	Sorcery	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/exo/2/angelic-blessing?utm_source=api	Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
exo	Exodus	1998-06-15	3	Cataclysm	b0479ca4-e925-4aa7-a4fa-f7e01f899ac5	covered		targeted_removal				Sorcery	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/exo/3/cataclysm?utm_source=api	Each player chooses from among the permanents they control an artifact, a creature, an enchantment, and a land, then sacrifices the rest.
exo	Exodus	1998-06-15	4	Charging Paladin	6cccf44e-c05e-4239-b643-54b559c98552	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Portal role audit.	Creature — Human Knight	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/exo/4/charging-paladin?utm_source=api	Whenever this creature attacks, it gets +0/+3 until end of turn.
exo	Exodus	1998-06-15	5	Convalescence	9ad86d0e-3363-4d98-b0bb-dc491be1ddd5	covered		lifegain				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/exo/5/convalescence?utm_source=api	At the beginning of your upkeep, if you have 10 or less life, you gain 1 life.
exo	Exodus	1998-06-15	6	Exalted Dragon	c901805e-c196-4b9d-8d5a-e17367fb37bc	covered		combat_body, combat_support, combat_threat, sacrifice_support				Creature — Dragon	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/exo/6/exalted-dragon?utm_source=api	Flying This creature can't attack unless you sacrifice a land. (This cost is paid as attackers are declared.)
exo	Exodus	1998-06-15	7	High Ground	b59053d5-b5f2-44aa-a29c-7f3908d86577	covered		combat_support				Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/exo/7/high-ground?utm_source=api	Each creature you control can block an additional creature each combat.
exo	Exodus	1998-06-15	8	Keeper of the Light	62d1300f-2b76-42b9-8e6c-f920712cd547	covered		combat_body, lifegain				Creature — Human Wizard	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/exo/8/keeper-of-the-light?utm_source=api	{W}, {T}: Choose target opponent who has more life than you do as you activate this ability. You gain 3 life.
exo	Exodus	1998-06-15	9	Kor Chant	5b3f6817-5d7a-4d83-ad1d-df75b4e1970b	covered		protection, targeted_protection				Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/exo/9/kor-chant?utm_source=api	All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.
exo	Exodus	1998-06-15	10	Limited Resources	5b287dcc-f853-4df1-8ddf-5b8b2adc2873	covered		hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece, targeted_removal				Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/exo/10/limited-resources?utm_source=api	When this enchantment enters, each player chooses five lands they control and sacrifices the rest. Players can't play lands as long as ten or more lands are on the battlefield.
exo	Exodus	1998-06-15	11	Oath of Lieges	87038354-6762-4069-be34-7d40ae308a8d	covered		land_acceleration, land_tutor, mana_fixing, ramp, tutor				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/exo/11/oath-of-lieges?utm_source=api	At the beginning of each player's upkeep, that player chooses target player who controls more lands than they do and is their opponent. The first player may search their library for a basic land card, put that card onto the battlefield, then shuffle.
exo	Exodus	1998-06-15	12	Paladin en-Vec	fd8722e1-9c41-4037-ab7e-47e2aa9858a0	covered		combat_body, combat_support, combat_threat, self_protection				Creature — Human Knight	{1}{W}{W}	3	W	W	First strike, Protection		verify analyzer roles	https://scryfall.com/card/exo/12/paladin-en-vec?utm_source=api	First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)
exo	Exodus	1998-06-15	13	Peace of Mind	4f8c5fd7-f280-4b0c-bb84-6ff9b258c50f	covered		lifegain				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/exo/13/peace-of-mind?utm_source=api	{W}, Discard a card: You gain 3 life.
exo	Exodus	1998-06-15	14	Pegasus Stampede	16b4a48a-fec2-433c-948d-e0b16c961172	covered		sacrifice_support, token_support				Sorcery	{1}{W}	2	W	W	Buyback		verify analyzer roles	https://scryfall.com/card/exo/14/pegasus-stampede?utm_source=api	Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.) Create a 1/1 white Pegasus creature token with flying.
exo	Exodus	1998-06-15	15	Penance	7818d6e0-74d8-46ae-94f6-d2a349c9507b	covered		broad_protection, protection				Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/exo/15/penance?utm_source=api	Put a card from your hand on top of your library: The next time a black or red source of your choice would deal damage this turn, prevent that damage.
exo	Exodus	1998-06-15	16	Reaping the Rewards	b4177445-46d8-4427-a345-d786c820c3af	covered		lifegain, sacrifice_support				Instant	{W}	1	W	W	Buyback		verify analyzer roles	https://scryfall.com/card/exo/16/reaping-the-rewards?utm_source=api	Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.) You gain 2 life.
exo	Exodus	1998-06-15	17	Reconnaissance	32599d7c-243b-447b-9d5d-e8e29830ac61	covered		combat_support				Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/exo/17/reconnaissance?utm_source=api	{0}: Remove target attacking creature you control from combat and untap it. (If you activate during end of combat, the creature will untap after it deals combat damage.)
exo	Exodus	1998-06-15	18	Shackles	05861ff2-ec85-43d1-b641-c5d2da819c03	covered		removal, tempo_removal				Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/exo/18/shackles?utm_source=api	Enchant creature Enchanted creature doesn't untap during its controller's untap step. {W}: Return this Aura to its owner's hand.
