setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
f12	Friday Night Magic 2012	2012-01-01	1	Glistener Elf	9d95d173-5c7f-4e0c-bcdc-9b90fcd7339b	covered		alternate_finisher, combat_body, combat_threat, finisher	false		Covered by PRM role audit.	Creature — Phyrexian Elf Warrior	{G}	1	G	G	Infect		already reviewed	https://scryfall.com/card/f12/1/glistener-elf?utm_source=api	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
f12	Friday Night Magic 2012	2012-01-01	1a	Human // Wolf	38cbe58a-c740-4d24-b09f-28922aa767c2			combat_body				Token Creature — Human // Token Creature — Wolf		0		GW			verify analyzer roles	https://scryfall.com/card/f12/1a/human-wolf?utm_source=api	Human:  // Wolf:
f12	Friday Night Magic 2012	2012-01-01	2	Despise	b13b40f1-1b1f-40e8-989b-ef24dc05007a	covered		hand_attack	false		Covered by PRM role audit.	Sorcery	{B}	1	B	B			already reviewed	https://scryfall.com/card/f12/2/despise?utm_source=api	Target opponent reveals their hand. You choose a creature or planeswalker card from it. That player discards that card.
f12	Friday Night Magic 2012	2012-01-01	3	Tectonic Edge	4927150d-7ff6-4232-b20e-d2ea245ac710	covered		land_base, land_denial, land_slot, mana_source, removal, sacrifice_support, targeted_land_removal, targeted_removal	false		Covered by PRM role audit.	Land		0					already reviewed	https://scryfall.com/card/f12/3/tectonic-edge?utm_source=api	{T}: Add {C}. {1}, {T}, Sacrifice this land: Destroy target nonbasic land. Activate only if an opponent controls four or more lands.
f12	Friday Night Magic 2012	2012-01-01	4	Dismember	fd74f8eb-0253-42dd-8277-186d4934da38	covered		targeted_removal	false		Covered by PRM role audit.	Instant	{1}{B/P}{B/P}	3	B	B			already reviewed	https://scryfall.com/card/f12/4/dismember?utm_source=api	({B/P} can be paid with either {B} or 2 life.) Target creature gets -5/-5 until end of turn.
f12	Friday Night Magic 2012	2012-01-01	5	Ancient Grudge	306593b0-6ea8-476f-a3f2-e17876c1bab4	covered		graveyard_support, removal, targeted_removal	false		Covered by PRM role audit.	Instant	{1}{R}	2	R	GR	Flashback		already reviewed	https://scryfall.com/card/f12/5/ancient-grudge?utm_source=api	Destroy target artifact. Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
f12	Friday Night Magic 2012	2012-01-01	6	Acidic Slime	21f45043-5419-4019-8b6c-e5294bd5f549	covered		combat_body, combat_threat, removal, targeted_removal	false		Covered by PRM role audit.	Creature — Ooze	{3}{G}{G}	5	G	G	Deathtouch		already reviewed	https://scryfall.com/card/f12/6/acidic-slime?utm_source=api	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.) When this creature enters, destroy target artifact, enchantment, or land.
f12	Friday Night Magic 2012	2012-01-01	7	Forbidden Alchemy	66d65cda-e3d1-4a00-8ff3-c6d5ef0ab0c1	covered		card_selection, direct_draw, draw, graveyard_support, restricted_tutor, selection	false		Covered by PRM role audit.	Instant	{2}{U}	3	U	BU	Flashback		already reviewed	https://scryfall.com/card/f12/7/forbidden-alchemy?utm_source=api	Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard. Flashback {6}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
f12	Friday Night Magic 2012	2012-01-01	8	Avacyn's Pilgrim	069f6530-e65c-4d52-85f3-e0a2acd148c5	covered		combat_body, ramp, stable_ramp	false		Covered by PRM role audit.	Creature — Human Monk	{G}	1	G	GW			already reviewed	https://scryfall.com/card/f12/8/avacyns-pilgrim?utm_source=api	{T}: Add {W}.
f12	Friday Night Magic 2012	2012-01-01	9	Lingering Souls	0b8c3337-04dd-4798-8203-6d8b8cfb936b	covered		graveyard_support, token_support	false		Covered by PRM role audit.	Sorcery	{2}{W}	3	W	BW	Flashback		already reviewed	https://scryfall.com/card/f12/9/lingering-souls?utm_source=api	Create two 1/1 white Spirit creature tokens with flying. Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
f12	Friday Night Magic 2012	2012-01-01	10	Evolving Wilds	a75445d3-1303-4bb5-89ad-26ea93fecd48	covered		land_acceleration, land_base, land_slot, land_tutor, mana_fixing, ramp, sacrifice_support, tutor	false		Covered by PRM role audit.	Land		0					already reviewed	https://scryfall.com/card/f12/10/evolving-wilds?utm_source=api	{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
f12	Friday Night Magic 2012	2012-01-01	11	Pillar of Flame	468cfc88-a493-44dc-9d0a-63d9cc89c114	covered		removal, replacement_engine, targeted_removal	false		Covered by PRM role audit.	Sorcery	{R}	1	R	R			already reviewed	https://scryfall.com/card/f12/11/pillar-of-flame?utm_source=api	Pillar of Flame deals 2 damage to any target. If a creature dealt damage this way would die this turn, exile it instead.
f12	Friday Night Magic 2012	2012-01-01	12	Gitaxian Probe	1d67f5ff-1fce-45e5-b6a1-416c569351e2	covered		card_draw, direct_draw, draw, hand_info	false		Covered by PRM role audit.	Sorcery	{U/P}	1	U	U			already reviewed	https://scryfall.com/card/f12/12/gitaxian-probe?utm_source=api	({U/P} can be paid with either {U} or 2 life.) Look at target player's hand. Draw a card.
