setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
fca	Final Fantasy: Through the Ages	2025-06-13	1	Adeline, Resplendent Cathar	38515f89-348b-4cf3-b7bd-1f6fe4ce2fba	covered	combat_body, combat_support, combat_threat, token_support	combat_body, combat_support, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{1}{W}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/fca/1/adeline-resplendent-cathar?utm_source=api	Vigilance Adeline's power is equal to the number of creatures you control. Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.
fca	Final Fantasy: Through the Ages	2025-06-13	2	Ranger-Captain of Eos	cada3481-cc2b-4412-b9b5-0436af53aad2	covered		combat_body, hate_piece, restricted_tutor, sacrifice_support, soft_stack, stack, stax_piece, tutor	false		Covered by PRM role audit.	Creature — Human Soldier Ranger	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/fca/2/ranger-captain-of-eos?utm_source=api	When this creature enters, you may search your library for a creature card with mana value 1 or less, reveal it, put it into your hand, then shuffle. Sacrifice this creature: Your opponents can't cast noncreature spells this turn.
fca	Final Fantasy: Through the Ages	2025-06-13	3	Sram, Senior Edificer	7e00b0cd-d212-4604-ba07-da21f4fe00b0	covered	card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Dwarf Advisor	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/fca/3/sram-senior-edificer?utm_source=api	Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.
fca	Final Fantasy: Through the Ages	2025-06-13	4	Counterspell	cc187110-1148-4090-bbb8-e205694a39f5	covered	hard_stack, stack	hard_stack, stack	false		Covered by Ice Age role audit.	Instant	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/fca/4/counterspell?utm_source=api	Counter target spell.
fca	Final Fantasy: Through the Ages	2025-06-13	5	Urza, Lord High Artificer	e87906d2-db1a-4e19-b910-adb4eb339945	covered		artifact_support, burst_ramp, card_selection, combat_body, combat_support, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, selection, stable_ramp, token_support	false		Covered by PRM role audit.	Legendary Creature — Human Artificer	{2}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/fca/5/urza-lord-high-artificer?utm_source=api	When Urza enters, create a 0/0 colorless Construct artifact creature token with "This token gets +1/+1 for each artifact you control." Tap an untapped artifact you control: Add {U}. {5}: Shuffle your library, then exile the top card. Until end of turn, you may play that card without paying its mana cost.
fca	Final Fantasy: Through the Ages	2025-06-13	6	Venser, Shaper Savant	0f41cefc-d6ff-4db7-ba35-502b7e081de1	covered	combat_body, removal, replacement_engine, spell_tempo, stack, tempo_removal, tempo_support	combat_body, removal, replacement_engine, spell_tempo, stack, tempo_removal, tempo_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Wizard	{2}{U}{U}	4	U	U	Flash		verify analyzer roles	https://scryfall.com/card/fca/6/venser-shaper-savant?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) When Venser enters, return target spell or permanent to its owner's hand.
fca	Final Fantasy: Through the Ages	2025-06-13	7	Bolas's Citadel	2bd111bb-ce02-414c-b5b7-e0e037d8d96b	covered		card_selection, direct_draw, direct_finisher, draw, finisher, repeatable_advantage, sacrifice_support, selection	false		Covered by PRM role audit.	Legendary Artifact	{3}{B}{B}{B}	6	B	B			already reviewed	https://scryfall.com/card/fca/7/bolass-citadel?utm_source=api	You may look at the top card of your library any time. You may play lands and cast spells from the top of your library. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost. {T}, Sacrifice ten nonland permanents: Each opponent loses 10 life.
fca	Final Fantasy: Through the Ages	2025-06-13	8	Dark Ritual	53f7c868-b03e-4fc2-8dcf-a75bbfa3272b	covered	burst_ramp, ramp	burst_ramp, ramp	false		Covered by Ice Age role audit.	Instant	{B}	1	B	B			already reviewed	https://scryfall.com/card/fca/8/dark-ritual?utm_source=api	Add {B}{B}{B}.
fca	Final Fantasy: Through the Ages	2025-06-13	9	Fatal Push	16437a83-be52-44cd-a768-a767c9347eb2	covered		removal, targeted_removal	false		Covered by PRM role audit.	Instant	{B}	1	B	B	Revolt		already reviewed	https://scryfall.com/card/fca/9/fatal-push?utm_source=api	Destroy target creature if it has mana value 2 or less. Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent left the battlefield under your control this turn.
fca	Final Fantasy: Through the Ages	2025-06-13	10	Syr Konrad, the Grim	14c3ff84-1e82-4606-a433-869fc52cc382	covered	combat_body, direct_finisher, finisher, mill_support, repeatable_finisher, sacrifice_support	combat_body, direct_finisher, finisher, mill_support, repeatable_finisher, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{3}{B}{B}	5	B	B	Mill		verify analyzer roles	https://scryfall.com/card/fca/10/syr-konrad-the-grim?utm_source=api	Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad deals 1 damage to each opponent. {1}{B}: Each player mills a card. (They each put the top card of their library into their graveyard.)
fca	Final Fantasy: Through the Ages	2025-06-13	11	Yawgmoth, Thran Physician	a1e232c0-dc38-47be-a5a0-f68bc1d86a29	covered	card_draw, combat_body, counter_support, direct_draw, draw, repeatable_advantage, sacrifice_support	card_draw, combat_body, counter_support, direct_draw, draw, repeatable_advantage, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Cleric	{2}{B}{B}	4	B	B	Protection, Proliferate		verify analyzer roles	https://scryfall.com/card/fca/11/yawgmoth-thran-physician?utm_source=api	Protection from Humans Pay 1 life, Sacrifice another creature: Put a -1/-1 counter on up to one target creature and draw a card. {B}{B}, Discard a card: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
fca	Final Fantasy: Through the Ages	2025-06-13	12	Ancient Copper Dragon	48daee9d-ddaf-410f-8c3a-12fa1064ab56	covered	burst_ramp, combat_body, combat_support, combat_threat, dice_support, mana_fixing, ramp, token_support	burst_ramp, combat_body, combat_support, combat_threat, dice_support, mana_fixing, ramp, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Elder Dragon	{4}{R}{R}	6	R	R	Flying, Treasure		verify analyzer roles	https://scryfall.com/card/fca/12/ancient-copper-dragon?utm_source=api	Flying Whenever this creature deals combat damage to a player, roll a d20. You create a number of Treasure tokens equal to the result.
fca	Final Fantasy: Through the Ages	2025-06-13	13	Godo, Bandit Warlord	f890d51a-dc90-4179-8423-4738a72a527c	covered	cheat_into_play, combat_body, combat_finisher, combat_support, cost_reduction, finisher, multiplier_support, repeatable_finisher, replacement_engine, restricted_tutor, tutor	cheat_into_play, combat_body, combat_finisher, combat_support, cost_reduction, finisher, multiplier_support, repeatable_finisher, replacement_engine, restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Barbarian	{5}{R}	6	R	R			verify analyzer roles	https://scryfall.com/card/fca/13/godo-bandit-warlord?utm_source=api	When Godo enters, you may search your library for an Equipment card, put it onto the battlefield, then shuffle. Whenever Godo attacks for the first time each turn, untap it and all Samurai you control. After this phase, there is an additional combat phase.
