setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
fjmp	Jumpstart Front Cards	2020-06-18	1	Above the Clouds	a7d14bba-b704-4214-96d6-2ab77c62de96	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/1/above-the-clouds?utm_source=api	(Theme color: {U})
fjmp	Jumpstart Front Cards	2020-06-18	2	Angels	18f9574a-cfd3-4088-a46e-f2f434d36bf8	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/2/angels?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	3	Archaeology	370e92a6-8695-4348-a7a3-a58c1a7f4641	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/3/archaeology?utm_source=api	(Theme color: {U})
fjmp	Jumpstart Front Cards	2020-06-18	4	Basri	10167322-8ea9-4c58-a752-d64abc4a0bbd	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/4/basri?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	5	Cats	5b9f7295-47b8-4b51-8be8-5f23022ecdac	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/5/cats?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	6	Chandra	9336f33e-92aa-4cbd-aae0-971c3ed65873	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/6/chandra?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	7	Devilish	f51d4542-2498-4749-84ef-1aff225ae0d9	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/7/devilish?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	8	Dinosaurs	4f629a7f-3488-4262-8789-b945acdeaec4	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/8/dinosaurs?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	9	Discarding	5f9bf94a-8051-4464-947c-efdc50f68235	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/9/discarding?utm_source=api	(Theme color: {B})
fjmp	Jumpstart Front Cards	2020-06-18	10	Doctor	de2d0e17-22ef-4d1f-aee0-9f50595a486d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/10/doctor?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	11	Dogs	e77e733d-41c9-4225-9b3e-679169dc9f77	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/11/dogs?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	12	Dragons	b6082566-57a2-42f8-b78b-739db7427538	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/12/dragons?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	13	Elves	d60ad13c-07fe-47d5-812e-75e0d32835c3	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/13/elves?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	14	Enchanted	2863282d-fb91-4009-9cb9-2fd1b06dc2d6	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/14/enchanted?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	15	Feathered Friends	0fafbffe-ac7f-422c-95da-d1b64256ed52	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/15/feathered-friends?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	16	Garruk	ad319c1e-c0ee-4d3c-bb7f-4832ea89ab84	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/16/garruk?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	17	Goblins	c3bb5173-a292-4ca9-86c9-1f7021a7e4d4	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/17/goblins?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	18	Heavily Armored	02ba4a13-9599-4d61-9dce-fd5be5513562	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/18/heavily-armored?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	19	Lands	50715202-1544-40b5-99c3-e14e4fa74ea6	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/19/lands?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	20	Legion	15c84d06-430e-4b85-9437-2e2ed88facf8	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/20/legion?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	21	Lightning	2284420f-1773-409f-b330-964a1267b13d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/21/lightning?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	22	Liliana	a8da2c3b-a18b-4175-aaa8-75883085a18a	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/22/liliana?utm_source=api	(Theme color: {B})
fjmp	Jumpstart Front Cards	2020-06-18	23	Milling	cdcfeb56-60a8-494a-aacd-2190971c7fc6	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/23/milling?utm_source=api	(Theme color: {U})
fjmp	Jumpstart Front Cards	2020-06-18	24	Minions	2a97f937-740e-463d-9311-3f4596c6d626	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/24/minions?utm_source=api	(Theme color: {B})
fjmp	Jumpstart Front Cards	2020-06-18	25	Minotaurs	249938dc-cdb2-4a45-a9bf-f60215717e1b	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/25/minotaurs?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	26	Phyrexian	f85a4830-260a-4223-88a8-6c1b1d53a84a	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/26/phyrexian?utm_source=api	(Theme color: {B})
fjmp	Jumpstart Front Cards	2020-06-18	27	Pirates	16e2109f-3d6e-4b42-b37c-f5b4ff70321d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/27/pirates?utm_source=api	(Theme color: {U})
fjmp	Jumpstart Front Cards	2020-06-18	28	Plus One	50b404ee-700e-44ef-a536-de6cfab7350b	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/28/plus-one?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	29	Predatory	df1e25fa-e869-4795-96cc-0886e3a6425b	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/29/predatory?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	30	Rainbow	ac447fad-a5dd-4562-94db-712442d465d0	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/30/rainbow?utm_source=api	(Theme colors: {W}{U}{B}{R}{G})
fjmp	Jumpstart Front Cards	2020-06-18	31	Reanimated	795cac03-20de-422b-b269-587b4517b274	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/31/reanimated?utm_source=api	(Theme color: {B})
fjmp	Jumpstart Front Cards	2020-06-18	32	Rogues	75d3d00a-1b65-458a-86ad-8a8883216c3e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/32/rogues?utm_source=api	(Theme color: {B})
fjmp	Jumpstart Front Cards	2020-06-18	33	Seismic	efd899ba-d3ee-456d-bc8e-7dcabbe13773	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/33/seismic?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	34	Smashing	21a5f96b-f080-4414-a60f-e6a83f8b0482	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/34/smashing?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	35	Spellcasting	763244e6-d783-4c86-9046-817f55414c38	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/35/spellcasting?utm_source=api	(Theme color: {R})
fjmp	Jumpstart Front Cards	2020-06-18	36	Spirits	b640b672-f423-49b8-b342-34a2358cdfb0	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/36/spirits?utm_source=api	(Theme color: {U})
fjmp	Jumpstart Front Cards	2020-06-18	37	Spooky	6dc8f425-1ef1-455f-8e06-a513c7c7db11	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/37/spooky?utm_source=api	(Theme color: {B})
fjmp	Jumpstart Front Cards	2020-06-18	38	Teferi	7ea9ac0d-aa60-4b89-ae3f-15be1c422de2	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/38/teferi?utm_source=api	(Theme color: {U})
fjmp	Jumpstart Front Cards	2020-06-18	39	Tree-Hugging	42003e9d-e98a-42ba-9369-f30d5ffeb9ef	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/39/tree-hugging?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	40	Under the Sea	6c0bf39d-64a4-4c8b-a2ff-56aaaea7067d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/40/under-the-sea?utm_source=api	(Theme color: {U})
fjmp	Jumpstart Front Cards	2020-06-18	41	Unicorns	50c61be2-f6f1-4894-bfed-7d9311e83941	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/41/unicorns?utm_source=api	(Theme color: {W})
fjmp	Jumpstart Front Cards	2020-06-18	42	Vampires	31ad3382-c67e-4b9d-a4ee-416c0d2b0282	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/42/vampires?utm_source=api	(Theme color: {B})
fjmp	Jumpstart Front Cards	2020-06-18	43	Walls	fab9d455-fd1d-4b09-9e16-8c1037a4bd71	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/43/walls?utm_source=api	(Theme color: {G})
fjmp	Jumpstart Front Cards	2020-06-18	44	Well-Read	3203308c-075c-47ba-98b2-4165e28bbb5b	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fjmp/44/well-read?utm_source=api	(Theme color: {U})
