setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
fltr	Tales of Middle-earth Front Cards	2023-06-23	1	Courageous	5b3aa284-1b13-42c9-89bb-a6911748b015	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/1/courageous?utm_source=api	(Theme color: {W})
fltr	Tales of Middle-earth Front Cards	2023-06-23	2	Tricksy	2d297469-1f04-4de4-b6e8-cbaa7830fd5e	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/2/tricksy?utm_source=api	(Theme color: {U})
fltr	Tales of Middle-earth Front Cards	2023-06-23	3	Mordor	7e02ec37-6ee8-4f6e-a036-9152a5dfdff6	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/3/mordor?utm_source=api	(Theme color: {B})
fltr	Tales of Middle-earth Front Cards	2023-06-23	4	Marauders	080c4761-66d7-47cd-9f32-61afe924a48c	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/4/marauders?utm_source=api	(Theme color: {R})
fltr	Tales of Middle-earth Front Cards	2023-06-23	5	Journey	ed96bd50-5207-419f-88bb-43ae6741e006	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/5/journey?utm_source=api	(Theme color: {G})
fltr	Tales of Middle-earth Front Cards	2023-06-23	6	Mortals	bf8fa72b-9bd3-4dda-a63c-e6c82ee22404	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/6/mortals?utm_source=api	(Theme color: {W})
fltr	Tales of Middle-earth Front Cards	2023-06-23	7	Cunning	bfff2da1-a62a-4e22-bd02-2a5fbe46432d	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/7/cunning?utm_source=api	(Theme color: {U})
fltr	Tales of Middle-earth Front Cards	2023-06-23	8	Orcish	7f145efb-f299-42c7-ac5e-d319475ca1dc	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/8/orcish?utm_source=api	(Theme color: {B})
fltr	Tales of Middle-earth Front Cards	2023-06-23	9	Riders	aa8f3255-a5cf-4db4-830d-f665f87abfe6	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/9/riders?utm_source=api	(Theme color: {R})
fltr	Tales of Middle-earth Front Cards	2023-06-23	10	Elven	bf2f99f3-d983-425b-9624-1aba4f09abb5	unsupported			false		Excluded from deck role audit: memorabilia/art/front card, not a normal deck card.	Card		0					manual review	https://scryfall.com/card/fltr/10/elven?utm_source=api	(Theme color: {G})
