setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
fnm	Friday Night Magic 2000	2000-01-01	1	River Boa	86187aed-77ce-4b2d-aab0-0a8f807a9451	covered	combat_body, combat_support, landwalk_support, protection, regeneration_protection, targeted_protection	combat_body, combat_support, landwalk_support, protection, regeneration_protection, targeted_protection	false		Covered by Visions role audit.	Creature — Snake	{1}{G}	2	G	G	Landwalk, Regenerate, Islandwalk		already reviewed	https://scryfall.com/card/fnm/1/river-boa?utm_source=api	Islandwalk (This creature can't be blocked as long as defending player controls an Island.) {G}: Regenerate this creature.
fnm	Friday Night Magic 2000	2000-01-01	2	Terror	b81f041d-98db-4408-9472-c483e4a502bc	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by ATH role audit.	Instant	{1}{B}	2	B	B			already reviewed	https://scryfall.com/card/fnm/2/terror?utm_source=api	Destroy target nonartifact, nonblack creature. It can't be regenerated.
fnm	Friday Night Magic 2000	2000-01-01	3	Longbow Archer	51531db1-ba59-4ccc-9a91-54de2887fc8b	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Visions role audit.	Creature — Human Soldier Archer	{W}{W}	2	W	W	Reach, First strike		already reviewed	https://scryfall.com/card/fnm/3/longbow-archer?utm_source=api	First strike; reach (This creature can block creatures with flying.)
fnm	Friday Night Magic 2000	2000-01-01	4	Volcanic Geyser	846a4f9c-d955-403f-8a08-5c7c3d32e180	covered	direct_finisher, finisher, mana_sink, removal, scalable_spell, targeted_removal	direct_finisher, finisher, mana_sink, removal, scalable_spell, targeted_removal	false		Covered by Mirage role audit.	Instant	{X}{R}{R}	2	R	R			already reviewed	https://scryfall.com/card/fnm/4/volcanic-geyser?utm_source=api	Volcanic Geyser deals X damage to any target.
fnm	Friday Night Magic 2000	2000-01-01	5	Mind Warp	5109aa76-ca40-44d1-abb4-5e7a23a2c274	covered	hand_info, mana_sink, scalable_spell	hand_info, mana_sink, scalable_spell	false		Covered by Ice Age role audit.	Sorcery	{X}{3}{B}	4	B	B			already reviewed	https://scryfall.com/card/fnm/5/mind-warp?utm_source=api	Look at target player's hand and choose X cards from it. That player discards those cards.
fnm	Friday Night Magic 2000	2000-01-01	6	Shock	a9d288b8-cdc1-4e55-a0c9-d6edfc95e65d	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Media and Collaboration Promos role audit.	Instant	{R}	1	R	R			already reviewed	https://scryfall.com/card/fnm/6/shock?utm_source=api	Shock deals 2 damage to any target.
fnm	Friday Night Magic 2000	2000-01-01	8	Giant Growth	5748ebf1-24e3-499d-ab7c-c2cebd462a24	covered	combat_support	combat_support	false		Covered by Ice Age role audit.	Instant	{G}	1	G	G			already reviewed	https://scryfall.com/card/fnm/8/giant-growth?utm_source=api	Target creature gets +3/+3 until end of turn.
fnm	Friday Night Magic 2000	2000-01-01	9	Prodigal Sorcerer	5e961d15-5972-4e4b-9385-1cd7cd7c6bbe	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by 6ED role audit.	Creature — Human Wizard Sorcerer	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/fnm/9/prodigal-sorcerer?utm_source=api	{T}: This creature deals 1 damage to any target.
fnm	Friday Night Magic 2000	2000-01-01	10	Stone Rain	6e880df6-fc00-43d2-a9c8-f575f40b78c6	covered	land_denial, removal, targeted_land_removal, targeted_removal	land_denial, removal, targeted_land_removal, targeted_removal	false		Covered by Alpha role audit batch 1.	Sorcery	{2}{R}	3	R	R			already reviewed	https://scryfall.com/card/fnm/10/stone-rain?utm_source=api	Destroy target land.
fnm	Friday Night Magic 2000	2000-01-01	11	Llanowar Elves	68954295-54e3-4303-a6bc-fc4547a4e3a3	covered	combat_body, ramp, stable_ramp	combat_body, ramp, stable_ramp	false		Covered by ATH role audit.	Creature — Elf Druid	{G}	1	G	G			already reviewed	https://scryfall.com/card/fnm/11/llanowar-elves?utm_source=api	{T}: Add {G}.
fnm	Friday Night Magic 2000	2000-01-01	12	Staunch Defenders	ec8bf245-4b2c-432b-9b2a-8d7b9224258c	covered	combat_body, lifegain	combat_body, lifegain	false		Covered by Tempest role audit.	Creature — Human Soldier	{3}{W}{W}	5	W	W			already reviewed	https://scryfall.com/card/fnm/12/staunch-defenders?utm_source=api	When this creature enters, you gain 4 life.
