setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	1	Allies	192cd1d2-ebcc-4e2d-b0fc-d93493794feb							Card		0					manual review	https://scryfall.com/card/ftla/1/allies?utm_source=api	Creatures work together (Theme color: {W})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	2	Aang Tutorial	eff34dd4-e8bd-4817-a057-386958da374f							Card		0					manual review	https://scryfall.com/card/ftla/2/aang-tutorial?utm_source=api	Do not shuffle (Theme color: {W})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	3	Spells	bc4ad3fe-2d20-4d37-be94-5bc7bd2f3d6e							Card		0					manual review	https://scryfall.com/card/ftla/3/spells?utm_source=api	Noncreature spellcasting (Theme: {U})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	4	Waterbending	efa4fdcf-7c1a-41f8-8ced-dd9ed361595e							Card		0					manual review	https://scryfall.com/card/ftla/4/waterbending?utm_source=api	Power up your spells (Theme: {U})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	5	Attacking	f56e28b1-5968-4ada-96da-5035db78eb18			combat_support				Card		0					verify analyzer roles	https://scryfall.com/card/ftla/5/attacking?utm_source=api	Find ways to always attack (Theme color: {B})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	6	Counters	14994561-5048-4974-93c2-98b2fc3ee868							Card		0					manual review	https://scryfall.com/card/ftla/6/counters?utm_source=api	Buff your team (Theme color: {B})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	7	Firebending	44c2410c-26ca-4848-9cd3-3fc7c91b05d4							Card		0					manual review	https://scryfall.com/card/ftla/7/firebending?utm_source=api	Fight with a burst of mana (Theme: {R})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	8	Zuko Tutorial	d51f6ab1-6ea8-40f1-bd46-599395fd578a							Card		0					manual review	https://scryfall.com/card/ftla/8/zuko-tutorial?utm_source=api	Do not shuffle (Theme: {R})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	9	Big Creatures	e3a0c531-dfc8-4fd3-a68b-f9a9494b0c42							Card		0					manual review	https://scryfall.com/card/ftla/9/big-creatures?utm_source=api	Battle with the biggest (Theme color: {G})
ftla	Avatar: The Last Airbender Beginner Box Front Cards	2025-11-21	10	Earthbending	f46ad0d7-79d5-4248-9f02-0375850a7b36							Card		0					manual review	https://scryfall.com/card/ftla/10/earthbending?utm_source=api	Wield lands in combat (Theme color: {G})
