setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
fut	Future Sight	2007-05-04	1	Angel of Salvation	27b945ad-92a9-4615-87ec-790682e8c3e7	covered	broad_protection, combat_body, combat_threat, cost_reduction, protection	broad_protection, combat_body, combat_threat, cost_reduction, protection	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{6}{W}{W}	8	W	W	Flying, Flash, Convoke		verify analyzer roles	https://scryfall.com/card/fut/1/angel-of-salvation?utm_source=api	Flash; convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Flying When this creature enters, prevent the next 5 damage that would be dealt this turn to any number of targets, divided as you choose.
fut	Future Sight	2007-05-04	2	Augur il-Vec	34e05dc1-35af-402d-96ae-e249b3738493	covered	combat_body, combat_threat, lifegain, sacrifice_support	combat_body, combat_threat, lifegain, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{1}{W}	2	W	W	Shadow		verify analyzer roles	https://scryfall.com/card/fut/2/augur-il-vec?utm_source=api	Shadow (This creature can block or be blocked by only creatures with shadow.) Sacrifice this creature: You gain 4 life. Activate only during your upkeep.
fut	Future Sight	2007-05-04	3	Barren Glory	e0523435-bf0b-4568-879c-cb5dce5e0bc1	covered	alternate_finisher, finisher, repeatable_finisher	alternate_finisher, finisher, repeatable_finisher	false		Analyzer roles accepted during batch clean pass.	Enchantment	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/fut/3/barren-glory?utm_source=api	At the beginning of your upkeep, if you control no permanents other than this enchantment and have no cards in hand, you win the game.
fut	Future Sight	2007-05-04	4	Chronomantic Escape	629133e2-af20-4107-bc82-11ba32d5e2a6	covered	card_selection, combat_support, cost_reduction, counter_support, repeatable_advantage, repeatable_draw, selection	card_selection, combat_support, cost_reduction, counter_support, repeatable_advantage, repeatable_draw, selection	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{W}{W}	6	W	W	Suspend		verify analyzer roles	https://scryfall.com/card/fut/4/chronomantic-escape?utm_source=api	Until your next turn, creatures can't attack you. Exile Chronomantic Escape with three time counters on it. Suspend 3—{2}{W} (Rather than cast this card from your hand, you may pay {2}{W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)
fut	Future Sight	2007-05-04	5	Dust of Moments	41ccd197-aaec-45cb-9e8f-919c0fb54bb0	covered	counter_support	counter_support	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/fut/5/dust-of-moments?utm_source=api	Choose one — • Remove two time counters from each permanent and each suspended card. • Put two time counters on each permanent with a time counter on it and each suspended card.
fut	Future Sight	2007-05-04	6	Even the Odds	6cd3605c-7885-4d32-8585-3b0b0f733702	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/fut/6/even-the-odds?utm_source=api	Cast this spell only if you control fewer creatures than each opponent. Create three 1/1 white Soldier creature tokens.
fut	Future Sight	2007-05-04	7	Gift of Granite	e1abac67-ae07-4bb2-a048-7e41e0fc0371	covered	combat_support, replacement_engine, tempo_support	combat_support, replacement_engine, tempo_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{W}	1	W	W	Enchant, Flash		verify analyzer roles	https://scryfall.com/card/fut/7/gift-of-granite?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) Enchant creature Enchanted creature gets +0/+2.
fut	Future Sight	2007-05-04	8	Intervention Pact	9f9882f5-2338-4881-b418-b15348a462b4	covered	broad_protection, lifegain, protection	broad_protection, lifegain, protection	false		Analyzer roles accepted during batch clean pass.	Instant	{0}	0	W	W			verify analyzer roles	https://scryfall.com/card/fut/8/intervention-pact?utm_source=api	The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way. At the beginning of your next upkeep, pay {1}{W}{W}. If you don't, you lose the game.
fut	Future Sight	2007-05-04	9	Judge Unworthy	9d687287-7b3f-48c8-b5df-0d7550b9ad66	covered	card_selection, removal, selection, targeted_removal	card_selection, removal, selection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W	Scry		verify analyzer roles	https://scryfall.com/card/fut/9/judge-unworthy?utm_source=api	Choose target attacking or blocking creature. Scry 3, then reveal the top card of your library. Judge Unworthy deals damage equal to that card's mana value to that creature.
fut	Future Sight	2007-05-04	10	Knight of Sursi	8dfe5fb5-89f1-42be-9038-40d3c71ce59a	covered	card_selection, combat_body, combat_threat, cost_reduction, counter_support, repeatable_advantage, repeatable_draw, selection	card_selection, combat_body, combat_threat, cost_reduction, counter_support, repeatable_advantage, repeatable_draw, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{3}{W}	4	W	W	Flying, Flanking, Suspend		verify analyzer roles	https://scryfall.com/card/fut/10/knight-of-sursi?utm_source=api	Flying; flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) Suspend 3—{W} (Rather than cast this card from your hand, you may pay {W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)
