setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
gk1	GRN Guild Kit	2018-11-02	1	Etrata, the Silencer	2ee87667-ec9d-4ced-b7e6-df3fd18b0ed6			combat_body, combat_support, counter_support, removal, targeted_removal				Legendary Creature — Vampire Assassin	{2}{U}{B}	4	BU	BU			verify analyzer roles	https://scryfall.com/card/gk1/1/etrata-the-silencer?utm_source=api	Etrata can't be blocked. Whenever Etrata deals combat damage to a player, exile target creature that player controls and put a hit counter on that card. That player loses the game if they own three or more exiled cards with hit counters on them. Etrata's owner shuffles Etrata into their library.
gk1	GRN Guild Kit	2018-11-02	2	Stolen Identity	30b533a3-afc3-4500-a8f0-54e84301988f			combat_support, copy_support, token_support				Sorcery	{4}{U}{U}	6	U	U	Cipher		verify analyzer roles	https://scryfall.com/card/gk1/2/stolen-identity?utm_source=api	Create a token that's a copy of target artifact or creature. Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)
gk1	GRN Guild Kit	2018-11-02	3	Syncopate	318f7f70-e374-40ef-8afb-3389c10461d8	covered		mana_sink, scalable_spell, soft_stack, stack	false		Covered by ODY role audit.	Instant	{X}{U}	1	U	U			already reviewed	https://scryfall.com/card/gk1/3/syncopate?utm_source=api	Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.
gk1	GRN Guild Kit	2018-11-02	4	Telling Time	192f3c8a-1120-4f7f-ae0f-fe9bde59cd08			card_selection				Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/gk1/4/telling-time?utm_source=api	Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library.
gk1	GRN Guild Kit	2018-11-02	5	Last Gasp	a82c3860-4dd6-4ffd-aa8f-ab8df687db6c			targeted_removal				Instant	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/gk1/5/last-gasp?utm_source=api	Target creature gets -3/-3 until end of turn.
gk1	GRN Guild Kit	2018-11-02	6	Netherborn Phalanx	1a6ed882-ea6c-4dc2-8614-541e4a56b43c			combat_body, direct_finisher, finisher, repeatable_tutor, restricted_tutor, tutor				Creature — Horror	{5}{B}	6	B	B	Transmute		verify analyzer roles	https://scryfall.com/card/gk1/6/netherborn-phalanx?utm_source=api	When this creature enters, each opponent loses 1 life for each creature they control. Transmute {1}{B}{B} ({1}{B}{B}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)
gk1	GRN Guild Kit	2018-11-02	7	Ribbons of Night	f074c0d0-8455-484d-ae75-820fdfbc4740			card_draw, direct_draw, draw, lifegain, removal, targeted_removal				Sorcery	{4}{B}	5	B	BU			verify analyzer roles	https://scryfall.com/card/gk1/7/ribbons-of-night?utm_source=api	Ribbons of Night deals 4 damage to target creature and you gain 4 life. If {U} was spent to cast this spell, draw a card.
gk1	GRN Guild Kit	2018-11-02	8	Call of the Nightwing	919d21ad-3d1e-4f80-8005-64e3f8bf64d1			combat_support, copy_support, token_support				Sorcery	{2}{U}{B}	4	BU	BU	Cipher		verify analyzer roles	https://scryfall.com/card/gk1/8/call-of-the-nightwing?utm_source=api	Create a 1/1 blue and black Horror creature token with flying. Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)
gk1	GRN Guild Kit	2018-11-02	9	Circu, Dimir Lobotomist	c87d547b-00a4-4fdd-ade4-f3f032e5ea3b			combat_body, hate_piece, soft_stack, stack, stax_piece				Legendary Creature — Human Wizard	{2}{U}{B}	4	BU	BU			verify analyzer roles	https://scryfall.com/card/gk1/9/circu-dimir-lobotomist?utm_source=api	Whenever you cast a blue spell, exile the top card of target player's library. Whenever you cast a black spell, exile the top card of target player's library. Your opponents can't cast spells with the same name as a card exiled with Circu.
gk1	GRN Guild Kit	2018-11-02	10	Consuming Aberration	9b55fb72-237d-4935-b645-8ebc6eb4140e	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Horror	{3}{U}{B}	5	BU	BU			already reviewed	https://scryfall.com/card/gk1/10/consuming-aberration?utm_source=api	Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards. Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.
gk1	GRN Guild Kit	2018-11-02	11	Dimir Charm	4d99e786-585d-4026-9253-19741fb357de	covered		card_selection, hard_stack, removal, selection, stack, targeted_removal, topdeck_control	false		Covered by PRM role audit.	Instant	{U}{B}	2	BU	BU			already reviewed	https://scryfall.com/card/gk1/11/dimir-charm?utm_source=api	Choose one — • Counter target sorcery spell. • Destroy target creature with power 2 or less. • Look at the top three cards of target player's library. Put one back and the rest into that player's graveyard.
gk1	GRN Guild Kit	2018-11-02	12	Dimir Doppelganger	1916f120-4418-404a-aed5-b95ebf60d3a3			combat_body, copy_support, graveyard_hate, removal, targeted_removal				Creature — Shapeshifter	{1}{U}{B}	3	BU	BU			verify analyzer roles	https://scryfall.com/card/gk1/12/dimir-doppelganger?utm_source=api	{1}{U}{B}: Exile target creature card from a graveyard. This creature becomes a copy of that card, except it has this ability.
gk1	GRN Guild Kit	2018-11-02	13	Dimir Guildmage	1b6c67e5-5913-4db9-85d9-8dae57da02ee	covered		card_draw, combat_body, hand_attack, removal, repeatable_advantage	false		Covered by PRM role audit.	Creature — Human Wizard	{U/B}{U/B}	2	BU	BU			already reviewed	https://scryfall.com/card/gk1/13/dimir-guildmage?utm_source=api	({U/B} can be paid with either {U} or {B}.) {3}{U}: Target player draws a card. Activate only as a sorcery. {3}{B}: Target player discards a card. Activate only as a sorcery.
gk1	GRN Guild Kit	2018-11-02	14	Dinrova Horror	b1eb7a92-3055-426e-9716-cc6d2a69f0af			combat_body, removal, tempo_removal				Creature — Horror	{4}{U}{B}	6	BU	BU			verify analyzer roles	https://scryfall.com/card/gk1/14/dinrova-horror?utm_source=api	When this creature enters, return target permanent to its owner's hand, then that player discards a card.
gk1	GRN Guild Kit	2018-11-02	15	Glimpse the Unthinkable	552f0163-a19d-4671-888f-044fc0354875	covered		mill_support	false		Covered by PRM role audit.	Sorcery	{U}{B}	2	BU	BU	Mill		already reviewed	https://scryfall.com/card/gk1/15/glimpse-the-unthinkable?utm_source=api	Target player mills ten cards.
gk1	GRN Guild Kit	2018-11-02	16	Lazav, Dimir Mastermind	8027a610-613e-4640-9840-c8778694f312			combat_body, copy_support, self_protection				Legendary Creature — Shapeshifter	{U}{U}{B}{B}	4	BU	BU	Hexproof		verify analyzer roles	https://scryfall.com/card/gk1/16/lazav-dimir-mastermind?utm_source=api	Hexproof Whenever a creature card is put into an opponent's graveyard from anywhere, you may have Lazav become a copy of that card, except its name is Lazav, Dimir Mastermind, it's legendary in addition to its other types, and it has hexproof and this ability.
gk1	GRN Guild Kit	2018-11-02	17	Mirko Vosk, Mind Drinker	469da932-8186-4e54-a858-cfc72c4ded96			combat_body, combat_support, combat_threat				Legendary Creature — Vampire	{3}{U}{B}	5	BU	BU	Flying		verify analyzer roles	https://scryfall.com/card/gk1/17/mirko-vosk-mind-drinker?utm_source=api	Flying Whenever Mirko Vosk deals combat damage to a player, that player reveals cards from the top of their library until they reveal four land cards, then puts those cards into their graveyard.
gk1	GRN Guild Kit	2018-11-02	18	Moroii	418be12f-b40a-4018-86c1-98c9000a999a			combat_body, combat_threat				Creature — Vampire	{2}{U}{B}	4	BU	BU	Flying		verify analyzer roles	https://scryfall.com/card/gk1/18/moroii?utm_source=api	Flying At the beginning of your upkeep, you lose 1 life.
gk1	GRN Guild Kit	2018-11-02	19	Nightveil Specter	4ce83f8c-b27e-4e5b-b19b-76b66aaa904b	covered		card_selection, combat_body, combat_support, combat_threat, repeatable_advantage, repeatable_draw, selection	false		Covered by PRM role audit.	Creature — Specter	{U/B}{U/B}{U/B}	3	BU	BU	Flying		already reviewed	https://scryfall.com/card/gk1/19/nightveil-specter?utm_source=api	Flying Whenever this creature deals combat damage to a player, that player exiles the top card of their library. You may play lands and cast spells from among cards exiled with this creature.
gk1	GRN Guild Kit	2018-11-02	20	Szadek, Lord of Secrets	c40c823c-5954-457a-81a6-02683da57f7f			combat_body, combat_support, combat_threat, counter_support, mill_support, replacement_engine				Legendary Creature — Vampire	{3}{U}{U}{B}{B}	7	BU	BU	Flying, Mill		verify analyzer roles	https://scryfall.com/card/gk1/20/szadek-lord-of-secrets?utm_source=api	Flying If Szadek would deal combat damage to a player, instead put that many +1/+1 counters on Szadek and that player mills that many cards.
gk1	GRN Guild Kit	2018-11-02	21	Warped Physique	f45fdef0-15b1-472b-9485-465c49a48a85			scalable_spell				Instant	{U}{B}	2	BU	BU			verify analyzer roles	https://scryfall.com/card/gk1/21/warped-physique?utm_source=api	Target creature gets +X/-X until end of turn, where X is the number of cards in your hand.
gk1	GRN Guild Kit	2018-11-02	22	Dimir Signet	7d881c57-0bd9-4c57-aa4a-b10808b86143	covered		mana_fixing, ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{2}	2		BU			already reviewed	https://scryfall.com/card/gk1/22/dimir-signet?utm_source=api	{1}, {T}: Add {U}{B}.
