setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
grn	Guilds of Ravnica	2018-10-05	1	Blade Instructor	77cff683-013c-4568-8ae0-f86ef0590fe1			combat_body, combat_support, counter_support				Creature — Human Soldier	{2}{W}	3	W	W	Mentor		verify analyzer roles	https://scryfall.com/card/grn/1/blade-instructor?utm_source=api	Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
grn	Guilds of Ravnica	2018-10-05	2	Bounty Agent	056b5d53-f2fd-4e83-9fd3-d8f0d0be64b9			combat_body, combat_threat, removal, sacrifice_support, targeted_removal				Creature — Human Soldier	{1}{W}	2	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/grn/2/bounty-agent?utm_source=api	Vigilance {T}, Sacrifice this creature: Destroy target legendary permanent that's an artifact, creature, or enchantment.
grn	Guilds of Ravnica	2018-10-05	3	Candlelight Vigil	7153bf15-53f8-445e-acbb-35b4f4b3d551			combat_support				Enchantment — Aura	{3}{W}	4	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/grn/3/candlelight-vigil?utm_source=api	Enchant creature Enchanted creature gets +3/+2 and has vigilance.
grn	Guilds of Ravnica	2018-10-05	4	Citywide Bust	3ac01298-e45b-4ea0-8379-2074279716a4			mass_removal, removal				Sorcery	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/grn/4/citywide-bust?utm_source=api	Destroy all creatures with toughness 4 or greater.
grn	Guilds of Ravnica	2018-10-05	5	Collar the Culprit	adc03c37-33c7-4b92-b9fd-4608e6c372c4			removal, targeted_removal				Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/grn/5/collar-the-culprit?utm_source=api	Destroy target creature with toughness 4 or greater.
grn	Guilds of Ravnica	2018-10-05	6	Conclave Tribunal	e938ee4c-d5df-4d93-bd61-9e518fb1dc30			cost_reduction, removal, targeted_removal				Enchantment	{3}{W}	4	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/grn/6/conclave-tribunal?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
grn	Guilds of Ravnica	2018-10-05	7	Crush Contraband	ecbc234d-e1d3-4bcc-81d4-fffc2c7ea16a			removal, targeted_removal				Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/grn/7/crush-contraband?utm_source=api	Choose one or both — • Exile target artifact. • Exile target enchantment.
grn	Guilds of Ravnica	2018-10-05	8	Dawn of Hope	d7a38484-2acc-49a6-b32d-d54dddb14d31			card_draw, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, token_support				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/grn/8/dawn-of-hope?utm_source=api	Whenever you gain life, you may pay {2}. If you do, draw a card. {3}{W}: Create a 1/1 white Soldier creature token with lifelink.
grn	Guilds of Ravnica	2018-10-05	9	Demotion	c333eb79-300e-4dc0-9126-8dca1bac6ef2			combat_support				Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/grn/9/demotion?utm_source=api	Enchant creature Enchanted creature can't block, and its activated abilities can't be activated.
grn	Guilds of Ravnica	2018-10-05	10	Divine Visitation	5917216f-5b42-41fa-8976-401bdbeb782e			replacement_engine				Enchantment	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/grn/10/divine-visitation?utm_source=api	If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead.
