setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	1	Mu Yanling	34e1477a-c0fb-4364-bb93-04a85c0c2517			card_draw, combat_support, direct_draw, draw, extra_turn, finisher, repeatable_advantage				Legendary Planeswalker — Yanling	{4}{U}{U}	6	U	U			verify analyzer roles	https://scryfall.com/card/gs1/1/mu-yanling?utm_source=api	+2: Target creature can't be blocked this turn. −3: Draw two cards. −10: Tap all creatures your opponents control. You take an extra turn after this one.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	T1	Mowu // Mowu	f425d9db-08e9-4f06-9b08-2a5804d4f0fd			combat_body				Token Legendary Creature — Dog // Token Legendary Creature — Dog		0		G			verify analyzer roles	https://scryfall.com/card/gs1/T1/mowu-mowu?utm_source=api	Mowu:  // Mowu:
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	2	Colorful Feiyi Sparrow	82657b8b-de2d-46ab-ab56-e2790e326d95			combat_body, combat_support, combat_threat				Creature — Bird	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/gs1/2/colorful-feiyi-sparrow?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.)
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	3	Purple-Crystal Crab	df4569d7-ee75-4ba0-bbc3-7766ac686523			card_draw, combat_body, direct_draw, draw, sacrifice_support				Creature — Crab	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/gs1/3/purple-crystal-crab?utm_source=api	When this creature dies, draw a card.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	4	Vivid Flying Fish	e8ec9ba4-dc6b-437d-863f-5ec37f4ae9cd			combat_body, combat_support				Creature — Fish Lizard	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/gs1/4/vivid-flying-fish?utm_source=api	This creature has flying as long as it's attacking. (It can't be blocked except by creatures with flying or reach.)
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	5	Welkin Tern	010c660a-a67b-48f0-a63a-15470eb89f69			combat_body, combat_support, combat_threat				Creature — Bird	{1}{U}	2	U	U	Flying		verify analyzer roles	https://scryfall.com/card/gs1/5/welkin-tern?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) This creature can block only creatures with flying.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	6	Heavenly Qilin	cbe1c80a-db82-460a-b6e9-d0e429628aa1			combat_body, combat_support, combat_threat				Creature — Kirin	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/gs1/6/heavenly-qilin?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever this creature attacks, another target creature you control gains flying until end of turn.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	7	Armored Whirl Turtle	51a886f2-9b0a-4964-9d59-99dc1a68a97c			combat_body				Creature — Turtle	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/gs1/7/armored-whirl-turtle?utm_source=api	
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	8	Nine-Tail White Fox	51f4eb1f-abf2-425a-b78e-cafac177da89			card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Creature — Fox Spirit	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/gs1/8/nine-tail-white-fox?utm_source=api	Whenever this creature deals combat damage to a player, draw a card.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	9	Earth-Origin Yak	c2b659ef-68f6-452c-94b5-2872f4e7b069			combat_body, combat_support				Creature — Ox	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/gs1/9/earth-origin-yak?utm_source=api	When this creature enters, creatures you control get +1/+1 until end of turn.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	10	Moon-Eating Dog	a8e69725-cd57-4340-83b1-498bc0bd77b8			combat_body, combat_support				Creature — Dog	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/gs1/10/moon-eating-dog?utm_source=api	As long as you control a Yanling planeswalker, this creature has flying. (It can't be blocked except by creatures with flying or reach.)
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	11	Stormcloud Spirit	0dc8bdbb-996b-47d7-a5e5-7bdb6d9280fe			combat_body, combat_support, combat_threat				Creature — Spirit	{3}{U}{U}	5	U	U	Flying		verify analyzer roles	https://scryfall.com/card/gs1/11/stormcloud-spirit?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.)
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	12	Ancestor Dragon	60b03a44-a7bd-48fa-8c8f-1704aed02cd7			combat_body, combat_support, combat_threat, lifegain				Creature — Dragon	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/gs1/12/ancestor-dragon?utm_source=api	Flying Whenever one or more creatures you control attack, you gain 1 life for each attacking creature.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	13	Cloak of Mists	13358b1d-0a35-48ed-a7fb-70359fa3998f	covered		combat_support	false		Covered by USG role audit.	Enchantment — Aura	{1}{U}	2	U	U	Enchant		already reviewed	https://scryfall.com/card/gs1/13/cloak-of-mists?utm_source=api	Enchant creature Enchanted creature can't be blocked.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	14	Qilin's Blessing	31585036-cdc3-47f5-9fc7-913212826f2a			combat_support				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/gs1/14/qilins-blessing?utm_source=api	Target creature gets +2/+2 until end of turn.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	15	Drown in Shapelessness	a3874282-9887-4b53-b80e-564ac99cca23			removal, tempo_removal				Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/gs1/15/drown-in-shapelessness?utm_source=api	Return target creature to its owner's hand.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	16	Dragon's Presence	4fb7aeb6-2fc3-459e-bad8-1c7ea92f7ae7			removal, targeted_removal				Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/gs1/16/dragons-presence?utm_source=api	Dragon's Presence deals 5 damage to target attacking or blocking creature.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	17	Brilliant Plan	d83e1a42-11d1-412a-b66c-850c7a528777	covered		card_draw, direct_draw, draw	false		Covered by PTK role audit.	Sorcery	{4}{U}	5	U	U			already reviewed	https://scryfall.com/card/gs1/17/brilliant-plan?utm_source=api	Draw three cards.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	18	Rhythmic Water Vortex	373c6cd0-0bf7-4dab-bc18-7ecf5f015e10			restricted_tutor, tutor				Sorcery	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/gs1/18/rhythmic-water-vortex?utm_source=api	Return up to two target creatures to their owner's hand. Search your library and/or graveyard for a card named Mu Yanling, reveal it, and put it into your hand. If you searched your library this way, shuffle.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	19	Meandering River	2d9663be-c466-4191-85e2-a69ce0965432			land_base, land_slot, mana_source				Land		0		UW			verify analyzer roles	https://scryfall.com/card/gs1/19/meandering-river?utm_source=api	This land enters tapped. {T}: Add {W} or {U}.
gs1	Global Series Jiang Yanggu & Mu Yanling	2018-06-22	20	Plains	bc71ebf6-2056-41f7-be35-b2e5c34afa99	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Plains		0		W			already reviewed	https://scryfall.com/card/gs1/20/plains?utm_source=api	({T}: Add {W}.)
