setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
gtc	Gatecrash	2013-02-01	1	Aerial Maneuver	d4ccc319-db23-4ef4-8129-317426f3a794			combat_support				Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/gtc/1/aerial-maneuver?utm_source=api	Target creature gets +1/+1 and gains flying and first strike until end of turn.
gtc	Gatecrash	2013-02-01	2	Angelic Edict	36de8401-ee4e-413f-91ad-06924e39c857			removal, targeted_removal				Sorcery	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/gtc/2/angelic-edict?utm_source=api	Exile target creature or enchantment.
gtc	Gatecrash	2013-02-01	3	Angelic Skirmisher	29e07d57-0f05-441c-844f-cf1d71102b2d			combat_body, combat_threat, lifegain				Creature — Angel	{4}{W}{W}	6	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/gtc/3/angelic-skirmisher?utm_source=api	Flying At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.
gtc	Gatecrash	2013-02-01	4	Assault Griffin	802b9333-c256-410a-a635-a22bfeda679f			combat_body, combat_threat				Creature — Griffin	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/gtc/4/assault-griffin?utm_source=api	Flying
gtc	Gatecrash	2013-02-01	5	Basilica Guards	24d2e266-2dcb-40f1-a465-cfc63e9aa6ae			combat_body, direct_finisher, finisher, lifegain, repeatable_finisher				Creature — Human Soldier	{2}{W}	3	W	W	Extort, Defender		verify analyzer roles	https://scryfall.com/card/gtc/5/basilica-guards?utm_source=api	Defender Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
gtc	Gatecrash	2013-02-01	6	Blind Obedience	5d998c09-7d89-4265-ada4-6d80cbf56dae			direct_finisher, finisher, lifegain, repeatable_finisher, stax_piece				Enchantment	{1}{W}	2	W	W	Extort		verify analyzer roles	https://scryfall.com/card/gtc/6/blind-obedience?utm_source=api	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Artifacts and creatures your opponents control enter tapped.
gtc	Gatecrash	2013-02-01	7	Boros Elite	7c83fb45-03af-4f1a-b7e3-2c4f47511658			combat_body, combat_support				Creature — Human Soldier	{W}	1	W	W	Battalion		verify analyzer roles	https://scryfall.com/card/gtc/7/boros-elite?utm_source=api	Battalion — Whenever this creature and at least two other creatures attack, this creature gets +2/+2 until end of turn.
gtc	Gatecrash	2013-02-01	8	Court Street Denizen	34312179-f3f9-47ca-bdf4-5abbd493876e			combat_body, removal, tempo_removal				Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/gtc/8/court-street-denizen?utm_source=api	Whenever another white creature you control enters, tap target creature an opponent controls.
gtc	Gatecrash	2013-02-01	9	Daring Skyjek	f15a202d-c1c4-49bd-924a-7a0a5667ff70			combat_body, combat_support				Creature — Human Knight	{1}{W}	2	W	W	Battalion		verify analyzer roles	https://scryfall.com/card/gtc/9/daring-skyjek?utm_source=api	Battalion — Whenever this creature and at least two other creatures attack, this creature gains flying until end of turn.
gtc	Gatecrash	2013-02-01	10	Debtor's Pulpit	541c6564-ec39-4b14-8c02-dd6a5d122ed3			removal, tempo_removal				Enchantment — Aura	{4}{W}	5	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/gtc/10/debtors-pulpit?utm_source=api	Enchant land Enchanted land has "{T}: Tap target creature."
gtc	Gatecrash	2013-02-01	11	Dutiful Thrull	744fcf77-b597-48a0-92ec-f3a617c03df1			combat_body, protection, regeneration_protection, targeted_protection				Creature — Thrull	{W}	1	W	BW			verify analyzer roles	https://scryfall.com/card/gtc/11/dutiful-thrull?utm_source=api	{B}: Regenerate this creature.
