setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
h09	Premium Deck Series: Slivers	2009-11-20	1	Metallic Sliver	2dfafd63-83fb-4783-8e12-30018680a905	covered	combat_body	combat_body	false		Covered by Tempest role audit.	Artifact Creature — Sliver	{1}	1					already reviewed	https://scryfall.com/card/h09/1/metallic-sliver?utm_source=api	
h09	Premium Deck Series: Slivers	2009-11-20	2	Virulent Sliver	767c896d-4ff6-4cd4-b3a4-80179e84e1cd	covered	alternate_finisher, combat_body, combat_support, finisher	alternate_finisher, combat_body, combat_support, finisher	false		Analyzer roles accepted during batch clean pass.	Creature — Sliver	{G}	1	G	G			verify analyzer roles	https://scryfall.com/card/h09/2/virulent-sliver?utm_source=api	All Sliver creatures have poisonous 1. (Whenever a Sliver deals combat damage to a player, that player gets a poison counter. A player with ten or more poison counters loses the game.)
h09	Premium Deck Series: Slivers	2009-11-20	3	Amoeboid Changeling	68865793-daeb-4c55-80cb-12853f9f96c4	covered	combat_body, kindred_support	combat_body, kindred_support	false		Analyzer roles accepted during batch clean pass.	Creature — Shapeshifter	{1}{U}	2	U	U	Changeling		verify analyzer roles	https://scryfall.com/card/h09/3/amoeboid-changeling?utm_source=api	Changeling (This card is every creature type.) {T}: Target creature gains all creature types until end of turn. {T}: Target creature loses all creature types until end of turn.
h09	Premium Deck Series: Slivers	2009-11-20	4	Winged Sliver	24e96682-14ca-4a62-a920-2d686c8a5dbf	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Tempest role audit.	Creature — Sliver	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/h09/4/winged-sliver?utm_source=api	All Sliver creatures have flying.
h09	Premium Deck Series: Slivers	2009-11-20	5	Clot Sliver	2a885729-0618-4a25-b18d-b0587f14718d	covered	combat_body	combat_body	false		Covered by Tempest role audit.	Creature — Sliver	{1}{B}	2	B	B	Regenerate		already reviewed	https://scryfall.com/card/h09/5/clot-sliver?utm_source=api	All Slivers have "{2}: Regenerate this permanent."
h09	Premium Deck Series: Slivers	2009-11-20	6	Frenzy Sliver	d512d4ae-5db3-4fe5-8017-6a942004712d	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Sliver	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/h09/6/frenzy-sliver?utm_source=api	All Sliver creatures have frenzy 1. (Whenever a Sliver attacks and isn't blocked, it gets +1/+0 until end of turn.)
h09	Premium Deck Series: Slivers	2009-11-20	7	Heart Sliver	6dd1f375-e8f2-4725-8fbd-9750c4860820	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Tempest role audit.	Creature — Sliver	{1}{R}	2	R	R			already reviewed	https://scryfall.com/card/h09/7/heart-sliver?utm_source=api	All Sliver creatures have haste.
h09	Premium Deck Series: Slivers	2009-11-20	8	Gemhide Sliver	2c09ca09-8e62-4fe3-9b3d-61573dd2ffbc	covered	combat_body, mana_fixing, ramp, stable_ramp	combat_body, mana_fixing, ramp, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Creature — Sliver	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/h09/8/gemhide-sliver?utm_source=api	All Slivers have "{T}: Add one mana of any color."
h09	Premium Deck Series: Slivers	2009-11-20	9	Muscle Sliver	06e0459f-d691-4470-884a-27c09b6612d2	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Tempest role audit.	Creature — Sliver	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/h09/9/muscle-sliver?utm_source=api	All Sliver creatures get +1/+1.
h09	Premium Deck Series: Slivers	2009-11-20	10	Quick Sliver	530a5740-041c-42df-8fe0-fcea87258038	covered		combat_body, replacement_engine	false		Covered by LGN role audit.	Creature — Sliver	{1}{G}	2	G	G	Flash		already reviewed	https://scryfall.com/card/h09/10/quick-sliver?utm_source=api	Flash Any player may cast Sliver spells as though they had flash.
