setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
h1r	Modern Horizons 1 Timeshifts	2021-06-18	1	Ephemerate	0fd57894-b917-41c8-a394-360d1d31b236	covered		card_selection, flicker, protection, repeatable_advantage, repeatable_draw, rescue_protection, selection	false		Covered by PRM role audit.	Instant	{W}	1	W	W	Rebound		already reviewed	https://scryfall.com/card/h1r/1/ephemerate?utm_source=api	Exile target creature you control, then return it to the battlefield under its owner's control. Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
h1r	Modern Horizons 1 Timeshifts	2021-06-18	2	Generous Gift	fae37e28-e137-4177-b973-fa8b4dd8f409	covered		removal, targeted_removal	false		Covered by PRM role audit.	Instant	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/h1r/2/generous-gift?utm_source=api	Destroy target permanent. Its controller creates a 3/3 green Elephant creature token.
h1r	Modern Horizons 1 Timeshifts	2021-06-18	3	Giver of Runes	4ec85850-f274-4c0c-9a03-0488267caa14	covered		combat_body, protection, targeted_protection	false		Covered by PRM role audit.	Creature — Kor Cleric	{W}	1	W	W			already reviewed	https://scryfall.com/card/h1r/3/giver-of-runes?utm_source=api	{T}: Another target creature you control gains protection from colorless or from the color of your choice until end of turn.
h1r	Modern Horizons 1 Timeshifts	2021-06-18	4	King of the Pride	96d0e4dd-6cc2-4349-ac44-785b50f8dd90	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Cat	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/h1r/4/king-of-the-pride?utm_source=api	Other Cats you control get +2/+1.
h1r	Modern Horizons 1 Timeshifts	2021-06-18	5	Ranger-Captain of Eos	cada3481-cc2b-4412-b9b5-0436af53aad2	covered		combat_body, hate_piece, restricted_tutor, sacrifice_support, soft_stack, stack, stax_piece, tutor	false		Covered by PRM role audit.	Creature — Human Soldier Ranger	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/h1r/5/ranger-captain-of-eos?utm_source=api	When this creature enters, you may search your library for a creature card with mana value 1 or less, reveal it, put it into your hand, then shuffle. Sacrifice this creature: Your opponents can't cast noncreature spells this turn.
h1r	Modern Horizons 1 Timeshifts	2021-06-18	6	Sisay, Weatherlight Captain	fb777610-7562-4d9d-8497-62c562e6d7cb	covered		cheat_into_play, combat_body, combat_support, cost_reduction, repeatable_tutor, restricted_tutor, tutor	false		Covered by PRM role audit.	Legendary Creature — Human Soldier	{2}{W}	3	W	BGRUW			already reviewed	https://scryfall.com/card/h1r/6/sisay-weatherlight-captain?utm_source=api	Sisay gets +1/+1 for each color among other legendary permanents you control. {W}{U}{B}{R}{G}: Search your library for a legendary permanent card with mana value less than Sisay's power, put that card onto the battlefield, then shuffle.
h1r	Modern Horizons 1 Timeshifts	2021-06-18	7	Archmage's Charm	85cbb035-25df-43bb-ae06-ab098f448b02	covered		card_draw, hard_stack, removal, stack, tempo_removal, theft_support	false		Covered by PRM role audit.	Instant	{U}{U}{U}	3	U	U			already reviewed	https://scryfall.com/card/h1r/7/archmages-charm?utm_source=api	Choose one — • Counter target spell. • Target player draws two cards. • Gain control of target nonland permanent with mana value 1 or less.
h1r	Modern Horizons 1 Timeshifts	2021-06-18	8	Faerie Seer	b2e65e8b-5f08-4cc2-ab1d-00f8903dbea2	covered		card_selection, combat_body, combat_threat, selection	false		Covered by PRM role audit.	Creature — Faerie Wizard	{U}	1	U	U	Scry, Flying		already reviewed	https://scryfall.com/card/h1r/8/faerie-seer?utm_source=api	Flying When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
h1r	Modern Horizons 1 Timeshifts	2021-06-18	9	Force of Negation	ac2173f9-f223-440a-9231-fd98762bdc6f	covered		hard_stack, stack	false		Covered by PRM role audit.	Instant	{1}{U}{U}	3	U	U			already reviewed	https://scryfall.com/card/h1r/9/force-of-negation?utm_source=api	If it's not your turn, you may exile a blue card from your hand rather than pay this spell's mana cost. Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.
h1r	Modern Horizons 1 Timeshifts	2021-06-18	10	Tribute Mage	c2b51295-8820-425f-a517-55231123c7de	covered		combat_body, restricted_tutor, tutor	false		Covered by PRM role audit.	Creature — Human Wizard	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/h1r/10/tribute-mage?utm_source=api	When this creature enters, you may search your library for an artifact card with mana value 2, reveal that card, put it into your hand, then shuffle.
