setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	1	Klement, Novice Acolyte	0432a120-be1b-496b-b8cd-36f757e09425	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Tiefling Cleric	{1}{W}	2	W	W	Specialize		verify analyzer roles	https://scryfall.com/card/hbg/1/klement-novice-acolyte?utm_source=api	Specialize {2} When Klement, Novice Acolyte enters, creature cards in your hand perpetually get +1/+1.
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	1b	Klement, Death Acolyte	efee1083-77c9-4c55-9676-b2f2a6507c1f	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Tiefling Cleric	{1}{W}{B}	3	BW	BW			verify analyzer roles	https://scryfall.com/card/hbg/1b/klement-death-acolyte?utm_source=api	When this creature specializes, create two 2/2 black Zombie creature tokens.
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	1g	Klement, Nature Acolyte	dd1960ae-7e67-42aa-a2eb-59205126aa11	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Tiefling Cleric	{1}{G}{W}	3	GW	GW			verify analyzer roles	https://scryfall.com/card/hbg/1g/klement-nature-acolyte?utm_source=api	When Klement, Nature Acolyte leaves the battlefield, create a 4/4 green Ox creature token.
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	1r	Klement, Tempest Acolyte	7108939e-521f-4a1a-b148-d83e38708a6a	covered	combat_body, combat_threat, direct_finisher, finisher, multiplier_support, removal, repeatable_finisher, replacement_engine, targeted_removal	combat_body, combat_threat, direct_finisher, finisher, multiplier_support, removal, repeatable_finisher, replacement_engine, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Tiefling Cleric	{1}{R}{W}	3	RW	RW	Double strike		verify analyzer roles	https://scryfall.com/card/hbg/1r/klement-tempest-acolyte?utm_source=api	Double strike Whenever Klement, Tempest Acolyte is dealt damage, it deals that much damage to any target.
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	1u	Klement, Knowledge Acolyte	3aa9bae0-7cc6-4002-beef-184772f99fb4	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Tiefling Cleric	{1}{W}{U}	3	UW	UW	Seek, Vigilance		verify analyzer roles	https://scryfall.com/card/hbg/1u/klement-knowledge-acolyte?utm_source=api	Vigilance When this creature specializes, seek three nonland permanent cards. Choose one of those cards and shuffle the rest into your library.
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	1w	Klement, Life Acolyte	2d22d905-2f30-426c-b610-e5579141da10	covered	combat_body, combat_threat, counter_support, lifegain	combat_body, combat_threat, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Tiefling Cleric	{1}{W}{W}	3	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/hbg/1w/klement-life-acolyte?utm_source=api	Lifelink When this creature specializes, you get a one-time boon with "When you cast a creature spell, that creature enters with a lifelink counter on it."
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	2	Lae'zel, Githyanki Warrior	a5fd1ba0-4416-4f02-b2be-d71be39e3f9b	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Gith Warrior	{3}{W}	4	W	W	Double strike, Specialize		verify analyzer roles	https://scryfall.com/card/hbg/2/laezel-githyanki-warrior?utm_source=api	Double strike Specialize {1} When you cast this spell, it gains "When this creature becomes the target of a spell or ability an opponent controls, you may exile this creature, then return it to the battlefield under its owner's control."
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	2b	Lae'zel, Callous Warrior	d722052b-c91a-4044-afdd-bf5ee1077d82	covered	battlefield_recursion, card_selection, combat_body, combat_threat, mass_recursion, multiplier_support, recursion, replacement_engine	battlefield_recursion, card_selection, combat_body, combat_threat, mass_recursion, multiplier_support, recursion, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Gith Warrior	{3}{W}{B}	5	BW	BW	Double strike		verify analyzer roles	https://scryfall.com/card/hbg/2b/laezel-callous-warrior?utm_source=api	Double strike When this creature enters or specializes, return up to two target creature cards with total mana value 3 or less from your graveyard to the battlefield.
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	2g	Lae'zel, Primal Warrior	a3ad8244-c0cc-468b-aa1a-4fb87bc7a4dc	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Gith Warrior	{3}{G}{W}	5	GW	GW	Double strike		verify analyzer roles	https://scryfall.com/card/hbg/2g/laezel-primal-warrior?utm_source=api	Double strike When this creature enters or specializes, other creatures you control and creature cards in your hand perpetually get +1/+1.
hbg	Alchemy Horizons: Baldur's Gate	2022-07-07	2r	Lae'zel, Wrathful Warrior	3f520cbb-4c02-468d-9861-be2cc6cbf6a9	covered	combat_body, combat_threat, multiplier_support, replacement_engine, token_support	combat_body, combat_threat, multiplier_support, replacement_engine, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Gith Warrior	{3}{R}{W}	5	RW	RW	Double strike		verify analyzer roles	https://scryfall.com/card/hbg/2r/laezel-wrathful-warrior?utm_source=api	Double strike When this creature enters or specializes, create two 1/1 white Soldier creature tokens.
