setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
hho	Happy Holidays	2006-12-31	6	Fruitcake Elemental	2fa739c6-c1c4-4e08-bbe3-43bfee94d0c3			combat_body, self_protection				Creature — Elemental	{1}{G}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/hho/6/fruitcake-elemental?utm_source=api	Fruitcake Elemental is indestructible. At the end of your turn, Fruitcake Elemental deals 7 damage to you. {3}: Target player gains control of Fruitcake Elemental.
hho	Happy Holidays	2006-12-31	7	Gifts Given	e717c42b-3177-42e1-83c1-11da11d62aa5							Instant	{3}{U}	4	U	U			manual review	https://scryfall.com/card/hho/7/gifts-given?utm_source=api	Search target opponent's library for four cards with different names and reveal them. That player chooses two of those cards. Put the chosen cards into the player's graveyard and the rest into your hand. Then that player shuffles their library.
hho	Happy Holidays	2006-12-31	8	Evil Presents	b91d2680-e6f4-490f-bd78-3162a4c270aa			combat_support				Sorcery	{2}{B}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/hho/8/evil-presents?utm_source=api	Put a creature card from your hand into play under target opponent's control. That creature attacks each turn if able . . . and always attacks its controller.
hho	Happy Holidays	2006-12-31	9	Season's Beatings	d3c36e20-3c6c-423a-a9ba-8e8bd7b735e6			removal, targeted_removal				Sorcery	{R}{R}{R}{R}	4	R	R	Family gathering, Family Gathering		verify analyzer roles	https://scryfall.com/card/hho/9/seasons-beatings?utm_source=api	Family gathering — Each creature target player controls deals damage equal to its power to another random creature that player controls.
hho	Happy Holidays	2006-12-31	10	Snow Mercy	768ae935-3a06-4317-aee4-22ccc2ab84b8			combat_support, counter_support				Snow Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/hho/10/snow-mercy?utm_source=api	Whenever a creature deals damage to you, put a globe counter on it. {T}, {Q}, {T}, {Q}, {T}: Tap all creatures with globe counters on them.
hho	Happy Holidays	2006-12-31	11	Yule Ooze	a01cab88-0874-4b2d-8fbc-a9601a0572f3			combat_body, counter_support				Creature — Ooze	{2}{R}{G}	4	GR	GR	Convert		verify analyzer roles	https://scryfall.com/card/hho/11/yule-ooze?utm_source=api	At the beginning of your upkeep, destroy another nonland permanent chosen at random, then put a number of +1/+1 counters on Yule Ooze equal to that permanent's converted mana cost. {R}{G}, Eat some food: Regenerate Yule Ooze.
hho	Happy Holidays	2006-12-31	12	Naughty // Nice	e51d8b31-17f6-417b-a9f5-f5da5ec534dd			direct_tutor, tutor				Sorcery // Sorcery	{1}{B}{B} // {1}{W}{W}	6	BW	BW			verify analyzer roles	https://scryfall.com/card/hho/12/naughty-nice?utm_source=api	Naughty: Search another target player's library for a card and put that card into your hand. Then shuffle that player's library. // Nice: Search your library for a card and put it into another target player's hand. Then shuffle your library.
hho	Happy Holidays	2006-12-31	13	Stocking Tiger	4dc780cc-9961-445f-93bc-54ec80789bce			combat_body, combat_support				Artifact Creature — Cat Construct	{5}	5					verify analyzer roles	https://scryfall.com/card/hho/13/stocking-tiger?utm_source=api	Stocking Tiger enters with a sealed Magic booster pack under it. When Stocking Tiger deals combat damage to a player, unwrap the booster pack and put it into your hand.
hho	Happy Holidays	2006-12-31	14	Mishra's Toy Workshop	714d7ae4-b51b-4587-8722-9084b2847e4e			land_base, land_slot, mana_source, stable_ramp				Land		0					verify analyzer roles	https://scryfall.com/card/hho/14/mishras-toy-workshop?utm_source=api	{T}: Add {C}{C}{C}. Spend this mana only on spells and abilities that put tokens onto the battlefield. Use toys to represent the tokens.
hho	Happy Holidays	2006-12-31	15	Goblin Sleigh Ride	22eee71d-135b-4e18-b00f-f3be4fa42f4d			removal, targeted_removal				Sorcery	{1}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/hho/15/goblin-sleigh-ride?utm_source=api	Target creature you control climbs into Goblin Sleigh Ride. You slide them on their merry way. If the creature stayed on, it deals damage equal to its toughness to each other creature touched during the slide.
