setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
hob	The Hobbit	2026-08-14	29	An Unexpected Party // At the Door	38503d34-f4f9-4eeb-9b1e-4fec1df921b3	covered	card_selection, combat_support, mana_sink, scalable_spell, token_support	card_selection, combat_support, mana_sink, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment // Sorcery — Adventure	{2}{W}{W} // {X}{2}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/hob/29/an-unexpected-party-at-the-door?utm_source=api	An Unexpected Party: As this enchantment enters, choose a creature type. Creatures you control of the chosen type get +2/+2. // At the Door: Create X 2/2 red Dwarf creature tokens. (Then exile this card. You may cast the enchantment later from exile.)
hob	The Hobbit	2026-08-14	32	Bilbo, Luckwearer // Burglar's Plot	a73d9109-36e0-40ea-ab06-5c5f7eb4ac54	covered	card_draw, card_selection, combat_body, combat_support, direct_draw, donation_support, draw, removal, repeatable_advantage, repeatable_draw, selection, tempo_removal, theft_support	card_draw, card_selection, combat_body, combat_support, direct_draw, donation_support, draw, removal, repeatable_advantage, repeatable_draw, selection, tempo_removal, theft_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Halfling Rogue // Sorcery — Adventure	{1}{U} // {4}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/hob/32/bilbo-luckwearer-burglars-plot?utm_source=api	Bilbo, Luckwearer: Bilbo can't be blocked. Whenever Bilbo deals combat damage to a player, draw a card, then discard a card. // Burglar's Plot: Exchange control of two target nonland permanents that share a card type. (Then exile this card. You may cast the creature later from exile.)
hob	The Hobbit	2026-08-14	33	Bilbo, Thief in the Night	72a9a85d-7cfc-4b3c-82db-9d35be6c0982	covered	card_selection, combat_body, combat_support, cost_reduction, ramp, recursion, repeatable_advantage, repeatable_draw, replacement_engine, replay_recursion, selection	card_selection, combat_body, combat_support, cost_reduction, ramp, recursion, repeatable_advantage, repeatable_draw, replacement_engine, replay_recursion, selection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Halfling Rogue	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/hob/33/bilbo-thief-in-the-night?utm_source=api	Spells you cast from anywhere other than your hand cost {1} less to cast. Whenever Bilbo attacks, you may cast an artifact, instant, or sorcery spell from your graveyard. If an instant or sorcery spell cast this way would be put into your graveyard, exile it instead.
hob	The Hobbit	2026-08-14	53	Riddles in the Dark	78bed291-0ec7-466f-bc7a-9dae7d0b56ae	covered	card_selection, face_down_support	card_selection, face_down_support	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/hob/53/riddles-in-the-dark?utm_source=api	Look at the top four cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of the piles. Put that pile into your hand and the other into your graveyard.
hob	The Hobbit	2026-08-14	110	Smaug the Magnificent	c53b7602-5e36-4900-896c-844bf6eac22e	covered	burst_ramp, combat_body, combat_support, combat_threat, mana_fixing, ramp, token_support	burst_ramp, combat_body, combat_support, combat_threat, mana_fixing, ramp, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Dragon	{2}{R}{R}	4	R	R	Flying, Treasure, Haste		verify analyzer roles	https://scryfall.com/card/hob/110/smaug-the-magnificent?utm_source=api	Flying, haste Whenever Smaug attacks, he deals damage equal to the number of Treasures you control to any target. At the beginning of your upkeep, create a Treasure token.
hob	The Hobbit	2026-08-14	114	Thorin, Mountain-king	94917b80-ac32-45ab-b4ee-157ade024bcd	covered	combat_body, combat_threat, removal, targeted_removal	combat_body, combat_threat, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Dwarf Noble	{3}{R}	4	R	R	Trample		verify analyzer roles	https://scryfall.com/card/hob/114/thorin-mountain-king?utm_source=api	Trample When Thorin enters, attach any number of target Equipment you control to target creature you control. When one or more Equipment become attached to that creature this way, that creature deals damage equal to its power to up to one target creature.
hob	The Hobbit	2026-08-14	142	Wood Elves	8973bd99-20f8-4867-90ef-50392147ee1b	covered	combat_body, land_acceleration, land_tutor, mana_fixing, ramp, tutor	combat_body, land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Covered by Portal role audit.	Creature — Elf Scout	{2}{G}	3	G	G			already reviewed	https://scryfall.com/card/hob/142/wood-elves?utm_source=api	When this creature enters, search your library for a Forest card, put that card onto the battlefield, then shuffle.
hob	The Hobbit	2026-08-14	169	Tom, Bert, and William	0ea58cfe-b37c-49a6-a3be-7e60065b8238	covered	card_draw, combat_body, direct_draw, draw, repeatable_advantage, sacrifice_support, selection	card_draw, combat_body, direct_draw, draw, repeatable_advantage, sacrifice_support, selection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Troll	{3}{B}{G}	5	BG	BG			verify analyzer roles	https://scryfall.com/card/hob/169/tom-bert-and-william?utm_source=api	{1}, Sacrifice another creature: Draw cards equal to the sacrificed creature's power, then discard a card. When Tom, Bert, and William die, if they were a creature, return them to the battlefield. They're an artifact. (They're no longer a creature.)
hob	The Hobbit	2026-08-14	170	The Arkenstone // Seek the Heart	09f09d0a-6054-4545-b81e-0295773cc5f0	covered	card_draw, card_selection, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, restricted_tutor, tutor	card_draw, card_selection, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact // Sorcery — Adventure	{5} // {2}{W}	5		W			verify analyzer roles	https://scryfall.com/card/hob/170/the-arkenstone-seek-the-heart?utm_source=api	The Arkenstone: Creatures you control get +1/+1. At the beginning of your end step, draw a card. // Seek the Heart: Search your library for a legendary creature card, reveal it, put it into your hand, then shuffle. (Then exile this card. You may cast the artifact later from exile.)
hob	The Hobbit	2026-08-14	176	My Precious // Allure of Power	2e728381-6db0-4c66-883d-82d718fef833	covered	artifact_support, card_draw, combat_support, direct_draw, draw, equipment_protection, protection, repeatable_draw, sacrifice_support, self_protection	artifact_support, card_draw, combat_support, direct_draw, draw, equipment_protection, protection, repeatable_draw, sacrifice_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact — Equipment // Instant — Adventure	{3} // {1}{B}	3		B	Equip		verify analyzer roles	https://scryfall.com/card/hob/176/my-precious-allure-of-power?utm_source=api	My Precious: Equipped creature has hexproof and can't be blocked. Equip—{2}, Pay 2 life. // Allure of Power: As an additional cost to cast this spell, sacrifice a creature. Draw two cards.
