setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
itp	Introductory Two-Player Set	1996-12-31	1	Alabaster Potion	2fcca686-03c8-4407-9f9f-2b7462470044	covered	lifegain, mana_sink, protection, scalable_spell, targeted_protection	lifegain, mana_sink, protection, scalable_spell, targeted_protection	false		Covered by Legends role audit.	Instant	{X}{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/itp/1/alabaster-potion?utm_source=api	Choose one — • Target player gains X life. • Prevent the next X damage that would be dealt to any target this turn.
itp	Introductory Two-Player Set	1996-12-31	2	Circle of Protection: Black	7a5a8414-4da4-4dd0-93ae-210d50f4d6f6	covered	broad_protection, protection	broad_protection, protection	false		Covered by Beta role audit; same prevention pattern as other Circle of Protection cards.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/itp/2/circle-of-protection:-black?utm_source=api	{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.
itp	Introductory Two-Player Set	1996-12-31	3	Circle of Protection: Red	df2738fe-9cd1-4347-8808-105fcfde1190	covered	broad_protection, protection	broad_protection, protection	false		Covered by Ice Age role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/itp/3/circle-of-protection:-red?utm_source=api	{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.
itp	Introductory Two-Player Set	1996-12-31	4	Healing Salve	8da8644c-75a1-4fe9-8e94-900d948d631c	covered	lifegain, protection, targeted_protection	lifegain, protection, targeted_protection	false		Covered by Mirage role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/itp/4/healing-salve?utm_source=api	Choose one — • Target player gains 3 life. • Prevent the next 3 damage that would be dealt to any target this turn.
itp	Introductory Two-Player Set	1996-12-31	5	Mesa Pegasus	8161f5b8-6aab-4133-ba2c-2e7b5774153e	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false			Creature — Pegasus	{1}{W}	2	W	W	Flying, Banding		already reviewed	https://scryfall.com/card/itp/5/mesa-pegasus?utm_source=api	Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
itp	Introductory Two-Player Set	1996-12-31	6	Pearled Unicorn	c071be90-0531-40cc-af46-0cbe80c4ddd4	covered	combat_body	combat_body	false			Creature — Unicorn	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/itp/6/pearled-unicorn?utm_source=api	
itp	Introductory Two-Player Set	1996-12-31	7	Reverse Damage	eaaf7c30-f463-4115-a40e-7dc717063413	covered	broad_protection, lifegain, protection	broad_protection, lifegain, protection	false			Instant	{1}{W}{W}	3	W	W			already reviewed	https://scryfall.com/card/itp/7/reverse-damage?utm_source=api	The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.
itp	Introductory Two-Player Set	1996-12-31	8	Energy Flux	7a756cd1-29a8-4edf-bb74-fbb5b4020022	covered	sacrifice_support, stax_piece	sacrifice_support, stax_piece	false		Covered by Antiquities role audit.	Enchantment	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/itp/8/energy-flux?utm_source=api	All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."
itp	Introductory Two-Player Set	1996-12-31	9	Feedback	2ff92886-5c17-47a4-a02b-a97432d9203e	covered	damage_engine, group_slug	damage_engine, group_slug	false			Enchantment — Aura	{2}{U}	3	U	U	Enchant		already reviewed	https://scryfall.com/card/itp/9/feedback?utm_source=api	Enchant enchantment At the beginning of the upkeep of enchanted enchantment's controller, this Aura deals 1 damage to that player.
itp	Introductory Two-Player Set	1996-12-31	10	Merfolk of the Pearl Trident	218d9277-c179-4de3-9c7f-79b5a6d4fa38	covered	combat_body	combat_body	false			Creature — Merfolk	{U}	1	U	U			already reviewed	https://scryfall.com/card/itp/10/merfolk-of-the-pearl-trident?utm_source=api	
itp	Introductory Two-Player Set	1996-12-31	11	Phantom Monster	bbd30183-524c-4b93-b953-90853ec3f39f	covered	combat_body, combat_threat	combat_body, combat_threat	false			Creature — Illusion	{3}{U}	4	U	U	Flying		already reviewed	https://scryfall.com/card/itp/11/phantom-monster?utm_source=api	Flying
itp	Introductory Two-Player Set	1996-12-31	12	Power Sink	39412e6d-2837-4729-abf9-e64a5ba87e40	covered	mana_sink, scalable_spell, soft_stack, stack	mana_sink, scalable_spell, soft_stack, stack	false		Covered by Ice Age role audit.	Instant	{X}{U}	1	U	U			already reviewed	https://scryfall.com/card/itp/12/power-sink?utm_source=api	Counter target spell unless its controller pays {X}. If that player doesn't, they tap all lands with mana abilities they control and lose all unspent mana.
itp	Introductory Two-Player Set	1996-12-31	13	Twiddle	773ad2ef-5acc-49ea-8d85-056330e87039	covered	ramp, tap_untap, tempo_support	ramp, tap_untap, tempo_support	false			Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/itp/13/twiddle?utm_source=api	You may tap or untap target artifact, creature, or land.
