setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
jud	Judgment	2002-05-27	1	Ancestor's Chosen	fc2ccab7-cab1-4463-b73d-898070136d74	covered		combat_body, combat_support, combat_threat, lifegain			Covered by JUD role audit.	Creature — Human Cleric	{5}{W}{W}	7	W	W	First strike		verify analyzer roles	https://scryfall.com/card/jud/1/ancestors-chosen?utm_source=api	First strike (This creature deals combat damage before creatures without first strike.) When this creature enters, you gain 1 life for each card in your graveyard.
jud	Judgment	2002-05-27	2	Aven Warcraft	c152f829-0452-407b-8020-023bf3d75c74	covered		broad_protection, combat_support, protection, self_protection			Covered by JUD role audit.	Instant	{2}{W}	3	W	W	Threshold		verify analyzer roles	https://scryfall.com/card/jud/2/aven-warcraft?utm_source=api	Creatures you control get +0/+2 until end of turn. Threshold — If there are seven or more cards in your graveyard, choose a color. Creatures you control also gain protection from the chosen color until end of turn.
jud	Judgment	2002-05-27	3	Battle Screech	e73131cd-b454-405b-9539-9d777e232b9e	covered		graveyard_support, token_support			Covered by JUD role audit.	Sorcery	{2}{W}{W}	4	W	W	Flashback		verify analyzer roles	https://scryfall.com/card/jud/3/battle-screech?utm_source=api	Create two 1/1 white Bird creature tokens with flying. Flashback—Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)
jud	Judgment	2002-05-27	4	Battlewise Aven	f165e482-5b87-4062-87ac-bbe8303f74c9	covered		combat_body, combat_support, combat_threat			Covered by JUD role audit.	Creature — Bird Soldier	{3}{W}	4	W	W	Flying, Threshold		verify analyzer roles	https://scryfall.com/card/jud/4/battlewise-aven?utm_source=api	Flying Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has first strike.
jud	Judgment	2002-05-27	5	Benevolent Bodyguard	c8c38570-0b42-4bfc-896f-f57f9a11ba9d	covered		combat_body, protection, sacrifice_support, self_protection, targeted_protection			Covered by JUD role audit.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/jud/5/benevolent-bodyguard?utm_source=api	Sacrifice this creature: Target creature you control gains protection from the color of your choice until end of turn.
jud	Judgment	2002-05-27	6	Border Patrol	fa5e2575-51bb-448e-9aaf-0e0f5956ac98	covered		combat_body, combat_threat			Covered by JUD role audit.	Creature — Human Nomad	{4}{W}	5	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/jud/6/border-patrol?utm_source=api	Vigilance
jud	Judgment	2002-05-27	7	Cagemail	fe1f40fe-011b-4686-b865-fed00c56d30a	covered		combat_support			Covered by JUD role audit.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/jud/7/cagemail?utm_source=api	Enchant creature Enchanted creature gets +2/+2 and can't attack.
jud	Judgment	2002-05-27	8	Chastise	b7553f3f-5de1-409c-a184-e12e40f017ab	covered		lifegain, removal, targeted_removal			Covered by JUD role audit.	Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/jud/8/chastise?utm_source=api	Destroy target attacking creature. You gain life equal to its power.
jud	Judgment	2002-05-27	9	Commander Eesha	b9b9edb2-62f5-499c-b2fc-359dc673c4b4	covered		combat_body, combat_threat, self_protection			Covered by JUD role audit.	Legendary Creature — Bird Soldier	{2}{W}{W}	4	W	W	Flying, Protection		verify analyzer roles	https://scryfall.com/card/jud/9/commander-eesha?utm_source=api	Flying, protection from creatures
jud	Judgment	2002-05-27	10	Funeral Pyre	02af53c1-83e6-447f-908b-2757c8aa445c	covered		graveyard_hate, token_support			Covered by JUD role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/jud/10/funeral-pyre?utm_source=api	Exile target card from a graveyard. Its owner creates a 1/1 white Spirit creature token with flying.
jud	Judgment	2002-05-27	11	Glory	3853ef6a-6771-4708-8ed5-d667f646de5a	covered		broad_protection, combat_body, combat_threat, protection, self_protection			Covered by JUD role audit.	Creature — Incarnation	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/jud/11/glory?utm_source=api	Flying {2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate only if this card is in your graveyard.
jud	Judgment	2002-05-27	12	Golden Wish	e5f25cbd-39e4-4806-8dba-9a552356696d	covered		restricted_tutor, tutor			Covered by JUD role audit.	Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/jud/12/golden-wish?utm_source=api	You may reveal an artifact or enchantment card you own from outside the game and put it into your hand. Exile Golden Wish.
jud	Judgment	2002-05-27	13	Guided Strike	a215e813-df7e-4f21-9718-eb264eb62813	covered	card_draw, combat_support, direct_draw, draw	card_draw, combat_support, direct_draw, draw	false		Covered by Weatherlight role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/jud/13/guided-strike?utm_source=api	Target creature gets +1/+0 and gains first strike until end of turn. Draw a card.
